access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,access_gate_total,beamwidth_deg,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,episode_return_mean_per_agent,episode_return_sum,eval_episode,finite_time_discovery_rate,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,mean_sensing_pd,mean_sensing_snr_db,method,method_key,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,phase,piggyback_sense_actions,policy_seed,protocol,run,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,source_type,step_reward_mean,true_edges_seen,tx_actions
0,0.0,0,0.0,300000,1.0,300000,15,255711,0.006966855012524029,0.006882502560797358,142.53678929765886,1,1794,7.299151280402959,1.477778644986539,0.007299151280402959,0.3624242424242424,954,0.003881488473525319,1213.98425,0.6766913322185061,improved_rl_isac,1,-253.88525390625,-25388.5234375,1,,45281,0.0,13.63790211280893,100,1.0,2200.4468686868686,,0.0,0.0,BC-MARL,bc_notable_nogate,gauss_markov,8.914099994555125,100,3000.0,,3000.0,,3000.0,,eval_stochastic,245782,,improved_rl_isac,bc_notable_nogate_N100_B15_3000slot_stochastic,162825,245782,137.00222965440358,30260706,30260706,8937,0.0,0.0,0.0,0,0,3000,marl,-0.08462841063737869,4950,82957
0,0.0,0,0.0,150000,1.0,150000,10,44926,0.007927569835486365,0.00777881302680332,125.14206128133705,1,359,2.669541939321832,0.5505182961075367,0.0026695419393218322,0.29306122448979594,684,0.005086258179654967,652.11275,1.8164700557103064,improved_rl_isac,0,-200.03927612304688,-10001.96484375,0,,13691,0.0,2.8745574302638537,50,1.0,2338.585306122449,,0.0,0.0,BC-MARL,bc_notable_nogate,gauss_markov,8.961439163199403,50,3000.0,,3000.0,,3000.0,,eval_stochastic,134480,,improved_rl_isac,bc_notable_nogate_N50_B10_3000slot_stochastic,84582,134480,374.59610027855155,30260705,30260705,1829,0.0,0.0,0.0,0,0,3000,marl,-0.06667976826429367,1225,49898
0,0.0,0,0.0,150000,1.0,150000,10,56468,0.007749213656890826,0.007643908273100723,128.0453514739229,1,441,3.333534907628579,0.6884047507732846,0.003333534907628579,0.36,900,0.006803132464548121,640.6115,1.4526337868480725,improved_rl_isac,1,-212.71078491210938,-10635.5400390625,1,,15590,0.0,8.052181284766267,50,1.0,2217.1926530612245,,0.0,0.0,BC-MARL,bc_notable_nogate,gauss_markov,9.827045956246618,50,3000.0,,3000.0,,3000.0,,eval_stochastic,132292,,improved_rl_isac,bc_notable_nogate_N50_B10_3000slot_stochastic,84873,132292,299.98185941043084,30260706,30260706,2118,0.0,0.0,0.0,0,0,3000,marl,-0.07090359926223755,1225,47419
0,0.0,0,0.0,150000,1.0,150000,10,53199,0.006925518013813701,0.006816845509334118,143.3935309973046,1,371,2.78767112994605,0.5744138868814939,0.00278767112994605,0.3028571428571429,840,0.006311708218745773,645.87575,1.7409049865229111,improved_rl_isac,2,-212.24267578125,-10612.134765625,2,,14823,0.0,6.546066556223551,50,1.0,2301.071836734694,,0.0,0.0,BC-MARL,bc_notable_nogate,gauss_markov,9.745028443464806,50,3000.0,,3000.0,,3000.0,,eval_stochastic,133086,,improved_rl_isac,bc_notable_nogate_N50_B10_3000slot_stochastic,84446,133086,358.72237196765496,30260707,30260707,2091,0.0,0.0,0.0,0,0,3000,marl,-0.07074756175279617,1225,48640
0,0.0,0,0.0,150000,1.0,150000,15,71783,0.007850617130378294,0.007779969318430857,126.37852112676056,1,568,4.359505718013662,0.9035924161870309,0.004359505718013662,0.4636734693877551,461,0.0035382608028244685,628.602,1.1066936619718308,improved_rl_isac,0,-222.86878967285156,-11143.439453125,0,,17576,0.0,12.97654291678633,50,1.0,1933.4661224489796,,0.0,0.0,BC-MARL,bc_notable_nogate,gauss_markov,8.961439163199403,50,3000.0,,3000.0,,3000.0,,eval_stochastic,130290,,improved_rl_isac,bc_notable_nogate_N50_B15_3000slot_stochastic,85168,130290,229.3838028169014,30260705,30260705,2134,0.0,0.0,0.0,0,0,3000,marl,-0.07428959757089615,1225,45122
0,0.0,0,0.0,150000,1.0,150000,15,96651,0.0064965101816350235,0.006457149863092076,152.92879746835442,1,632,4.9358033176095715,1.0185096399842388,0.004935803317609571,0.5159183673469387,646,0.005045140732873075,620.5145,0.9818267405063291,improved_rl_isac,1,-252.94378662109375,-12647.189453125,1,,19026,0.0,16.920787681238025,50,1.0,1822.8432653061225,,0.0,0.0,BC-MARL,bc_notable_nogate,gauss_markov,9.827045956246618,50,3000.0,,3000.0,,3000.0,,eval_stochastic,128044,,improved_rl_isac,bc_notable_nogate_N50_B15_3000slot_stochastic,85043,128044,202.6012658227848,30260706,30260706,2930,0.0,0.0,0.0,0,0,3000,marl,-0.08431459963321686,1225,43001
62551,0.20850333333333335,159422,0.5314066666666667,78027,0.26009,300000,10,273,0.6440677966101694,0.09458165805092858,0.5526315789473685,1,494,13.679284468197048,0.5128587123560797,0.013679284468197049,0.0997979797979798,3418,0.09464735690748484,963.22825,1.9498547570850202,improved_rl_isac,0,-29.393178939819336,-2939.31787109375,0,,140673,0.0,2.9788469805352835,100,1.0,2804.3444444444444,,0.0,0.0,MARL+gate,notable_gate,gauss_markov,8.750619243114308,100,3000.0,,3000.0,,3000.0,,eval_stochastic,36113,,improved_rl_isac,notable_gate_N100_B10_3000slot_stochastic,13951,36113,73.10323886639677,30260705,30260705,123214,0.0,0.0,0.0,0,0,3000,marl,-0.009797725826501846,4950,22162
62643,0.20881,159132,0.53044,78225,0.26075,300000,10,342,0.6095890410958904,0.10090702947845805,0.6404494382022472,1,534,14.819337292557028,0.5530376290841869,0.014819337292557029,0.10787878787878788,3588,0.09957262585336071,965.5762499999998,1.8081952247191009,improved_rl_isac,1,-28.699541091918945,-2869.9541015625,1,,140217,0.0,2.5197718646253366,100,1.0,2789.17898989899,,0.0,0.0,MARL+gate,notable_gate,gauss_markov,8.914099994555125,100,3000.0,,3000.0,,3000.0,,eval_stochastic,36034,,improved_rl_isac,notable_gate_N100_B10_3000slot_stochastic,14088,36034,67.47940074906367,30260706,30260706,123749,0.0,0.0,0.0,0,0,3000,marl,-0.009566513821482658,4950,21946
62820,0.2094,159075,0.53025,78105,0.26035,300000,10,279,0.633377135348226,0.09217823675655001,0.578838174273859,1,482,13.06976870305594,0.4961692287064781,0.01306976870305594,0.09737373737373738,3525,0.09558285202961035,971.4427499999999,2.015441390041494,improved_rl_isac,2,-30.052648544311523,-3005.2646484375,2,,139147,0.0,2.324521643696908,100,1.0,2809.7466666666664,,0.0,0.0,MARL+gate,notable_gate,gauss_markov,8.878948161327196,100,3000.0,,3000.0,,3000.0,,eval_stochastic,36879,,improved_rl_isac,notable_gate_N100_B10_3000slot_stochastic,14231,36879,76.51244813278008,30260707,30260707,123974,0.0,0.0,0.0,0,0,3000,marl,-0.010017548687756062,4950,22648
31260,0.2084,79672,0.5311466666666667,39068,0.2604533333333333,150000,10,105,0.6590909090909091,0.15263157894736842,0.5172413793103449,1,203,11.134880149196425,0.4097233610434826,0.011134880149196424,0.1657142857142857,2359,0.12939498656135154,495.45625,2.44067118226601,improved_rl_isac,0,-33.34929656982422,-1667.4649658203125,0,,67889,0.0,2.155518512761525,50,1.0,2651.3248979591835,,0.0,0.0,MARL+gate,notable_gate,gauss_markov,8.961439163199403,50,3000.0,,3000.0,,3000.0,,eval_stochastic,18231,,improved_rl_isac,notable_gate_N50_B10_3000slot_stochastic,7091,18231,89.80788177339902,30260705,30260705,63880,0.0,0.0,0.0,0,0,3000,marl,-0.011116432957351208,1225,11140
