episodes,last10_collision_count,last10_collision_penalized_discovery_rate,last10_discovery_rate,last10_episode_return_sum,last10_expert_bc_loss,last10_lambda2,method,run
120,527.3,0.028583577193721114,0.36,-180.86370391845702,2.8815422296524047,0.7944682121560886,BC-MARL+gate,train_bc_notable_gate_ep120
120,359.1,0.03369985623336322,0.3088888888888889,-167.8550048828125,2.8014556169509888,0.6683231947954026,BC-MARL,train_bc_notable_nogate_ep120
60,7.6,0.32563482433428725,0.38,-23.344297027587892,nan,1.1087797679789593,MARL+gate,train_notable_gate_ep60
60,103.2,0.15860967543109136,0.5155555555555555,-91.60599670410156,nan,2.25460887445117,MARL,train_notable_nogate_ep60
80,197.4,0.09190418821326879,0.4888888888888889,-112.68010101318359,nan,1.9994395976809811,MARL+tables+gate,train_table_gate_safe_ep80
60,14.4,0.32115190082606526,0.4066666666666667,-40.877496337890626,nan,1.3545272789553848,MARL+tables,train_table_nogate_ep60
