access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,access_gate_total,algorithm,approx_kl,clip_fraction,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,entropy,episode,episode_return_mean_per_agent,episode_return_sum,expert_bc_loss,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method,mobility_model,moved_distance_mean_m,n_beams,n_nodes,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,policy_loss,protocol,run,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,step_reward_mean,step_reward_sum_mean,training_step,true_edges_seen,tx_actions,value_loss
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,0.001705253561958664,0.0,243,0.07604562737642585,0.06944444444444445,12.15,1,20,11.248593925759279,1.386938506613963,0.01124859392575928,0.4444444444444444,1521,0.8554555680539933,14.42025,0.7210125,5.879155397415161,0,-10.737499237060547,-107.375,,321,0.0,2.1296507544032304,10,1.0,208.51111111111112,0.0,0.0,MARL,gauss_markov,2.559552794730944,648,10,300.0,300.0,300.0,1778,-0.0010876976034293606,improved_rl_isac,train_notable_nogate_ep60,867,1778,88.9,2026070941,2026070941,901,0.0,0.0,0.0,0,0,300,-0.03579166531562805,-0.3579166531562805,300,45,911,4.498257875442505
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,-9.748345755117294e-05,0.0,175,0.12060301507537688,0.10909090909090909,7.291666666666667,1,24,13.880855986119144,1.6653655997918293,0.013880855986119144,0.5333333333333333,1465,0.8473105841526894,14.41125,0.60046875,5.876645803451538,1,-9.320499420166016,-93.20500183105469,,389,0.0,2.538850747477993,10,1.0,199.88888888888889,0.0,0.0,MARL,gauss_markov,2.4398005957282947,648,10,300.0,300.0,300.0,1729,-0.00022280804785879127,improved_rl_isac,train_notable_nogate_ep60,676,1729,72.04166666666667,2026070942,2026070942,882,0.0,0.0,0.0,0,0,300,-0.031068334355950356,-0.31068333983421326,600,45,1053,3.2288787364959717
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,0.00019548757591597576,0.0,280,0.06976744186046512,0.06461538461538462,13.333333333333334,1,21,12.859767299448867,1.4940504775625632,0.012859767299448868,0.4666666666666667,1378,0.8438456827924066,14.055750000000002,0.6693214285714286,5.903592824935913,2,-10.433500289916992,-104.33499908447266,,455,0.0,1.6947633511520441,10,1.0,195.8,0.0,0.0,MARL,gauss_markov,2.9047170203743784,648,10,300.0,300.0,300.0,1633,-0.00064398401944743,improved_rl_isac,train_notable_nogate_ep60,664,1633,77.76190476190476,2026070943,2026070943,912,0.0,0.0,0.0,0,0,300,-0.03477833420038223,-0.34778329730033875,900,45,969,3.8854289054870605
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,0.0006406460553407545,0.0,224,0.08571428571428572,0.07806691449814127,10.666666666666666,1,21,13.282732447817837,1.4781445766171606,0.013282732447817837,0.4666666666666667,1311,0.8292220113851992,14.206999999999999,0.6765238095238095,5.898711442947388,3,-9.682999610900879,-96.82998657226562,,444,0.0,1.9422735411742487,10,1.0,201.2888888888889,0.0,0.0,MARL,gauss_markov,2.68518093726355,648,10,300.0,300.0,300.0,1581,-0.00047281780923924543,improved_rl_isac,train_notable_nogate_ep60,620,1581,75.28571428571429,2026070944,2026070944,975,0.0,0.0,0.0,0,0,300,-0.032276663929224014,-0.32276666164398193,1200,45,961,2.8378560543060303
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,-0.0001978500709325648,0.0,163,0.13297872340425532,0.1201923076923077,6.52,1,25,17.135023989033584,1.7347257398605278,0.017135023989033583,0.5555555555555556,1236,0.8471555860178204,14.411500000000002,0.5764600000000001,5.887509822845459,4,-7.515999794006348,-75.15999603271484,,446,0.0,2.130460774860916,10,1.0,181.7111111111111,0.0,0.0,MARL,gauss_markov,2.859728964776413,648,10,300.0,300.0,300.0,1459,-0.00015426803128093525,improved_rl_isac,train_notable_nogate_ep60,512,1459,58.36,2026070945,2026070945,1095,0.0,0.0,0.0,0,0,300,-0.02505333162844181,-0.2505332827568054,1500,45,947,1.6749067902565002
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,3.7412642971690335e-06,0.0,208,0.09170305676855896,0.08300395256916997,9.904761904761905,1,21,14.334470989761092,1.4371749247194088,0.014334470989761093,0.4666666666666667,1207,0.8238907849829351,14.612,0.6958095238095238,5.860755205154419,5,-8.802999496459961,-88.02999877929688,,408,0.0,1.5796751991684022,10,1.0,200.82222222222222,0.0,0.0,MARL,gauss_markov,2.7205121890408837,648,10,300.0,300.0,300.0,1465,-0.00013537272112529308,improved_rl_isac,train_notable_nogate_ep60,521,1465,69.76190476190476,2026070946,2026070946,1127,0.0,0.0,0.0,0,0,300,-0.02934333309531212,-0.2934333086013794,1800,45,944,1.9523704648017883
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,0.00018488862718613053,0.0,162,0.12432432432432433,0.1111111111111111,7.043478260869565,1,23,15.312916111850864,1.5626326963906583,0.015312916111850865,0.5111111111111111,1243,0.8275632490013316,14.71875,0.6399456521739131,5.843883275985718,6,-8.306498527526855,-83.06500244140625,,395,0.0,2.4782155824591743,10,1.0,193.33333333333334,0.0,0.0,MARL,gauss_markov,2.725494932156871,648,10,300.0,300.0,300.0,1502,-0.00018793897047331143,improved_rl_isac,train_notable_nogate_ep60,505,1502,65.30434782608695,2026070947,2026070947,1103,0.0,0.0,0.0,0,0,300,-0.02768833376467228,-0.2768833041191101,2100,45,997,1.5375660061836243
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,0.0002646668074497427,0.0,181,0.10837438423645321,0.09734513274336283,8.227272727272727,1,22,14.445173998686801,1.5044278045611517,0.014445173998686802,0.4888888888888889,1253,0.8227183191070256,14.6235,0.6647045454545455,5.873595237731934,7,-8.984000205993652,-89.8399887084961,,422,0.0,1.9008081787681261,10,1.0,198.17777777777778,0.0,0.0,MARL,gauss_markov,2.574982846194949,648,10,300.0,300.0,300.0,1523,-0.00021238979223803245,improved_rl_isac,train_notable_nogate_ep60,475,1523,69.22727272727273,2026070948,2026070948,1055,0.0,0.0,0.0,0,0,300,-0.029946662485599518,-0.29946663975715637,2400,45,1048,1.7002082467079163
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,2.4130343944550603e-05,0.0,202,0.10619469026548672,0.09716599190283401,8.416666666666666,1,24,16.293279022403258,1.6700008697921198,0.016293279022403257,0.5333333333333333,1262,0.856754921928038,14.371249999999998,0.5988020833333333,5.874365568161011,8,-8.245498657226562,-82.45500183105469,,445,0.0,1.8800124634526467,10,1.0,185.9111111111111,0.0,0.0,MARL,gauss_markov,1.8228971949701713,648,10,300.0,300.0,300.0,1473,6.904021898890278e-05,improved_rl_isac,train_notable_nogate_ep60,535,1473,61.375,2026070949,2026070949,1082,0.0,0.0,0.0,0,0,300,-0.02748499996960163,-0.2748500108718872,2700,45,938,1.2610089182853699
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,0.0001716501880049126,0.0,189,0.12093023255813953,0.1111111111111111,7.269230769230769,1,26,18.413597733711047,1.8213979229058301,0.018413597733711047,0.5777777777777777,1187,0.8406515580736544,14.274750000000001,0.5490288461538462,5.87708306312561,9,-7.2634992599487305,-72.63500213623047,,475,0.0,2.5542224860102167,10,1.0,182.13333333333333,0.0,0.0,MARL,gauss_markov,2.678545175887462,648,10,300.0,300.0,300.0,1412,-0.00039848614553950057,improved_rl_isac,train_notable_nogate_ep60,497,1412,54.30769230769231,2026070950,2026070950,1113,0.0,0.0,0.0,0,0,300,-0.024211667478084564,-0.24211664497852325,3000,45,915,0.8648919761180878
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,0.0005619951995710082,0.0,133,0.14193548387096774,0.12359550561797752,6.045454545454546,1,22,15.482054890921885,1.5093045193379644,0.015482054890921885,0.4888888888888889,1182,0.8318085855031668,14.576249999999998,0.6625568181818181,5.859936237335205,10,-7.424498558044434,-74.2449951171875,,417,0.0,2.375783248225543,10,1.0,197.4,0.0,0.0,MARL,gauss_markov,2.380976926823014,648,10,300.0,300.0,300.0,1421,-0.00037235394322010507,improved_rl_isac,train_notable_nogate_ep60,513,1421,64.5909090909091,2026070951,2026070951,1162,0.0,0.0,0.0,0,0,300,-0.02474833093583584,-0.24748331308364868,3300,45,908,0.5413753092288971
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,0.0002771645536800982,0.0,102,0.1774193548387097,0.14965986394557823,4.636363636363637,1,22,16.76829268292683,1.5025782877437421,0.01676829268292683,0.4888888888888889,1065,0.8117378048780488,14.6415,0.6655227272727273,5.869412422180176,11,-6.525999546051025,-65.25999450683594,,422,0.0,1.8056919300077123,10,1.0,195.84444444444443,0.0,0.0,MARL,gauss_markov,2.232348677053001,648,10,300.0,300.0,300.0,1312,-0.0006029566309102563,improved_rl_isac,train_notable_nogate_ep60,466,1312,59.63636363636363,2026070952,2026070952,1266,0.0,0.0,0.0,0,0,300,-0.021753331646323204,-0.21753332018852234,3600,45,846,0.44884829223155975
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,0.0006838747663423447,0.0,112,0.15789473684210525,0.1337579617834395,5.333333333333333,1,21,16.166281755196305,1.4491503493487448,0.016166281755196306,0.4666666666666667,1077,0.8290993071593533,14.49125,0.6900595238095238,5.848088026046753,12,-6.690499782562256,-66.90499877929688,,437,0.0,2.337472074972713,10,1.0,204.0888888888889,0.0,0.0,MARL,gauss_markov,2.7622384933585655,648,10,300.0,300.0,300.0,1299,-1.4126738092201663e-05,improved_rl_isac,train_notable_nogate_ep60,498,1299,61.857142857142854,2026070953,2026070953,1264,0.0,0.0,0.0,0,0,300,-0.02230166643857956,-0.2230166643857956,3900,45,801,0.38187770545482635
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,-0.00013662542620052065,0.0,111,0.17164179104477612,0.14743589743589744,4.826086956521739,1,23,17.597551644988524,1.5980545422963348,0.017597551644988524,0.5111111111111111,1099,0.8408569242540168,14.3925,0.6257608695652174,5.865714073181152,13,-6.309998989105225,-63.09999465942383,,418,0.0,1.6092416377620546,10,1.0,191.8,0.0,0.0,MARL,gauss_markov,2.6954978192386516,648,10,300.0,300.0,300.0,1307,-1.0961135655129794e-05,improved_rl_isac,train_notable_nogate_ep60,602,1307,56.82608695652174,2026070954,2026070954,1275,0.0,0.0,0.0,0,0,300,-0.021033331751823425,-0.21033331751823425,4200,45,705,0.35169146955013275
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,0.00029398840091501843,0.0,102,0.17073170731707318,0.14285714285714285,4.857142857142857,1,21,16.03053435114504,1.4492253545426315,0.01603053435114504,0.4666666666666667,1088,0.8305343511450382,14.490499999999999,0.6900238095238095,5.8714210987091064,14,-6.546999454498291,-65.4699935913086,,410,0.0,1.9852830704103173,10,1.0,201.51111111111112,0.0,0.0,MARL,gauss_markov,2.8861034975009847,648,10,300.0,300.0,300.0,1310,-0.00020109549917579628,improved_rl_isac,train_notable_nogate_ep60,576,1310,62.38095238095238,2026070955,2026070955,1280,0.0,0.0,0.0,0,0,300,-0.021823331713676453,-0.21823331713676453,4500,45,734,0.29472774267196655
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,3.817258103899768e-05,0.0,70,0.2391304347826087,0.19130434782608696,3.1818181818181817,1,22,16.504126031507877,1.5532335498446765,0.016504126031507877,0.4888888888888889,1108,0.8312078019504876,14.164000000000001,0.6438181818181818,5.867792844772339,15,-6.053999900817871,-60.53999328613281,,456,0.0,1.6409173496560765,10,1.0,203.06666666666666,0.0,0.0,MARL,gauss_markov,2.815501083081706,648,10,300.0,300.0,300.0,1333,-0.0002194082691953092,improved_rl_isac,train_notable_nogate_ep60,607,1333,60.59090909090909,2026070956,2026070956,1211,0.0,0.0,0.0,0,0,300,-0.020179998129606247,-0.20180000364780426,4800,45,726,0.32540465891361237
0,0.0,0,0.0,3000,1.0,3000,isac_mappo,-1.176345349573893e-05,0.0,96,0.2066115702479339,0.1773049645390071,3.84,1,25,19.334880123743233,1.84546108845295,0.019334880123743233,0.5555555555555556,1066,0.8244392884764115,13.54675,0.54187,5.877536773681641,16,-5.435499668121338,-54.35499572753906,,547,0.0,2.505629979780175,10,1.0,190.73333333333332,0.0,0.0,MARL,gauss_markov,2.8898688127461125,648,10,300.0,300.0,300.0,1293,-0.0004173620621052976,improved_rl_isac,train_notable_nogate_ep60,654,1293,51.72,2026070957,2026070957,1160,0.0,0.0,0.0,0,0,300,-0.01811833120882511,-0.1811833381652832,5100,45,639,0.3611292392015457
