access_gate_aggressive_ratio_mean,access_gate_aggressive_ratio_std,access_gate_backoff_ratio_mean,access_gate_backoff_ratio_std,access_gate_normal_ratio_mean,access_gate_normal_ratio_std,beamwidth_deg,collision_count_mean,collision_count_std,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,discovery_rate_mean,discovery_rate_std,empty_scan_ratio_mean,empty_scan_ratio_std,energy_per_discovery_censored_j_mean,energy_per_discovery_censored_j_std,episodes,lambda2_mean,lambda2_std,method,node_count,scan_actions_per_discovery_censored_mean,scan_actions_per_discovery_censored_std
0.0,0.0,0.0,0.0,1.0,0.0,10,51531.0,5949.042696098256,0.00741318893641272,0.0005208348446559417,0.31863945578231295,0.03615260665086773,0.006067032954316287,0.0008842023616229343,1.6700029430270966,0.19200138661949737,3,5.824268423751224,2.6632107694864313,BC-MARL,50,344.4334438855458,39.305868955961905
0.07061111111111111,0.00027181148151150575,0.12296,0.0006773477688750413,0.8064288888888889,0.0004600161027776945,10,44576.0,5375.548251108904,0.008793827962215594,0.0008007759772559781,0.32789115646258504,0.0405323454288227,0.005627696555545151,0.00016876086302107486,1.6032992536030537,0.19667944372744042,3,5.820447039428297,3.1578976461443826,BC-MARL+gate,50,344.6521997582551,41.79896110804389
nan,0.0,nan,0.0,nan,0.0,10,1571.0,130.57181931795236,0.3730836494903376,0.0208233606609345,0.8500680272108844,0.007928599882630444,0.579657577491363,0.0158673570038456,0.6620459272782261,0.006241623583385259,3,30.532996659710097,1.4880320182450228,Collision-aware ISAC,50,138.41485499179785,1.2874233638688393
0.0,0.0,0.0,0.0,1.0,0.0,10,9129.0,520.9251385755923,0.03434056425357271,0.0007035076873366118,0.29006802721088437,0.009102437378872228,0.07304142549857152,0.0009118085756533764,1.658231165424504,0.05698740809551811,3,6.540715678107986,0.7644789868319887,MARL,50,198.66047186587377,7.538477483926729
0.20852888888888887,0.00021749414636652409,0.5313955555555555,0.00030799230389615123,0.26007555555555556,0.0005219337264584574,10,103.0,2.6457513110645907,0.15762961003599335,0.006357846294615815,0.1708843537414966,0.00694277595764522,0.12990688678473267,0.0010540049494743647,2.366016860743515,0.10103735650777923,3,2.054620172642314,0.2458477031744359,MARL+gate,50,86.15306984029439,4.226265068060997
0.0,0.0,0.0,0.0,1.0,0.0,10,2614.3333333333335,451.54217226448884,0.06877108655689093,0.0030128747477618616,0.21496598639455783,0.019597504849013167,0.4849389665131002,0.025270316216592294,1.1837506099409187,0.11398235412067621,3,4.017133770073076,1.1733291638529328,MARL+tables,50,163.38425832340468,16.325228210447328
0.2832822222222222,0.0015721228865360206,0.2896755555555556,0.0013961428346751447,0.4270422222222222,0.0009582932358761159,10,4804.666666666667,414.635181012578,0.046030317104909554,0.0037974807411945144,0.22639455782312926,0.02119830933721069,0.5480746982065638,0.01796324066788247,2.158952062927801,0.21404574656752695,3,4.021142987078953,0.8306798380668644,MARL+tables+gate,50,244.01848695133893,26.099516327537632
nan,0.0,nan,0.0,nan,0.0,10,2096.0,159.05659370173876,0.31349519326014696,0.01685640575805804,0.8484353741496599,0.006547596960825036,0.5785472135553387,0.017376395091277114,0.7000712315168971,0.005155652314514193,3,31.34368642768774,1.2317077351207575,Rule ISAC,50,138.6565425858224,1.066905078640158
nan,0.0,nan,0.0,nan,0.0,10,0.0,0.0,0.00272108843537415,0.0009426126843912258,0.00272108843537415,0.0009426126843912258,0.9404533423821966,0.0011121189484360624,214.89833333333334,92.9052046178433,3,0.0,0.0,Uniform random,50,42483.833333333336,18388.461873776538
nan,0.0,nan,0.0,nan,0.0,10,237.66666666666666,26.63331247391757,0.6263059932803767,0.009063219570149819,0.7477551020408163,0.012829578486123872,0.8813666666666666,0.003449470168655526,0.700790138231588,0.012037229215306285,3,21.73496696069179,1.8458550351512208,Wang ISAC,50,163.78730991274386,2.7846446076196676
nan,0.0,nan,0.0,nan,0.0,10,333.6666666666667,94.50044091607897,0.5785677203273469,0.03939642032515103,0.7341496598639456,0.009807249682144279,0.9047244444444444,0.0017730116667327392,0.7131100278569458,0.009441422764249939,3,22.800691162747878,2.151167989244753,Wang ISAC+tables,50,166.81008339208194,2.2310255270290416
nan,0.0,nan,0.0,nan,0.0,10,2605.3333333333335,236.82553353330238,0.26013644456210067,0.01530179263164165,0.8114285714285715,0.0043195939772483,0.5412203137691097,0.018482541531686582,0.7321659727788639,0.0032776652347146543,3,29.6341963947826,1.7586743924290842,baseline_improved_rl_isac_tables,50,144.86364814814814,0.7939120328119645
nan,0.0,nan,0.0,nan,0.0,10,0.0,0.0,0.0035374149659863946,0.0018852253687824515,0.0035374149659863946,0.0018852253687824515,0.9410341823212973,0.0008570729317896454,161.9679880952381,66.04875849339844,3,0.0,0.0,baseline_improved_rl_no_isac,50,39646.46031746032,16166.772658978818
nan,0.0,nan,0.0,nan,0.0,10,0.0,0.0,0.002993197278911565,0.0012469593727770995,0.002993197278911565,0.0012469593727770995,0.9409939393501046,0.0012920031894010696,172.15831666666668,87.38319868185593,3,0.0,0.0,baseline_rl_no_isac,50,42742.333333333336,21697.31034214456
nan,0.0,nan,0.0,nan,0.0,10,0.0,0.0,0.002993197278911565,0.000942612684391226,0.002993197278911565,0.000942612684391226,0.9411,0.0012844194538130407,173.33333333333334,46.18802153517006,3,-1.2089478706726197e-16,2.0939591357071857e-16,baseline_skyorbs_like_skip_scan,50,43333.333333333336,11547.005383792515
nan,0.0,nan,0.0,nan,0.0,10,319.0,21.79449471770337,0.5805136286936413,0.006593890363720192,0.7317006802721089,0.014518989466072494,0.9013244444444445,0.0014478540953706002,0.7152569759513759,0.014312267912350296,3,22.103872631929477,2.5022978194576773,baseline_wang2025_comm_tables,50,167.3926597184714,3.3416522656327157
