checkpoint_tag,method_label,beamwidth_deg,node_count,discovery_rate_mean,collision_penalized_discovery_rate_mean,lambda2_mean,collision_count_mean,collisions_per_discovery_censored_mean
phase9_baseline,Uniform,10.0,100,0.0027878787878787,0.0027878787878787,-1.7678310511619908e-16,0.0,0.0
phase9_baseline,SkyOrbs-like,10.0,100,0.003090909090909,0.003090909090909,-3.816592718834423e-16,0.0,0.0
phase9_baseline,MARL no ISAC,10.0,100,0.0004848484848484,0.0004848484848484,0.0,0.0,0.0
phase9_baseline,Contention no ISAC,10.0,100,0.0007676767676767,0.0007676767676767,0.0,0.0,0.0
phase9_baseline,MARL+ISAC actor,10.0,100,0.3429090909090909,0.2262830389833648,14.381436830276732,2563.7,1.5104483813950913
seed31,seed31,10.0,100,0.3019797979797979,0.2353115394963504,11.904327907733608,1403.3,0.9381363639583024
seed33,seed33,10.0,100,0.3643636363636363,0.2034662842011284,16.40724731765843,3938.0,2.1746051138222007
phase9_baseline,Uniform,15.0,100,0.0129292929292928,0.0129283468516411,-1.0930955012550443e-15,0.4,0.0068965517241379
phase9_baseline,SkyOrbs-like,15.0,100,0.0189696969696969,0.0189680977790831,-1.033750502724658e-15,0.4,0.0040922852072241
phase9_baseline,MARL no ISAC,15.0,100,0.0022222222222221,0.0022222222222221,-1.404867594902498e-16,0.0,0.0
phase9_baseline,Contention no ISAC,15.0,100,0.0043434343434343,0.0043434343434343,-4.866647715285471e-16,0.0,0.0
phase9_baseline,MARL+ISAC actor,15.0,100,0.4232929292929294,0.1387384918988106,19.8887009453462,10226.9,4.881996666666441
seed31,seed31,15.0,100,0.3618383838383838,0.2113702926713012,16.17301493741065,3535.0,1.9750756909977103
seed33,seed33,15.0,100,0.4135757575757576,0.1496792181932144,21.743725779811665,8745.4,4.271791364375077
