treatment,control,metric,n_pairs,treatment_mean,control_mean,delta_mean,delta_std,delta_ci95,positive_pairs,negative_pairs,zero_pairs
improved_rl_isac,uniform_random,discovery_rate,10,0.3651717171717171,0.00048484848484848,0.36468686868686867,0.009159635466475724,0.005677200879740742,10,0,0
improved_rl_isac,skyorbs_like_skip_scan,discovery_rate,10,0.3651717171717171,0.0007070707070706998,0.3644646464646464,0.009279475939841722,0.0057514787746757645,10,0,0
improved_rl_isac,rl_no_isac,discovery_rate,10,0.3651717171717171,0.00068686868686868,0.36448484848484847,0.009290391494593864,0.0057582443056042095,10,0,0
improved_rl_isac,improved_rl_no_isac,discovery_rate,10,0.3651717171717171,0.0005858585858585799,0.36458585858585857,0.009206177813777833,0.005706048125465293,10,0,0
improved_rl_isac,uniform_random,empty_scan_ratio,10,0.5001253618764493,0.9022310743317196,-0.40210571245527016,0.007002956867551945,0.00434047763524692,0,10,0
improved_rl_isac,skyorbs_like_skip_scan,empty_scan_ratio,10,0.5001253618764493,0.9011100000000001,-0.4009846381235507,0.006472559308981828,0.004011733822553991,0,10,0
improved_rl_isac,rl_no_isac,empty_scan_ratio,10,0.5001253618764493,0.9014049049831202,-0.40127954310667074,0.007238879111370151,0.00448670375691489,0,10,0
improved_rl_isac,improved_rl_no_isac,empty_scan_ratio,10,0.5001253618764493,0.9019233767510617,-0.4017980148746124,0.007262143278986601,0.004501123037391928,0,10,0
improved_rl_isac,uniform_random,lambda2,10,13.25954288530647,0.0,13.25954288530647,2.0809348323607897,1.2897767715975883,10,0,0
improved_rl_isac,skyorbs_like_skip_scan,lambda2,10,13.25954288530647,0.0,13.25954288530647,2.0809348323607897,1.2897767715975883,10,0,0
improved_rl_isac,rl_no_isac,lambda2,10,13.25954288530647,0.0,13.25954288530647,2.0809348323607897,1.2897767715975883,10,0,0
improved_rl_isac,improved_rl_no_isac,lambda2,10,13.25954288530647,0.0,13.25954288530647,2.0809348323607897,1.2897767715975883,10,0,0
improved_rl_isac,uniform_random,mean_discovery_delay,10,477.62284848484853,599.8599191919193,-122.23707070707073,3.5684575782076076,2.211752921441597,0,10,0
improved_rl_isac,skyorbs_like_skip_scan,mean_discovery_delay,10,477.62284848484853,599.7786464646465,-122.155797979798,3.56343365281585,2.2086390602231862,0,10,0
improved_rl_isac,rl_no_isac,mean_discovery_delay,10,477.62284848484853,599.779797979798,-122.1569494949495,3.587787672185584,2.223733837815277,0,10,0
improved_rl_isac,improved_rl_no_isac,mean_discovery_delay,10,477.62284848484853,599.8161818181818,-122.19333333333334,3.634207536377516,2.2525051677216275,0,10,0
improved_rl_isac,uniform_random,collision_count,10,1092.7,0.0,1092.7,72.76759046596378,45.10181984010056,10,0,0
improved_rl_isac,skyorbs_like_skip_scan,collision_count,10,1092.7,0.0,1092.7,72.76759046596378,45.10181984010056,10,0,0
improved_rl_isac,rl_no_isac,collision_count,10,1092.7,0.0,1092.7,72.76759046596378,45.10181984010056,10,0,0
improved_rl_isac,improved_rl_no_isac,collision_count,10,1092.7,0.0,1092.7,72.76759046596378,45.10181984010056,10,0,0
improved_rl_isac,uniform_random,collision_penalized_discovery_rate,10,0.2991140386834694,0.00048484848484848,0.2986291901986209,0.005255275956911067,0.0032572537842857343,10,0,0
improved_rl_isac,skyorbs_like_skip_scan,collision_penalized_discovery_rate,10,0.2991140386834694,0.0007070707070706998,0.29840696797639865,0.005367488425515995,0.003326803792887429,10,0,0
improved_rl_isac,rl_no_isac,collision_penalized_discovery_rate,10,0.2991140386834694,0.00068686868686868,0.2984271699966007,0.0054509322366814595,0.0033785228028732892,10,0,0
improved_rl_isac,improved_rl_no_isac,collision_penalized_discovery_rate,10,0.2991140386834694,0.0005858585858585799,0.29852818009761084,0.0052987254890474005,0.003284184083310355,10,0,0
improved_rl_isac,uniform_random,discoveries_per_joule,10,6.193163019788815,0.00930172303943183,6.183861296749384,0.15699190393731233,0.09730459016705954,10,0,0
improved_rl_isac,skyorbs_like_skip_scan,discoveries_per_joule,10,6.193163019788815,0.01458333333333331,6.178579686455483,0.15930080895180987,0.09873566432143163,10,0,0
improved_rl_isac,rl_no_isac,discoveries_per_joule,10,6.193163019788815,0.015633172474136613,6.177529847314679,0.1597682853317533,0.09902540918357013,10,0,0
improved_rl_isac,improved_rl_no_isac,discoveries_per_joule,10,6.193163019788815,0.012076975161554851,6.18108604462726,0.15784782119377797,0.09783509317879803,10,0,0
improved_rl_isac,uniform_random,energy_per_discovery_censored_j,10,0.16156248995201922,111.79735000000001,-111.63578751004798,22.17948379808853,13.746986481237327,0,10,0
improved_rl_isac,skyorbs_like_skip_scan,energy_per_discovery_censored_j,10,0.16156248995201922,96.0,-95.83843751004797,77.286974101756,47.90296283830304,0,10,0
improved_rl_isac,rl_no_isac,energy_per_discovery_censored_j,10,0.16156248995201922,93.16692375,-93.00536126004798,68.98986554454424,42.76036167554837,0,10,0
improved_rl_isac,improved_rl_no_isac,energy_per_discovery_censored_j,10,0.16156248995201922,92.84052958333334,-92.6789670933813,30.166083595140446,18.697132320546153,0,10,0
