training_seed,arm,scenario_seed,tx_ratio,discovery_rate,mean_delay_censored,neighbor_knowledge_recall,aligned_handshake_opportunities,step_reward_mean
29260711,A,33260711,0.499,0.5555555555555556,207.24444444444444,0.9,30.0,0.030416594818234444
29260711,A,33260712,0.484,0.4222222222222222,237.84444444444443,0.7444444444444445,21.0,0.022643918171525
29260711,A,33260713,0.493,0.5333333333333333,210.75555555555556,0.9222222222222223,33.0,0.02921571396291256
29260711,A,33260714,0.5003333333333333,0.4666666666666667,229.88888888888889,0.8777777777777778,25.0,0.02506924979388714
29260711,A,33260715,0.51,0.4444444444444444,228.88888888888889,0.8,25.0,0.024217834696173668
29260711,A,33260716,0.503,0.4444444444444444,235.86666666666667,0.7222222222222222,29.0,0.023666083812713623
29260711,A,33260717,0.5173333333333333,0.4666666666666667,218.75555555555556,0.8444444444444444,32.0,0.02584037184715271
29260711,A,33260718,0.502,0.4666666666666667,249.0222222222222,0.7777777777777778,25.0,0.023619450628757477
29260711,A,33260719,0.501,0.6222222222222222,204.15555555555557,0.9333333333333333,31.0,0.03342236950993538
29260711,A,33260720,0.492,0.6444444444444445,197.57777777777778,0.9333333333333333,32.0,0.03485735505819321
29260711,A,33260721,0.502,0.5555555555555556,208.64444444444445,0.8888888888888888,26.0,0.030367912724614143
29260711,A,33260722,0.487,0.5111111111111111,227.0,0.7777777777777778,26.0,0.027113307267427444
29260711,A,33260723,0.5003333333333333,0.6222222222222222,204.06666666666666,0.8555555555555555,41.0,0.03337239474058151
29260711,A,33260724,0.5056666666666667,0.5777777777777777,193.93333333333334,0.9222222222222223,31.0,0.03233827278017998
29260711,A,33260725,0.49566666666666664,0.5333333333333333,191.77777777777777,0.9,30.0,0.030653808265924454
29260711,A,33260726,0.492,0.4888888888888889,203.51111111111112,0.8444444444444444,28.0,0.027940863743424416
29260711,A,33260727,0.49833333333333335,0.5111111111111111,211.57777777777778,0.8777777777777778,34.0,0.02824050933122635
29260711,A,33260728,0.504,0.5777777777777777,202.22222222222223,0.9222222222222223,35.0,0.031951189041137695
29260711,A,33260729,0.5,0.6444444444444445,201.2,0.9111111111111111,33.0,0.0345781147480011
29260711,A,33260730,0.4876666666666667,0.3333333333333333,241.7111111111111,0.5111111111111111,22.0,0.01860961690545082
29260711,B,33260711,0.49633333333333335,0.6,186.95555555555555,0.9222222222222223,33.0,0.03379668667912483
29260711,B,33260712,0.4836666666666667,0.6,194.0,0.8333333333333334,31.0,0.03325992450118065
29260711,B,33260713,0.493,0.4888888888888889,219.6888888888889,0.8111111111111111,45.0,0.026590144261717796
29260711,B,33260714,0.4856666666666667,0.4222222222222222,230.2888888888889,0.6666666666666666,25.0,0.023175815120339394
29260711,B,33260715,0.49333333333333335,0.5333333333333333,208.77777777777777,0.7333333333333333,31.0,0.029387880116701126
29260711,B,33260716,0.514,0.4444444444444444,212.0,0.8333333333333334,27.0,0.025475407019257545
29260711,B,33260717,0.5183333333333333,0.35555555555555557,240.2,0.5888888888888889,33.0,0.019586661830544472
29260711,B,33260718,0.49633333333333335,0.6,194.9111111111111,0.9222222222222223,30.0,0.03320802375674248
29260711,B,33260719,0.5003333333333333,0.4666666666666667,233.17777777777778,0.7777777777777778,21.0,0.024575091898441315
