arm,method,training_seeds,discovery_rate_mean,discovery_rate_sd_across_training_seeds,discovery_rate_ci95_half_width,mean_delay_censored_mean,mean_delay_censored_sd_across_training_seeds,mean_delay_censored_ci95_half_width,neighbor_knowledge_recall_mean,neighbor_knowledge_recall_sd_across_training_seeds,neighbor_knowledge_recall_ci95_half_width,aligned_handshake_opportunities_mean,aligned_handshake_opportunities_sd_across_training_seeds,aligned_handshake_opportunities_ci95_half_width,step_reward_mean_mean,step_reward_mean_sd_across_training_seeds,step_reward_mean_ci95_half_width,tx_ratio_mean,tx_ratio_sd_across_training_seeds,tx_ratio_ci95_half_width
A,Rule beam + random role,3,0.5211111111111111,0.0,0.0,215.2822222222222,0.0,0.0,0.8433333333333334,0.0,0.0,29.45,0.0,0.0,0.02840674659237265,4.2491873609703695e-18,1.0556418515181694e-17,0.4987166666666667,0.0,0.0
B,Learned beam + random role,3,0.5137037037037037,0.010264004785593285,0.025499259259259107,211.96888888888893,2.1486955560508387,5.338086467950847,0.8103703703703705,0.01171067537315733,0.029093278274801487,31.96666666666667,2.17504789219303,5.403554583507462,0.02831135621915261,0.0005600094411243841,0.0013912528516068945,0.4974833333333333,0.0,0.0
C,Rule beam + learned role,3,0.5092592592592592,0.017296732487163798,0.042970933397002045,219.02925925925925,1.1425314828487163,2.8384346170529544,0.8296296296296296,0.01376986032964542,0.0342089901402087,30.583333333333332,2.614542662366275,6.495408233406973,0.02761205749896665,0.0007579754116016716,0.0018830672760113548,0.49678333333333335,0.10445018881957298,0.25948959495101276
D,Learned beam + learned role,3,0.5,0.03686813338452681,0.09159291243672724,212.09333333333333,2.5264030449789807,6.27643961426475,0.8055555555555557,0.023353166174426412,0.05801716301244286,31.28333333333333,2.541816935448606,6.314732931297346,0.027731436025351285,0.0016891551904086321,0.004196432779319209,0.4884944444444444,0.10426778070234632,0.25903643149587835
