protocol,episode_count,run_count,discovery_rate_n,discovery_rate_mean,discovery_rate_std,discovery_rate_median,discovery_rate_min,discovery_rate_max,discovery_rate_ci95,empty_scan_ratio_n,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_median,empty_scan_ratio_min,empty_scan_ratio_max,empty_scan_ratio_ci95,mean_discovery_delay_n,mean_discovery_delay_mean,mean_discovery_delay_std,mean_discovery_delay_median,mean_discovery_delay_min,mean_discovery_delay_max,mean_discovery_delay_ci95,p90_discovery_delay_n,p90_discovery_delay_mean,p90_discovery_delay_std,p90_discovery_delay_median,p90_discovery_delay_min,p90_discovery_delay_max,p90_discovery_delay_ci95,p95_discovery_delay_n,p95_discovery_delay_mean,p95_discovery_delay_std,p95_discovery_delay_median,p95_discovery_delay_min,p95_discovery_delay_max,p95_discovery_delay_ci95,p99_discovery_delay_n,p99_discovery_delay_mean,p99_discovery_delay_std,p99_discovery_delay_median,p99_discovery_delay_min,p99_discovery_delay_max,p99_discovery_delay_ci95,lcc_ratio_n,lcc_ratio_mean,lcc_ratio_std,lcc_ratio_median,lcc_ratio_min,lcc_ratio_max,lcc_ratio_ci95,lambda2_n,lambda2_mean,lambda2_std,lambda2_median,lambda2_min,lambda2_max,lambda2_ci95,collision_count_n,collision_count_mean,collision_count_std,collision_count_median,collision_count_min,collision_count_max,collision_count_ci95,true_edges_seen_n,true_edges_seen_mean,true_edges_seen_std,true_edges_seen_median,true_edges_seen_min,true_edges_seen_max,true_edges_seen_ci95,discovered_edges_n,discovered_edges_mean,discovered_edges_std,discovered_edges_median,discovered_edges_min,discovered_edges_max,discovered_edges_ci95,moved_distance_mean_m_n,moved_distance_mean_m_mean,moved_distance_mean_m_std,moved_distance_mean_m_median,moved_distance_mean_m_min,moved_distance_mean_m_max,moved_distance_mean_m_ci95
improved_rl_isac,20,1,20,0.956897,0.0341395,0.957428,0.883721,1,0.0149623,20,0.391412,0.0313175,0.392863,0.322321,0.449213,0.0137255,20,77.4345,10.1061,78.5032,57.1471,96.7759,4.42919,20,190.855,43.978,197,105.6,283.2,19.2742,20,243.592,51.5454,249.95,120.45,300,22.5908,20,282.067,36.5009,300,177.93,300,15.9972,20,1,0,1,1,1,0,20,2.60373,1.16711,2.57056,0.955534,5.05855,0.51151,20,38.85,15.7656,41.5,8,65,6.90959,20,45.6,6.69171,45.5,34,58,2.93277,20,43.6,6.27778,44,31,54,2.75136,20,30.2456,4.23504,30.8177,22.7709,38.2173,1.85609
improved_rl_no_isac,20,1,20,0.917119,0.0416053,0.915066,0.844828,1,0.0182343,20,0.448022,0.0308322,0.448883,0.388447,0.502205,0.0135128,20,93.7822,14.483,91.5728,74,117.929,6.34746,20,234.68,48.8979,221.8,163.6,300,21.4304,20,278.65,35.2059,300,205.05,300,15.4296,20,295.93,13.2879,300,245.65,300,5.82367,20,1,0,1,1,1,0,20,2.50757,1.23438,2.21204,0.955151,5.48006,0.540989,20,27.6,11.2034,25,13,54,4.9101,20,45.6,6.69171,45.5,34,58,2.93277,20,41.8,6.33786,41.5,31,56,2.77769,20,30.2456,4.23504,30.8177,22.7709,38.2173,1.85609
rl_no_isac,20,1,20,0.918672,0.0320322,0.925175,0.844828,0.970588,0.0140387,20,0.439335,0.0307188,0.442185,0.384114,0.50233,0.0134631,20,99.1979,10.3369,99.2343,80.2059,122.603,4.53034,20,254.105,32.8999,259,204,300,14.419,20,292.245,14.5448,300,250.65,300,6.37455,20,299.389,2.73024,300,287.79,300,1.19658,20,1,0,1,1,1,0,20,2.38019,1.1685,1.97913,0.955525,4.9192,0.512119,20,21.45,8.56845,21,4,39,3.75529,20,45.6,6.69171,45.5,34,58,2.93277,20,41.8,5.67172,41,32,52,2.48574,20,30.2456,4.23504,30.8177,22.7709,38.2173,1.85609
skyorbs_like_skip_scan,20,1,20,0.52057,0.0467523,0.522561,0.428571,0.615385,0.0204901,20,0.437569,0.0390604,0.438889,0.352778,0.508611,0.017119,20,165.113,12.601,166.244,140.229,189.357,5.52264,20,300,0,300,300,300,0,20,300,0,300,300,300,0,20,300,0,300,300,300,0,20,0.995833,0.0186339,1,0.916667,1,0.00816667,20,1.13953,0.745698,0.864173,0,2.70826,0.326817,20,31.45,19.9459,29,6,83,8.74168,20,45.6,6.69171,45.5,34,58,2.93277,20,23.8,4.37216,24,17,31,1.91618,20,30.2456,4.23504,30.8177,22.7709,38.2173,1.85609
uniform_random,20,1,20,0.90766,0.0326483,0.911765,0.837209,0.956522,0.0143087,20,0.435736,0.028658,0.434798,0.382324,0.487138,0.0125599,20,106.114,13.2119,109.538,81.1628,127.818,5.79038,20,260.965,36.8456,265,187,300,16.1483,20,293.765,12.8191,300,250.7,300,5.61821,20,300,0,300,300,300,0,20,1,0,1,1,1,0,20,2.35255,1.26155,2.15803,0.808665,5.28059,0.5529,20,19.3,8.05965,19,6,35,3.5323,20,45.6,6.69171,45.5,34,58,2.93277,20,41.4,6.31123,41,31,53,2.76602,20,30.2456,4.23504,30.8177,22.7709,38.2173,1.85609
