area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,collision_count,communication_range_m,communication_range_to_diagonal_ratio,connected_components,discovered_edges,discovery_rate,elevation_cells,empty_scan_ratio,episode,finite_time_discovery_rate,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,protocol,range_mode,range_sweep_enabled,scenario_seed,seed,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slots,train_beamwidth_deg,train_node_count,true_edges_seen
378.549864614954,fixed,36,20290704,648,10.0,2,0,397.4773578457017,1.05,10,0,0.0,18,0.9880972623703452,0,0.0,1.0,0.0,1,0.1,600.0,600.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,singlehop,False,20290704,20310583,397.4773578457017,1.05,1.0,600,10.0,10,45
378.549864614954,fixed,36,20290704,648,10.0,2,2,397.4773578457017,1.05,1,28,0.6222222222222222,18,0.890625,0,0.6222222222222222,0.0,3.0398451346357707,10,1.0,381.8666666666667,381.8666666666667,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,singlehop,False,20290704,20304926,397.4773578457017,1.05,1.0,600,10.0,10,45
378.549864614954,fixed,24,20290704,288,15.0,3,0,397.4773578457017,1.05,10,0,0.0,12,0.9693333333333334,0,0.0,1.0,0.0,1,0.1,600.0,600.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,skyorbs_like_skip_scan,singlehop,False,20290704,20317340,397.4773578457017,1.05,1.0,600,10.0,10,45
378.549864614954,fixed,24,20290704,288,15.0,3,0,397.4773578457017,1.05,10,0,0.0,12,0.9714788044539949,0,0.0,1.0,0.0,1,0.1,600.0,600.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,singlehop,False,20290704,20301901,397.4773578457017,1.05,1.0,600,10.0,10,45
378.549864614954,fixed,24,20290704,288,15.0,3,0,397.4773578457017,1.05,10,0,0.0,12,0.9691850751809913,0,0.0,1.0,0.0,1,0.1,600.0,600.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,rl_no_isac,singlehop,False,20290704,20296402,397.4773578457017,1.05,1.0,600,10.0,10,45
378.549864614954,fixed,24,20290704,288,15.0,3,0,397.4773578457017,1.05,10,0,0.0,12,0.967862608399932,0,0.0,1.0,0.0,1,0.1,600.0,600.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,singlehop,False,20290704,20310583,397.4773578457017,1.05,1.0,600,10.0,10,45
378.549864614954,fixed,24,20290704,288,15.0,3,123,397.4773578457017,1.05,1,43,0.9555555555555556,12,0.7504771820232518,0,0.9555555555555556,0.0,7.000000000000002,10,1.0,206.15555555555557,206.15555555555557,gauss_markov,3.371907089390524,10,464.20000000000005,464.20000000000005,551.1999999999998,551.1999999999998,600.0,600.0,improved_rl_isac,singlehop,False,20290704,20304926,397.4773578457017,1.05,1.0,600,10.0,10,45
378.549864614954,fixed,12,20290704,72,30.0,4,0,397.4773578457017,1.05,8,2,0.044444444444444446,6,0.9055,0,0.044444444444444446,0.6,0.0,2,0.2,591.0222222222222,591.0222222222222,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,skyorbs_like_skip_scan,singlehop,False,20290704,20317340,397.4773578457017,1.05,1.0,600,10.0,10,45
378.549864614954,fixed,12,20290704,72,30.0,4,0,397.4773578457017,1.05,9,1,0.022222222222222223,6,0.8995897636257082,0,0.022222222222222223,0.8,0.0,2,0.2,595.8666666666667,595.8666666666667,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,singlehop,False,20290704,20301901,397.4773578457017,1.05,1.0,600,10.0,10,45
378.549864614954,fixed,12,20290704,72,30.0,4,0,397.4773578457017,1.05,8,2,0.044444444444444446,6,0.8975310933729348,0,0.044444444444444446,0.6,0.0,2,0.2,598.9111111111112,598.9111111111112,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,rl_no_isac,singlehop,False,20290704,20296402,397.4773578457017,1.05,1.0,600,10.0,10,45
