algorithm,approx_kl,clip_fraction,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,entropy,episode,episode_return_mean_per_agent,episode_return_sum,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mobility_model,moved_distance_mean_m,n_beams,n_nodes,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,policy_loss,protocol,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,slots,step_reward_mean,step_reward_sum_mean,training_step,true_edges_seen,tx_actions,value_loss,run,network,reward_version,env_protocol,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
isac_mappo,2.4844606050233864e-06,0.0,257,0.1228668941979522,0.119205298013245,7.138888888888889,1,36,19.672131147540984,2.552150718678553,0.0196721311475409,0.8,1542,0.8426229508196721,14.10575,0.3918263888888889,5.954265117645264,0,-8.076499938964844,-80.76499938964844,343,0.0,5.476904409368332,10,1.0,149.0888888888889,gauss_markov,2.59513952023739,648,10,300.0,300.0,300.0,1830,-0.0003143160825871,isac_structured_marl,961,1830,50.833333333333336,20260705,20260705,827,300,-0.0269216671586036,-0.2692166566848755,300,45,869,3.636401414871216,train_n10_b10_isac_mappo_shared_collision_topology_300slot,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,0.0001027798651679,0.0,248,0.1205673758865248,0.1160409556313993,7.294117647058823,1,34,18.701870187018702,2.373265858127563,0.0187018701870187,0.7555555555555555,1493,0.8212321232123212,14.326249999999998,0.421360294117647,5.966852903366089,1,-8.171500205993652,-81.71500396728516,305,0.0,5.07693178491735,10,1.0,154.66666666666666,gauss_markov,2.697961873981249,648,10,300.0,300.0,300.0,1818,-0.0001006826548035,isac_structured_marl,960,1818,53.47058823529412,20260706,20260706,877,300,-0.0272383354604244,-0.2723833322525024,600,45,858,3.1391090154647827,train_n10_b10_isac_mappo_shared_collision_topology_300slot,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,-3.925152650718911e-05,0.0,131,0.206060606060606,0.1931818181818181,3.852941176470588,1,34,18.650575973669778,2.422644601599658,0.0186505759736697,0.7555555555555555,1478,0.8107515085024685,14.03425,0.4127720588235294,5.95962119102478,2,-6.9544997215271,-69.54499816894531,345,0.0,4.243360292460685,10,1.0,156.3111111111111,gauss_markov,2.8371393568025978,648,10,300.0,300.0,300.0,1823,-4.062592820019973e-05,isac_structured_marl,991,1823,53.61764705882353,20260707,20260707,832,300,-0.0231816656887531,-0.2318166643381118,900,45,832,2.2937986850738525,train_n10_b10_isac_mappo_shared_collision_topology_300slot,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,-5.994152922839113e-05,0.0,205,0.152892561983471,0.148,5.54054054054054,1,37,20.251778872468527,2.657330101445372,0.0202517788724685,0.8222222222222222,1478,0.8089764641488779,13.923750000000002,0.3763175675675676,5.964713335037232,3,-7.222499847412109,-72.22500610351562,351,0.0,3.858511087518472,10,1.0,148.75555555555556,gauss_markov,2.756833604992181,648,10,300.0,300.0,300.0,1827,1.893464651203658e-05,isac_structured_marl,1029,1827,49.37837837837838,20260708,20260708,822,300,-0.0240750014781951,-0.2407499998807907,1200,45,798,2.3259278535842896,train_n10_b10_isac_mappo_shared_collision_topology_300slot,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,1.7594496511952329e-06,0.0,136,0.2093023255813953,0.1988950276243093,3.7777777777777777,1,36,20.21336327905671,2.56986829424992,0.0202133632790567,0.8,1464,0.8220101066816395,14.0085,0.389125,5.987596035003662,4,-6.559998989105225,-65.59999084472656,354,0.0,4.507722380231371,10,1.0,136.46666666666667,gauss_markov,2.5220114630273405,648,10,300.0,300.0,300.0,1781,-5.395420492249059e-05,isac_structured_marl,978,1781,49.47222222222222,20260709,20260709,865,300,-0.0218666642904281,-0.2186666578054428,1500,45,803,2.264451146125793,train_n10_b10_isac_mappo_shared_collision_topology_300slot,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,-1.3701121150622164e-05,0.0,218,0.1314741035856573,0.1254752851711026,6.606060606060606,1,33,18.27242524916944,2.363854515499364,0.0182724252491694,0.7333333333333333,1490,0.8250276854928018,13.960250000000002,0.4230378787878788,5.983758449554443,5,-8.120500564575195,-81.20500183105469,353,0.0,4.583921412470793,10,1.0,153.0222222222222,gauss_markov,2.8220769984001177,648,10,300.0,300.0,300.0,1806,-0.0001242370210405,isac_structured_marl,1005,1806,54.72727272727273,20260710,20260710,841,300,-0.0270683337002992,-0.2706833183765411,1800,45,801,2.795971989631653,train_n10_b10_isac_mappo_shared_collision_topology_300slot,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,1.207566260078008e-05,0.0,225,0.1245136186770428,0.1185185185185185,7.03125,1,32,18.01801801801802,2.295964125560538,0.018018018018018,0.7111111111111111,1470,0.8277027027027027,13.9375,0.435546875,5.983595848083496,6,-8.21500015258789,-82.1500015258789,366,0.0,2.3742692351851837,10,1.0,148.44444444444446,gauss_markov,2.3666019077899896,648,10,300.0,300.0,300.0,1776,-1.7544786542700308e-05,isac_structured_marl,979,1776,55.5,20260711,20260711,858,300,-0.0273833330720663,-0.2738332748413086,2100,45,797,2.8028193712234497,train_n10_b10_isac_mappo_shared_collision_topology_300slot,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,-4.0790519483080434e-05,0.0,133,0.2130177514792899,0.2022471910112359,3.6944444444444446,1,36,20.28169014084507,2.5975900137095027,0.020281690140845,0.8,1439,0.8107042253521127,13.859000000000002,0.3849722222222222,5.984627723693848,7,-6.418000221252441,-64.17999267578125,364,0.0,5.519780603804269,10,1.0,149.17777777777778,gauss_markov,2.12396358514487,648,10,300.0,300.0,300.0,1775,-0.0001295330919504,isac_structured_marl,1024,1775,49.30555555555556,20260712,20260712,861,300,-0.0213933307677507,-0.2139333337545395,2400,45,751,1.5773396492004397,train_n10_b10_isac_mappo_shared_collision_topology_300slot,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,3.144457066082962e-05,0.0,97,0.2651515151515151,0.2464788732394366,2.771428571428572,1,35,20.114942528735632,2.53031863941152,0.0201149425287356,0.7777777777777778,1441,0.8281609195402299,13.83225,0.3952071428571428,5.979746103286743,8,-6.028500080108643,-60.28499603271485,385,0.0,4.309408468183948,10,1.0,153.84444444444443,gauss_markov,2.772633275349849,648,10,300.0,300.0,300.0,1740,-9.28560490329744e-05,isac_structured_marl,977,1740,49.71428571428572,20260713,20260713,875,300,-0.0200949981808662,-0.2009499669075012,2700,45,763,1.0220231413841248,train_n10_b10_isac_mappo_shared_collision_topology_300slot,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,6.53487631158689e-05,0.0,165,0.175,0.1666666666666666,4.714285714285714,1,35,19.707207207207208,2.549487370932202,0.0197072072072072,0.7777777777777778,1445,0.8136261261261262,13.72825,0.3922357142857142,5.969449758529663,9,-6.927499294281006,-69.27499389648438,393,0.0,4.697224362268004,10,1.0,157.42222222222222,gauss_markov,2.1885395741668825,648,10,300.0,300.0,300.0,1776,-1.3600746754605098e-05,isac_structured_marl,1006,1776,50.74285714285714,20260714,20260714,831,300,-0.0230916645377874,-0.230916678905487,3000,45,770,1.2647048234939575,train_n10_b10_isac_mappo_shared_collision_topology_300slot,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
