method,label,seed_count,episode_count,discovery_rate_mean,discovery_rate_seed_sd,mean_delay_censored_mean,mean_delay_censored_seed_sd,discovery_curve_auc_normalized_mean,discovery_curve_auc_normalized_seed_sd,discovery_rate_at_50_slots_mean,discovery_rate_at_50_slots_seed_sd,discovery_rate_at_100_slots_mean,discovery_rate_at_100_slots_seed_sd,discovery_rate_at_150_slots_mean,discovery_rate_at_150_slots_seed_sd,discovery_rate_at_200_slots_mean,discovery_rate_at_200_slots_seed_sd,networking_completion_slot_censored_mean,networking_completion_slot_censored_seed_sd
wang2025_isac_tables,Wang2025,3,150,0.9462222222222222,0.000444444444444525,128.38118518518522,1.0385625710527868,0.5752167901234568,0.003460756067106232,0.10859259259259259,0.0030252707935795897,0.4371851851851851,0.009556416843182316,0.689037037037037,0.01092586315110652,0.8302222222222223,0.0029144171219119956,150.63333333333333,3.3278421436921124
isac_candidate_pool_random,ISAC candidate random,3,150,1.0,0.0,98.41170370370371,2.0425712352397367,0.6752943209876543,0.006808570784132478,0.11466666666666668,0.00892215995550432,0.5094814814814815,0.02522915551630383,0.9154074074074074,0.009133666750695272,0.997925925925926,0.0014286890016285629,117.28666666666668,1.3758391378839783
mappo_direct_isac,Direct-ISAC MAPPO,3,150,0.8908148148148148,0.049531799653906514,105.19348148148147,11.749264961161272,0.6523244444444445,0.03930768337127569,0.3228148148148147,0.04579575339271731,0.6485925925925926,0.05555792587536011,0.7807407407407406,0.04903882731430414,0.8382222222222221,0.05584635005812652,189.62,25.859257529944667
mappo_residual_mask_isac,Residual-mask MAPPO,3,150,0.9997037037037036,0.00025660011963984816,66.3971851851852,3.008351185610992,0.7820083950617285,0.01002698245423965,0.3764444444444444,0.03000246903420037,0.8217777777777777,0.034279893685819886,0.9764444444444443,0.007594669995837786,0.9968888888888889,0.0008888888888888835,102.31333333333333,1.6753905017438009
