slot,samples,candidate_count_mean_mean,positive_beam_recall_mean,empty_opportunity_exclusion_rate_mean,selected_candidate_compliance_mean,selected_undiscovered_beam_rate_mean,tx_fraction_mean
1,150,24.0,1.0,0.0,1.0,0.2806666666666667,0.6
2,150,23.575333333333333,1.0,0.024352246337996993,1.0,0.3153333333333333,0.5960000000000001
3,150,23.173333333333332,0.9998870056497176,0.04733471616656924,1.0,0.37,0.59
4,150,22.81266666666667,0.9996816830563353,0.06781147142049776,1.0,0.4346666666666667,0.5866666666666667
5,150,22.504,0.9995791189537712,0.08538160812298219,1.0,0.4533333333333333,0.6013333333333333
6,150,22.19266666666667,0.9994660596642068,0.10304951425456853,1.0,0.4973333333333333,0.5913333333333334
7,150,21.922666666666668,0.9989368729778941,0.11813353639522532,1.0,0.5406666666666667,0.6079999999999999
8,150,21.663333333333334,0.9988061540236458,0.13275571371353523,1.0,0.5760000000000001,0.5906666666666667
9,150,21.441333333333333,0.9984837156469041,0.1451468208416278,1.0,0.5973333333333334,0.6006666666666667
10,150,21.233333333333334,0.9981583035428852,0.15665690690817305,1.0,0.6093333333333334,0.6046666666666667
11,150,21.024,0.9974977043146761,0.16807043644729086,1.0,0.6493333333333333,0.6079999999999999
12,150,20.837333333333337,0.9973864344117396,0.17841887561234387,1.0,0.6493333333333333,0.5913333333333333
13,150,20.673333333333332,0.9966609355094576,0.187277573039925,1.0,0.6646666666666666,0.6106666666666666
14,150,20.496666666666666,0.9959825999839831,0.19678784210244862,1.0,0.6873333333333332,0.606
15,150,20.329333333333334,0.9955514896937613,0.20575606195851837,1.0,0.694,0.5826666666666666
16,150,20.177333333333337,0.9950112655944815,0.2138501022618749,1.0,0.7066666666666667,0.6
17,150,20.025333333333336,0.9941847250578623,0.22167937816232913,1.0,0.7113333333333334,0.5826666666666667
18,150,19.884000000000004,0.9933951837519548,0.22890097418244157,1.0,0.7346666666666668,0.6086666666666667
19,150,19.73933333333333,0.9923776857696877,0.2363284818318625,1.0,0.7446666666666666,0.5933333333333334
20,150,19.61066666666667,0.9913915957862017,0.24270923425385044,1.0,0.7520000000000001,0.5920000000000001
21,150,19.486666666666668,0.9903533247751526,0.24882125448874987,1.0,0.7573333333333333,0.5940000000000001
22,150,19.348,0.988688759922286,0.2553845468494016,1.0,0.7520000000000001,0.5933333333333334
23,150,19.221999999999998,0.9883145823080925,0.26172553679726085,1.0,0.7453333333333333,0.588
24,150,19.083333333333332,0.987789232068939,0.26856508829209563,1.0,0.77,0.5706666666666667
25,150,18.956666666666667,0.9872203375377175,0.27464857228105244,1.0,0.7706666666666666,0.5860000000000001
26,150,18.834666666666667,0.9865812846335689,0.2804013764912913,1.0,0.7733333333333333,0.5806666666666667
27,150,18.716,0.9854620109685078,0.28599389848835965,1.0,0.7613333333333333,0.5786666666666668
28,150,18.595999999999997,0.9844532315682479,0.29156080694529257,1.0,0.7686666666666666,0.5706666666666668
29,150,18.485333333333333,0.9840171374348142,0.296916145018372,1.0,0.7706666666666666,0.584
30,150,18.36933333333333,0.983597297586418,0.30247696252033907,1.0,0.7879999999999999,0.5646666666666667
31,150,18.25133333333333,0.9827784887170221,0.30764926602109083,1.0,0.7793333333333333,0.5526666666666668
32,150,18.14666666666667,0.9819696110995718,0.3123103170701633,1.0,0.804,0.5773333333333334
33,150,18.048,0.9814483302153282,0.3168600177199649,1.0,0.7733333333333333,0.562
34,150,17.946666666666665,0.9810070697403129,0.3214954480807217,1.0,0.7933333333333333,0.5706666666666667
35,150,17.839333333333332,0.9798392562765571,0.32600154614660315,1.0,0.7826666666666667,0.5673333333333332
36,150,17.738666666666667,0.9786277114733302,0.3304375096219582,1.0,0.7746666666666667,0.548
37,150,17.635333333333335,0.9783872335288951,0.335145378374242,1.0,0.7853333333333334,0.5573333333333335
38,150,17.535333333333334,0.9777124149635059,0.3392314265951049,1.0,0.7893333333333333,0.5546666666666668
39,150,17.45,0.976736954283228,0.3424967043676859,1.0,0.7720000000000001,0.5519999999999999
40,150,17.343333333333334,0.977055646658796,0.3471376158899695,1.0,0.7853333333333334,0.5486666666666667
41,150,17.24066666666667,0.9761663003029978,0.35123163021207643,1.0,0.7746666666666667,0.5353333333333334
42,150,17.134666666666664,0.975344810445507,0.35548352960033375,1.0,0.7666666666666667,0.542
43,150,17.044000000000004,0.9758881778108724,0.35924034461894505,1.0,0.7593333333333334,0.5233333333333333
44,150,16.963333333333335,0.9768736083537565,0.362757166404462,1.0,0.7666666666666667,0.5453333333333333
45,150,16.858,0.977254317559668,0.3671911927268364,1.0,0.7493333333333334,0.5473333333333333
46,150,16.73933333333333,0.9774060823688615,0.3721663272266692,1.0,0.746,0.548
47,150,16.642,0.9776877433925125,0.37619797174803815,1.0,0.7633333333333332,0.5066666666666667
48,150,16.544000000000004,0.9769825040632073,0.3798990373804661,1.0,0.7260000000000001,0.5326666666666667
49,150,16.426666666666666,0.9772839278130345,0.3848992123765865,1.0,0.744,0.5373333333333333
50,150,16.323333333333334,0.9777684032344595,0.3890390433163925,1.0,0.7319999999999999,0.5366666666666666
51,150,16.223333333333333,0.9777920786215107,0.39288901102604484,1.0,0.7126666666666667,0.49399999999999994
52,150,16.133333333333333,0.9777204000406418,0.39636350397095277,1.0,0.7206666666666667,0.52
53,150,16.038666666666664,0.9783518153041317,0.3999503999410739,1.0,0.7186666666666667,0.49933333333333335
54,150,15.943333333333333,0.977828954687957,0.4032741756860739,1.0,0.7053333333333334,0.5180000000000001
55,150,15.845333333333334,0.9776837334564437,0.40674565634854654,1.0,0.6846666666666666,0.5113333333333333
56,150,15.748,0.9784718462395093,0.4105828675629214,1.0,0.6893333333333334,0.5026666666666666
57,150,15.651333333333332,0.9786798522897933,0.4137405935960515,1.0,0.6806666666666668,0.4926666666666667
58,150,15.558666666666666,0.9782598529254295,0.4170082055516452,1.0,0.6526666666666666,0.5046666666666666
59,150,15.441333333333334,0.9785201159422698,0.4212282032881447,1.0,0.6533333333333333,0.48133333333333334
