source_block,protocol,mobility_model,beamwidth_deg,node_count,n_episodes,discovery_rate_mean,discovery_rate_std,empty_scan_ratio_mean,empty_scan_ratio_std,lambda2_mean,lambda2_std,collision_count_mean,collision_count_std,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std
round7_mobility_core,ablation_isac_one_slot_delay,gauss_markov,10.0,100,3,0.3191919191919192,0.006980667694210504,0.5369985818451884,0.00431854612503366,10.55124419788501,2.0347335529371366,733.0,47.33568069296845,0.27799384166119523,0.003974574576700352
round7_mobility_core,improved_rl_isac,gauss_markov,10.0,100,3,0.36996632996633,0.01918967439172532,0.542699479656157,0.004909432626703268,12.754800606165604,1.520884916727751,1127.0,40.92269134192748,0.3012700187554205,0.013712321988203548
round7_mobility_core,improved_rl_no_isac,gauss_markov,10.0,100,3,0.0006060606060606061,0.00016494880422782344,0.9012536681673128,0.00033360101512783084,0.0,0.0,0.0,0.0,0.0006060606060606061,0.00016494880422782344
round8_missing_baselines,rl_no_isac,gauss_markov,10.0,100,3,0.0006060606060606061,0.00032989760845564687,0.9011783128791859,0.0009932234628782473,0.0,0.0,0.0,0.0,0.0006060606060606061,0.00032989760845564687
round8_missing_baselines,skyorbs_like_skip_scan,gauss_markov,10.0,100,3,0.0006734006734006734,0.00047616618261720373,0.9019666666666666,0.0005931710140017782,0.0,0.0,0.0,0.0,0.0006734006734006734,0.00047616618261720373
round7_mobility_core,uniform_random,gauss_markov,10.0,100,3,0.00047138047138047136,9.523323652344074e-05,0.9015055492196565,0.0014925685895802502,0.0,0.0,0.0,0.0,0.00047138047138047136,9.523323652344074e-05
round7_mobility_core,ablation_isac_one_slot_delay,gauss_markov,15.0,100,3,0.5245791245791246,0.0027220717752737367,0.39024890023751485,0.004604907181082593,24.26373253156648,0.8850160778393565,7355.0,113.71308924950841,0.21103389547353146,0.0010125869152817718
round7_mobility_core,improved_rl_isac,gauss_markov,15.0,100,3,0.5477441077441078,0.003718976773463701,0.3941648513488567,0.008623374208691859,29.061546535718293,3.265285580536713,8769.666666666666,561.516003531709,0.197989289611363,0.00895648102701388
round7_mobility_core,improved_rl_no_isac,gauss_markov,15.0,100,3,0.003703703703703704,0.0006867366348273113,0.8345408059692074,0.0021601559782401117,-2.848434868302912e-16,4.0282952222903985e-16,0.0,0.0,0.003703703703703704,0.0006867366348273113
round8_missing_baselines,rl_no_isac,gauss_markov,15.0,100,3,0.003569023569023569,0.00034336831741365556,0.8342511193087915,0.0019692825004994294,-6.835649764581786e-16,1.3235685711801338e-16,0.0,0.0,0.003569023569023569,0.00034336831741365556
round8_missing_baselines,skyorbs_like_skip_scan,gauss_markov,15.0,100,3,0.0028956228956228958,0.0005792811627638132,0.8328277777777778,0.000687229183473259,-1.8559793674254158e-16,2.1554614645645114e-16,0.0,0.0,0.0028956228956228958,0.0005792811627638132
round7_mobility_core,uniform_random,gauss_markov,15.0,100,3,0.002356902356902357,0.0005302362204721758,0.8343031579132978,0.0015293641525810356,-2.7476470045578223e-16,3.1336649943654623e-16,0.0,0.0,0.002356902356902357,0.0005302362204721758
round7_mobility_core,ablation_isac_one_slot_delay,random_direction,10.0,100,3,0.07744107744107744,0.004355814580147131,0.3446420327059805,0.005639101464046516,0.47784426155989523,0.36053555048526986,897.3333333333334,83.56368163795136,0.065529828927301,0.002996292122701918
round7_mobility_core,improved_rl_isac,random_direction,10.0,100,3,0.07771043771043772,0.002476064149609464,0.3468483379266638,0.004690324779853342,1.37260022265298,0.4160445627604461,930.3333333333334,128.5362032874612,0.06540199801449222,0.0006963522428140731
round7_mobility_core,improved_rl_no_isac,random_direction,10.0,100,3,0.0008754208754208755,9.523323652344074e-05,0.9021499930763904,0.0004872961597267264,0.0,0.0,0.0,0.0,0.0008754208754208755,9.523323652344074e-05
round8_missing_baselines,rl_no_isac,random_direction,10.0,100,3,0.00020202020202020202,0.0,0.9015588501705939,0.001683597434917951,0.0,0.0,0.0,0.0,0.00020202020202020202,0.0
round8_missing_baselines,skyorbs_like_skip_scan,random_direction,10.0,100,3,0.00040404040404040404,0.00016494880422782344,0.9006333333333334,0.0010502204354148744,0.0,0.0,0.0,0.0,0.00040404040404040404,0.00016494880422782344
round7_mobility_core,uniform_random,random_direction,10.0,100,3,0.0007407407407407407,0.00041511205407198493,0.9008011565293312,0.001795138715715152,0.0,0.0,0.0,0.0,0.0007407407407407407,0.00041511205407198493
round7_mobility_core,ablation_isac_one_slot_delay,random_direction,15.0,100,3,0.15636363636363637,0.0064330033648851166,0.2814373473835494,0.0005863090015417751,4.208162531190299,1.1120481768538484,4079.0,298.16214827953377,0.08570131535212282,0.0006829893984351202
round7_mobility_core,improved_rl_isac,random_direction,15.0,100,3,0.15333333333333332,0.002441019388604967,0.28184246582340605,0.0012909584998838529,4.474197593995391,0.3930149101933632,3891.6666666666665,322.4327664628533,0.08591494692543712,0.0020632810278296315
round7_mobility_core,improved_rl_no_isac,random_direction,15.0,100,3,0.003771043771043771,0.0004151120540719851,0.8335373079237917,0.0020086543614939887,-7.914585306282672e-16,1.5387484037174534e-16,0.0,0.0,0.003771043771043771,0.0004151120540719851
round8_missing_baselines,rl_no_isac,random_direction,15.0,100,3,0.002962962962962963,0.0005039269207776352,0.8341716141554475,0.001561328417780006,-1.841249784765902e-16,2.6039204173324806e-16,0.0,0.0,0.002962962962962963,0.0005039269207776352
round8_missing_baselines,skyorbs_like_skip_scan,random_direction,15.0,100,3,0.0024915824915824913,0.0005039269207776352,0.833338888888889,0.003273641457927508,-1.5885653484351111e-16,2.2465706604728757e-16,0.0,0.0,0.0024915824915824913,0.0005039269207776352
round7_mobility_core,uniform_random,random_direction,15.0,100,3,0.0021548821548821547,0.0006867366348273111,0.835216514349892,0.0015797642359451816,0.0,0.0,0.0,0.0,0.0021548821548821547,0.0006867366348273111
round7_mobility_core,ablation_isac_one_slot_delay,random_walk,10.0,100,3,0.08208754208754208,0.0014411403743456344,0.7912150586661658,0.004141363568371094,1.1203676001854548,0.45800020147528137,14.333333333333334,5.436502143433364,0.08185185296008264,0.001507569244259272
round7_mobility_core,improved_rl_isac,random_walk,10.0,100,3,0.1822222222222222,0.007991084376603409,0.792198526663999,0.003527043752690717,6.828788461930692,1.661457440039367,99.0,16.08311744241976,0.17864954608603587,0.007834009910923827
round7_mobility_core,improved_rl_no_isac,random_walk,10.0,100,3,0.0003367003367003367,0.0001904664730468815,0.90234434316824,0.000684016761807679,0.0,0.0,0.0,0.0,0.0003367003367003367,0.0001904664730468815
round8_missing_baselines,rl_no_isac,random_walk,10.0,100,3,0.00026936026936026934,9.523323652344074e-05,0.9009826835833721,0.0011033785742501495,0.0,0.0,0.0,0.0,0.00026936026936026934,9.523323652344074e-05
round8_missing_baselines,skyorbs_like_skip_scan,random_walk,10.0,100,3,0.0006734006734006734,0.0005039269207776352,0.9014388888888889,0.00132709187304653,0.0,0.0,0.0,0.0,0.0006734006734006734,0.0005039269207776352
round7_mobility_core,uniform_random,random_walk,10.0,100,3,0.00026936026936026934,9.523323652344074e-05,0.9012960679452728,0.0018453533322732322,0.0,0.0,0.0,0.0,0.00026936026936026934,9.523323652344074e-05
round7_mobility_core,ablation_isac_one_slot_delay,random_walk,15.0,100,3,0.28754208754208754,0.01112558999491632,0.6752083724529157,0.004734249401631694,12.495346063726975,1.4498606574893464,280.6666666666667,25.381533094401966,0.2720683514825976,0.009238214594241357
round7_mobility_core,improved_rl_isac,random_walk,15.0,100,3,0.4414141414141414,0.009232713708044874,0.6716263704454186,0.0024993060874111466,25.135159091100803,0.34423137347784677,840.0,83.43860018001261,0.37734193710496483,0.0028705741148265258
round7_mobility_core,improved_rl_no_isac,random_walk,15.0,100,3,0.004107744107744108,0.0010078538415552705,0.8340811542228165,0.0021105093494795833,-2.9061706897969126e-16,3.4576910741757395e-16,0.0,0.0,0.004107744107744108,0.0010078538415552705
round8_missing_baselines,rl_no_isac,random_walk,15.0,100,3,0.002356902356902357,0.0009084671759752216,0.8341398681817657,0.0020948314157851313,-2.1971352137978858e-16,3.10721841772048e-16,0.0,0.0,0.002356902356902357,0.0009084671759752216
round8_missing_baselines,skyorbs_like_skip_scan,random_walk,15.0,100,3,0.003703703703703704,0.0017326168794974557,0.8324277777777778,0.002087189024667243,-3.3664408470174667e-16,3.9454306551124955e-16,0.0,0.0,0.003703703703703704,0.0017326168794974557
round7_mobility_core,uniform_random,random_walk,15.0,100,3,0.0026262626262626263,0.000718995168486957,0.8348388437970415,0.0003293649039942119,-2.767396421922944e-16,1.9818219163174396e-16,0.0,0.0,0.0026262626262626263,0.000718995168486957
round7_mobility_core,ablation_isac_one_slot_delay,random_waypoint,10.0,100,3,0.02929292929292929,0.0018367921477422033,0.22000288689380235,0.0017669485339317234,-1.0184310126753069e-15,4.781535188362544e-16,2101.0,383.25274515216023,0.020599860494535605,0.0013778023570516938
round7_mobility_core,improved_rl_isac,random_waypoint,10.0,100,3,0.031178451178451177,0.0015237317843750518,0.2178873399205833,0.0006281518299779026,-6.595765899194897e-16,4.217521473319974e-16,1619.6666666666667,68.61648651907369,0.023482896323429838,0.0009079929948624939
round7_mobility_core,improved_rl_no_isac,random_waypoint,10.0,100,3,0.0003367003367003367,0.00034336831741365556,0.9034546617986609,0.00020867216533826494,0.0,0.0,0.0,0.0,0.0003367003367003367,0.00034336831741365556
round8_missing_baselines,rl_no_isac,random_waypoint,10.0,100,3,0.0006734006734006734,0.0005039269207776352,0.9031986297675173,0.0006039337234295709,0.0,0.0,0.0,0.0,0.0006734006734006734,0.0005039269207776352
round8_missing_baselines,skyorbs_like_skip_scan,random_waypoint,10.0,100,3,6.734006734006734e-05,9.523323652344075e-05,0.9037333333333333,0.0002227770850640633,0.0,0.0,0.0,0.0,6.734006734006734e-05,9.523323652344075e-05
round7_mobility_core,uniform_random,random_waypoint,10.0,100,3,0.00047138047138047136,0.0002519634603888176,0.9031525718083392,0.0012021686228652917,0.0,0.0,0.0,0.0,0.00047138047138047136,0.0002519634603888176
round7_mobility_core,ablation_isac_one_slot_delay,random_waypoint,15.0,100,3,0.06390572390572391,0.0034964996594605163,0.1572306146220309,0.002283452848454455,0.668389157890991,0.1106864587467484,5890.333333333333,406.58933690996975,0.029163662027377264,0.0005691417900856232
round7_mobility_core,improved_rl_isac,random_waypoint,15.0,100,3,0.0628956228956229,0.0029979568066736775,0.15952439015910153,0.003544820722437885,1.1288904577782561,0.26896420697256485,8047.666666666667,351.1754863629041,0.023998279085029068,0.0017272309180642515
round7_mobility_core,improved_rl_no_isac,random_waypoint,15.0,100,3,0.003636363636363637,0.00016494880422782344,0.8394231473379561,0.0014875559307771557,-4.613595055963855e-16,3.3040560566797875e-16,0.0,0.0,0.003636363636363637,0.00016494880422782344
