path_loss_exponent,sinr_threshold_db,tx_power_w,samples,edge_coverage_rate,edge_coverage_ci95_low,edge_coverage_ci95_high,mid_coverage_rate,mid_coverage_ci95_low,mid_coverage_ci95_high,equal_power_decode_rate,equal_power_decode_ci95_low,equal_power_decode_ci95_high,near_far_capture_rate,near_far_capture_ci95_low,near_far_capture_ci95_high,one_sided_interference_survival_rate,one_sided_interference_survival_ci95_low,one_sided_interference_survival_ci95_high,edge_snr_mean_db,edge_snr_p10_db,edge_snr_p50_db,feasible,calibration_score
2.2,5.0,2.0,20000,0.89005,0.8856393783375073,0.8943108143351256,0.99665,0.9957482370499539,0.9973610135355174,0.17665,0.17142678529130861,0.18199740442617424,0.94615,0.9429351680081453,0.9491934782189926,0.9765,0.9743072645594955,0.9785097250790369,8.47427173307432,4.825343615097871,8.582626114152477,1,0.01990000000000003
2.0,7.5,0.5,20000,0.8871,0.8826394769778014,0.8914118487075624,0.99545,0.994417390611427,0.9962923208605788,0.0504,0.04745347452539701,0.053519204296252273,0.7681,0.7621997056843317,0.773897324582385,0.96215,0.9594152486440009,0.9647072524293414,10.930793074514387,7.281864956537945,11.039147455592538,1,0.025800000000000045
2.1,5.0,1.0,20000,0.94475,0.9414974032155082,0.9478317807125866,0.9984,0.9977422157210755,0.9988663627381994,0.1837,0.1783941476942676,0.18912733431482415,0.9317,0.928120369808072,0.9351138262610872,0.98535,0.9835892221894629,0.9869243684108762,9.702532403794354,6.0536042858179,9.810886784872507,1,0.08949999999999991
2.0,5.0,0.25,20000,0.85275,0.84777124469381,0.8575932738686082,0.9934,0.9921791719019251,0.9944313269179108,0.16925,0.1641168673977929,0.1745101644533203,0.91055,0.9065154924660899,0.9144268267282425,0.9762,0.9739943045993605,0.9782228002608052,7.920493117874575,4.271564999898135,8.028847498952727,1,0.09450000000000003
2.1,7.5,2.0,20000,0.9598,0.9569882282901122,0.962435175352694,0.99885,0.9982748651476752,0.9992335404791493,0.0543,0.051244146982888684,0.057527033957522976,0.80835,0.8028360826253629,0.8137454887388373,0.96855,0.9660397556629301,0.9708802873488942,12.712832360434165,9.063904242457712,12.821186741512319,1,0.11959999999999993
2.0,5.0,0.5,20000,0.97635,0.9741507735049671,0.978366273744382,0.99915,0.9986390788900333,0.9994692115151574,0.18825,0.18289239680774336,0.19372733767323783,0.91335,0.9093713430260113,0.9171699007664069,0.9922,0.9908827240222376,0.993328235684133,10.930793074514387,7.281864956537945,11.039147455592538,1,0.15270000000000006
2.0,7.5,1.0,20000,0.9829,0.9810083041629561,0.984606227414058,0.99945,0.9990153237654903,0.9996928514180666,0.05585,0.05275197922458176,0.05911860640405597,0.7713,0.7654274911796819,0.7770683100562756,0.98005,0.9780179195593922,0.9818977066231417,13.9410930311542,10.292164913177757,14.04944741223235,0,0.16579999999999995
2.1,5.0,2.0,20000,0.9927,0.9914219220373862,0.9937888456329284,0.99975,0.9994148495964674,0.9998932103654561,0.19495,0.18951836803346778,0.20049879316436164,0.93355,0.9300142403702767,0.9369192451654749,0.9935,0.9922875978181341,0.9945228625944907,12.712832360434165,9.063904242457712,12.821186741512319,0,0.1854
2.0,5.0,1.0,20000,0.99735,0.996535693976946,0.9979732877580466,0.9998,0.9994858195143681,0.9999222212439498,0.1975,0.192040855256693,0.20307532655725025,0.9148,0.9108507414315324,0.918589945456323,0.9962,0.995246781717087,0.9969626417008347,13.9410930311542,10.292164913177757,14.04944741223235,0,0.19469999999999987
2.0,7.5,2.0,20000,0.9981,0.9973933437444168,0.9986153499364917,0.99985,0.9995590363727073,0.999948985182005,0.05915,0.055964457417958635,0.06250486077270881,0.7737,0.7678486440716322,0.7794462353912562,0.987,0.9853339769564371,0.988478979924917,16.95139298779401,13.30246486981757,17.059747368872163,0,0.19619999999999993
