label,display_name,metric,mean,trained_full_mean,absolute_delta_vs_trained_full,relative_delta_vs_trained_full
trained_full,Trained full,discovery_rate,0.2957575757575758,0.2957575757575758,0.0,0.0
trained_full,Trained full,collision_penalized_discovery_rate,0.22974139160980153,0.22974139160980153,0.0,0.0
trained_full,Trained full,collision_count,1415.3333333333333,1415.3333333333333,0.0,0.0
trained_full,Trained full,lambda2,10.779389732153113,10.779389732153113,0.0,0.0
trained_full,Trained full,empty_scan_ratio,0.06609199025147541,0.06609199025147541,0.0,0.0
random_weights_full,Random weights,discovery_rate,0.40538720538720535,0.2957575757575758,0.10962962962962958,0.27043189368770754
random_weights_full,Random weights,collision_penalized_discovery_rate,0.15985738338663708,0.22974139160980153,-0.06988400822316446,-0.30418553545569704
random_weights_full,Random weights,collision_count,7624.666666666667,1415.3333333333333,6209.333333333334,0.8143743988808254
random_weights_full,Random weights,lambda2,18.71432606482528,10.779389732153113,7.934936332672166,0.4240033173081431
random_weights_full,Random weights,empty_scan_ratio,0.044696764756742065,0.06609199025147541,-0.02139522549473335,-0.3237188865598692
zero_weights_rule_only,Zero weights,discovery_rate,0.4264646464646465,0.2957575757575758,0.13070707070707072,0.3064898152534344
zero_weights_rule_only,Zero weights,collision_penalized_discovery_rate,0.1463690917331346,0.22974139160980153,-0.08337229987666694,-0.36289629523211264
zero_weights_rule_only,Zero weights,collision_count,9552.333333333334,1415.3333333333333,8137.000000000001,0.8518337578951042
zero_weights_rule_only,Zero weights,lambda2,21.26147792700104,10.779389732153113,10.482088194847925,0.4930084461125906
zero_weights_rule_only,Zero weights,empty_scan_ratio,0.043802753151366336,0.06609199025147541,-0.022289237100109077,-0.3372456634351619
trained_no_rule_residual,No rule residual,discovery_rate,0.25737373737373737,0.2957575757575758,-0.03838383838383841,-0.1297814207650274
trained_no_rule_residual,No rule residual,collision_penalized_discovery_rate,0.23208024163519003,0.22974139160980153,0.0023388500253885003,0.010077764521914662
trained_no_rule_residual,No rule residual,collision_count,536.6666666666666,1415.3333333333333,-878.6666666666666,-0.6208195949128592
trained_no_rule_residual,No rule residual,lambda2,9.21381133571789,10.779389732153113,-1.5655783964352228,-0.14523812899772653
trained_no_rule_residual,No rule residual,empty_scan_ratio,0.0947178970091263,0.06609199025147541,0.028625906757650893,0.30222278641693995
trained_no_candidate_mask,No candidate mask,discovery_rate,0.2997979797979798,0.2957575757575758,0.004040404040404011,0.013477088948786964
trained_no_candidate_mask,No candidate mask,collision_penalized_discovery_rate,0.2826403041171332,0.22974139160980153,0.05289891250733167,0.18715983437878356
trained_no_candidate_mask,No candidate mask,collision_count,299.3333333333333,1415.3333333333333,-1116.0,-0.7885068299576072
trained_no_candidate_mask,No candidate mask,lambda2,12.781948232226648,10.779389732153113,2.002558500073535,0.15667083481253344
trained_no_candidate_mask,No candidate mask,empty_scan_ratio,0.817264183323315,0.06609199025147541,0.7511721930718396,0.9191302009801536
