method,training_seed,episode_start,episode_end,training_step_end,discovery_rate,bilateral_alignment_per_active_pair_slot,aligned_opportunity_per_bilateral_alignment,tx_ratio,episode_return_mean_per_agent,measurement_prediction_aux_loss,measurement_prediction_sample_count,max_rollout_replay_logprob_error
learned_beam_direct_isac_measurement_aux,39261720,251,375,6000,0.664,0.07053941908713693,0.8137254901960784,0.56725,1.4179999468922615,0.004843383771181107,18.152,0.0
learned_beam_direct_isac_measurement_aux,39261720,376,500,8000,0.84,0.10981697171381032,0.7954545454545454,0.60675,1.8411999193429947,0.008955563266947866,19.416,0.0
learned_beam_direct_isac_measurement_aux,39261720,501,625,10000,0.84,0.09616829451540196,0.8203125,0.634,1.7895999170541763,0.005742023303546011,20.288,0.0
learned_beam_direct_isac_measurement_aux,39262729,1,125,2000,0.648,0.06952247191011236,0.8181818181818182,0.52325,1.397199933409691,0.1778713223457336,16.744,0.0
learned_beam_direct_isac_measurement_aux,39262729,126,250,4000,0.776,0.0821529745042493,0.8362068965517241,0.5255,1.638799940943718,0.016294513329118486,16.816,0.0
learned_beam_direct_isac_measurement_aux,39262729,251,375,6000,0.72,0.08205841446453407,0.7627118644067796,0.55475,1.5247999292314052,0.01691625566110015,17.752,0.0
learned_beam_direct_isac_measurement_aux,39262729,376,500,8000,0.832,0.11456752655538695,0.6887417218543046,0.5265,1.7799999457895757,0.0034784349551424385,16.848,0.0
learned_beam_direct_isac_measurement_aux,39262729,501,625,10000,0.864,0.10826627651792246,0.7297297297297297,0.60075,1.819599951773882,0.0019844010207802055,19.224,0.0
learned_beam_residual_isac_measurement_aux,39260711,1,125,2000,0.04,0.002560163850486431,1.0,0.6815,0.06079999327659607,0.1582170739650726,21.808,0.0
learned_beam_residual_isac_measurement_aux,39260711,126,250,4000,0.176,0.01652452025586354,0.7096774193548387,0.36775,0.3431999842822552,0.020076789945364,11.768,0.0
learned_beam_residual_isac_measurement_aux,39260711,251,375,6000,0.736,0.08764367816091954,0.7540983606557377,0.62825,1.57279990914464,0.008043121103383599,20.104,0.0
learned_beam_residual_isac_measurement_aux,39260711,376,500,8000,0.768,0.09372693726937269,0.7559055118110236,0.59875,1.6467999109327793,0.0052771374519914385,19.16,0.0
