method,n_episodes,discovery_rate_mean,discovery_rate_std,mean_delay_censored_mean,mean_delay_censored_std,lambda2_mean,lambda2_std,lcc_ratio_mean,lcc_ratio_std,empty_scan_ratio_mean,empty_scan_ratio_std,tx_actions_mean,tx_actions_std,rx_actions_mean,rx_actions_std,idle_actions_mean,idle_actions_std,collision_count_mean,collision_count_std,sensing_observations_mean,sensing_observations_std
wang_random_mode_random_beam,5,0.2488888888888888,0.0382325567424116,181.70666666666665,2.034050875215009,6.602523526463058e-17,2.14699054171193e-16,0.8800000000000001,0.0399999999999999,0.641,0.0193364939945171,988.4,21.17167919651155,1011.6,21.17167919651155,0.0,0.0,0.0,0.0,8448.0,146.61377834296476
matched_marginal_random_mode,5,0.1688888888888889,0.0412160822022031,186.38666666666668,4.115963502699652,-8.348922102245987e-17,1.320840897315365e-16,0.72,0.16,0.656757933299877,0.0175346712094822,942.2,11.855800268223144,803.8,15.223665787188052,254.0,10.039920318408909,0.4,0.8,8017.2,136.88155463757707
retrained_ckpt40_full_policy,5,0.7022222222222222,0.0751623756679456,127.28444444444445,6.835541106761202,3.597115869390973,0.9483994724151096,1.0,0.0,0.3339438461674566,0.0315547540865922,1104.4,11.49956520917204,829.2,8.35224520712844,66.4,14.759403781996074,1.2,1.6,9440.4,155.38030763259545
retrained_ckpt40_mode_wang_random_beam,5,0.7022222222222222,0.0697083872949249,133.95999999999998,6.670686195661413,3.45710474655559,0.7181747441536518,1.0,0.0,0.347941944358176,0.0210873019099245,1115.2,22.22071105972984,824.4,20.48999755978512,60.4,10.268398122394748,1.6,1.9595917942265424,9512.4,314.9594259583288
retrained_final_full_policy,5,0.4444444444444445,0.0659217643297392,161.63111111111112,3.7750212165212025,1.4553385509745846,0.6404772749590194,1.0,0.0,0.3440319649597482,0.0174036497544285,845.6,24.401639289195305,478.8,16.84517735139645,675.6,24.146221236458512,0.4,0.8,7161.6,241.1626836805396
stable_reward_ckpt100_full_policy,5,0.6,0.04216370213557837,139.81777777777776,4.230924365626777,2.391653410580343,0.6527129136253934,1.0,0.0,0.3668915917801838,0.01617930454544619,898.4,11.568923891183655,794.8,18.519179247472064,306.8,14.483093592185337,1.2,0.9797958971132713,7635.0,139.0266161567633
stable_reward_ckpt100_mode_wang_random_beam,5,0.6,0.11504159204928698,148.0933333333333,9.214592828099041,2.850274611881192,1.471730040250037,1.0,0.0,0.3717714963600331,0.02901774830837104,920.2,26.171740484728943,805.4,27.163210414087654,274.4,39.43906692608231,0.8,0.9797958971132713,7809.0,241.88261615916096
stable_reward_ckpt60_full_policy,5,0.5644444444444444,0.11469767022723507,151.05777777777777,9.441496010356635,2.22150520989665,1.007994534497933,1.0,0.0,0.3799689469895101,0.02155640056808017,869.4,25.8812673569128,821.8,28.909514004908488,308.8,40.17661011085928,1.2,1.5999999999999999,7390.8,207.64334807549216
stable_reward_ckpt60_mode_wang_random_beam,5,0.5466666666666666,0.05551109331909687,153.60444444444445,5.674171936106081,2.0118506138799015,0.4698004069094441,1.0,0.0,0.3761308548441226,0.00827765581631757,872.2,20.701690752206687,830.8,26.32413341403663,297.0,24.843510218968657,0.4,0.8000000000000002,7396.2,131.63950774748437
