checkpoint,eval_episode,seed,full_discovery_rate,mode_random_beam_discovery_rate,discovery_delta_full_minus_random_beam,full_delay,mode_random_beam_delay,delay_delta_full_minus_random_beam,full_lambda2,mode_random_beam_lambda2,lambda2_delta_full_minus_random_beam
ckpt60,0,2026084001,0.5111111111111111,0.5777777777777777,-0.06666666666666665,160.73333333333332,155.9777777777778,4.7555555555555316,1.6578636922403345,2.835636010240127,-1.1777723179997925
ckpt60,1,2026084002,0.5777777777777777,0.5333333333333333,0.0444444444444444,144.75555555555556,149.11111111111111,-4.355555555555554,1.8551297376044835,1.7077422406041043,0.14738749700037923
ckpt60,2,2026084003,0.7111111111111111,0.6,0.11111111111111116,143.22222222222223,151.44444444444446,-8.222222222222229,3.5965543007373064,1.7624266074033013,1.8341276933340052
ckpt60,3,2026084004,0.6444444444444445,0.5777777777777777,0.06666666666666676,142.3111111111111,147.95555555555555,-5.644444444444446,3.14758729916944,2.2185772525623184,0.9290100466071216
ckpt60,4,2026084005,0.3777777777777777,0.4444444444444444,-0.06666666666666671,164.26666666666668,163.53333333333333,0.7333333333333485,0.8503910197316847,1.5348709585896565,-0.6844799388579718
ckpt100,0,2026084001,0.6666666666666666,0.7111111111111111,-0.04444444444444451,141.17777777777778,143.9111111111111,-2.73333333333332,3.062852762297376,4.30716927854772,-1.2443165162503442
ckpt100,1,2026084002,0.5555555555555556,0.7333333333333333,-0.1777777777777777,139.93333333333334,134.88888888888889,5.044444444444451,1.696164479228787,4.693445453764712,-2.997280974535925
ckpt100,2,2026084003,0.6,0.5333333333333333,0.06666666666666665,138.82222222222222,154.73333333333332,-15.911111111111097,3.067262862127055,1.7052561078110742,1.3620067543159808
ckpt100,3,2026084004,0.6222222222222222,0.6,0.022222222222222254,133.0,145.37777777777777,-12.377777777777766,2.5795109504202296,2.688432430931276,-0.10892148051104655
ckpt100,4,2026084005,0.5555555555555556,0.4222222222222222,0.13333333333333336,146.15555555555557,161.55555555555554,-15.399999999999977,1.5524759988282668,0.85706978835118,0.6954062104770868
