angular_cell_offset_std,area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,collision_count,communication_range_m,communication_range_to_diagonal_ratio,connected_components,discovered_edges,discovery_rate,elevation_cells,empty_scan_ratio,episode,false_alarm_rate,finite_time_discovery_rate,isac_error_sweep_enabled,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,miss_detection_rate,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,protocol,range_mode,range_sweep_enabled,scenario_seed,seed,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slots,train_beamwidth_deg,train_node_count,true_edges_seen
0.0,647.3111631092913,density,36,20290704,648,10.0,0,0,679.6767212647559,1.05,49,1,0.0008163265306122449,18,0.939,0,0.0,0.0008163265306122449,False,0.96,0.0,2,0.04,599.7093877551021,599.7093877551021,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,skyorbs_like_skip_scan,singlehop,True,20290704,20317340,339.83836063237794,0.525,0.5,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,0,0,679.6767212647559,1.05,50,0,0.0,18,0.9398776374617617,0,0.0,0.0,False,1.0,0.0,1,0.02,600.0,600.0,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,singlehop,True,20290704,20301901,339.83836063237794,0.525,0.5,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,0,0,679.6767212647559,1.05,50,0,0.0,18,0.9417562060022231,0,0.0,0.0,False,1.0,0.0,1,0.02,600.0,600.0,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,rl_no_isac,singlehop,True,20290704,20296402,339.83836063237794,0.525,0.5,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,0,0,679.6767212647559,1.05,50,0,0.0,18,0.938908175073174,0,0.0,0.0,False,1.0,0.0,1,0.02,600.0,600.0,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,singlehop,True,20290704,20310583,339.83836063237794,0.525,0.5,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,0,247,679.6767212647559,1.05,1,574,0.4685714285714286,18,0.639103474555721,0,0.0,0.4685714285714286,False,0.0,13.955517951013617,50,1.0,435.60571428571427,435.60571428571427,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,singlehop,True,20290704,20304926,339.83836063237794,0.525,0.5,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,1,0,679.6767212647559,1.05,49,1,0.0008163265306122449,18,0.939,0,0.0,0.0008163265306122449,False,0.96,0.0,2,0.04,599.7093877551021,599.7093877551021,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,skyorbs_like_skip_scan,singlehop,True,20290704,20317340,509.7575409485669,0.7875,0.75,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,1,0,679.6767212647559,1.05,50,0,0.0,18,0.9398776374617617,0,0.0,0.0,False,1.0,0.0,1,0.02,600.0,600.0,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,singlehop,True,20290704,20301901,509.7575409485669,0.7875,0.75,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,1,0,679.6767212647559,1.05,50,0,0.0,18,0.9417562060022231,0,0.0,0.0,False,1.0,0.0,1,0.02,600.0,600.0,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,rl_no_isac,singlehop,True,20290704,20296402,509.7575409485669,0.7875,0.75,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,1,0,679.6767212647559,1.05,50,0,0.0,18,0.938908175073174,0,0.0,0.0,False,1.0,0.0,1,0.02,600.0,600.0,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,singlehop,True,20290704,20310583,509.7575409485669,0.7875,0.75,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,1,369,679.6767212647559,1.05,1,603,0.4922448979591837,18,0.6212829300377333,0,0.0,0.4922448979591837,False,0.0,11.550208550901743,50,1.0,431.72163265306125,431.72163265306125,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,singlehop,True,20290704,20304926,509.7575409485669,0.7875,0.75,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,2,0,679.6767212647559,1.05,49,1,0.0008163265306122449,18,0.939,0,0.0,0.0008163265306122449,False,0.96,0.0,2,0.04,599.7093877551021,599.7093877551021,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,skyorbs_like_skip_scan,singlehop,True,20290704,20317340,679.6767212647559,1.05,1.0,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,2,0,679.6767212647559,1.05,50,0,0.0,18,0.9398776374617617,0,0.0,0.0,False,1.0,0.0,1,0.02,600.0,600.0,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,singlehop,True,20290704,20301901,679.6767212647559,1.05,1.0,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,2,0,679.6767212647559,1.05,50,0,0.0,18,0.9417562060022231,0,0.0,0.0,False,1.0,0.0,1,0.02,600.0,600.0,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,rl_no_isac,singlehop,True,20290704,20296402,679.6767212647559,1.05,1.0,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,2,0,679.6767212647559,1.05,50,0,0.0,18,0.938908175073174,0,0.0,0.0,False,1.0,0.0,1,0.02,600.0,600.0,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,singlehop,True,20290704,20310583,679.6767212647559,1.05,1.0,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,2,283,679.6767212647559,1.05,1,570,0.46530612244897956,18,0.6274754189170475,0,0.0,0.46530612244897956,False,0.0,10.324496649931264,50,1.0,429.83591836734695,429.83591836734695,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,singlehop,True,20290704,20304926,679.6767212647559,1.05,1.0,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,3,0,679.6767212647559,1.05,49,1,0.0008163265306122449,18,0.939,0,0.0,0.0008163265306122449,False,0.96,0.0,2,0.04,599.7093877551021,599.7093877551021,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,skyorbs_like_skip_scan,singlehop,True,20290704,20317340,849.5959015809449,1.3125,1.25,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,3,0,679.6767212647559,1.05,50,0,0.0,18,0.9398776374617617,0,0.0,0.0,False,1.0,0.0,1,0.02,600.0,600.0,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,singlehop,True,20290704,20301901,849.5959015809449,1.3125,1.25,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,3,0,679.6767212647559,1.05,50,0,0.0,18,0.9417562060022231,0,0.0,0.0,False,1.0,0.0,1,0.02,600.0,600.0,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,rl_no_isac,singlehop,True,20290704,20296402,849.5959015809449,1.3125,1.25,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,3,0,679.6767212647559,1.05,50,0,0.0,18,0.938908175073174,0,0.0,0.0,False,1.0,0.0,1,0.02,600.0,600.0,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,singlehop,True,20290704,20310583,849.5959015809449,1.3125,1.25,600,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,3,283,679.6767212647559,1.05,1,570,0.46530612244897956,18,0.6274754189170475,0,0.0,0.46530612244897956,False,0.0,10.324496649931264,50,1.0,429.83591836734695,429.83591836734695,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,singlehop,True,20290704,20304926,849.5959015809449,1.3125,1.25,600,10.0,10,1225
0.0,647.3111631092913,density,24,20290704,288,15.0,4,0,679.6767212647559,1.05,47,3,0.0024489795918367346,12,0.8895333333333333,0,0.0,0.0024489795918367346,False,0.88,0.0,2,0.04,599.164081632653,599.164081632653,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,skyorbs_like_skip_scan,singlehop,True,20290704,20317340,339.83836063237794,0.525,0.5,600,10.0,10,1225
0.0,647.3111631092913,density,24,20290704,288,15.0,4,2,679.6767212647559,1.05,47,3,0.0024489795918367346,12,0.889599184249745,0,0.0,0.0024489795918367346,False,0.88,0.0,2,0.04,599.3942857142857,599.3942857142857,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,singlehop,True,20290704,20301901,339.83836063237794,0.525,0.5,600,10.0,10,1225
0.0,647.3111631092913,density,24,20290704,288,15.0,4,0,679.6767212647559,1.05,47,3,0.0024489795918367346,12,0.8917747313819934,0,0.0,0.0024489795918367346,False,0.88,0.0,2,0.04,599.2383673469387,599.2383673469387,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,rl_no_isac,singlehop,True,20290704,20296402,339.83836063237794,0.525,0.5,600,10.0,10,1225
0.0,647.3111631092913,density,24,20290704,288,15.0,4,0,679.6767212647559,1.05,47,3,0.0024489795918367346,12,0.8903950953678474,0,0.0,0.0024489795918367346,False,0.88,0.0,2,0.04,599.1665306122449,599.1665306122449,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,singlehop,True,20290704,20310583,339.83836063237794,0.525,0.5,600,10.0,10,1225
0.0,647.3111631092913,density,24,20290704,288,15.0,4,2364,679.6767212647559,1.05,1,851,0.6946938775510204,12,0.4266398557758979,0,0.0,0.6946938775510204,False,0.0,23.65264289787464,50,1.0,330.7477551020408,330.7477551020408,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,singlehop,True,20290704,20304926,339.83836063237794,0.525,0.5,600,10.0,10,1225
0.0,647.3111631092913,density,24,20290704,288,15.0,5,0,679.6767212647559,1.05,47,3,0.0024489795918367346,12,0.8895333333333333,0,0.0,0.0024489795918367346,False,0.88,0.0,2,0.04,599.164081632653,599.164081632653,0.0,gauss_markov,4.1164257530559025,50,600.0,600.0,600.0,600.0,600.0,600.0,skyorbs_like_skip_scan,singlehop,True,20290704,20317340,509.7575409485669,0.7875,0.75,600,10.0,10,1225
