generation,candidate,evaluation_index,generation_best_score,generation_best_reward,generation_best_discovery_rate,best_so_far_score,best_so_far_reward,best_so_far_discovery_rate
0,2,3,111.31049418191463,111.31049418191463,0.8888888888888888,111.31049418191463,111.31049418191463,0.8888888888888888
1,5,14,118.80119640387277,118.80119640387277,0.9333333333333332,118.80119640387277,118.80119640387277,0.9333333333333332
2,5,22,113.879763499211,113.879763499211,0.8888888888888888,118.80119640387277,118.80119640387277,0.9333333333333332
3,0,25,110.96621924319372,110.96621924319372,0.9111111111111112,118.80119640387277,118.80119640387277,0.9333333333333332
4,5,38,126.16484140025176,126.16484140025176,0.9555555555555556,126.16484140025176,126.16484140025176,0.9555555555555556
