alpha_occupancy,candidate,collision_count_mean,collision_per_slot_mean,confidence_decay,delay_fraction_mean,discovered_edges_mean,discovery_rate_mean,empty_scan_ratio_mean,episode_count,episodes_per_seed,exploration_floor,generation,is_elite,isolated_node_ratio_mean,lambda2_mean,lcc_ratio_mean,mean_delay_censored_mean,p90_delay_censored_mean,p95_delay_censored_mean,p99_delay_censored_mean,piggyback_sensing_period_multiplier,protocol,rank,score,seed_count,slots_per_episode,softmax_beta,true_edges_seen_mean
2.2,0,102.33333333333333,0.3411111111111111,0.98,0.23631287695311257,48.666666666666664,0.914281684976953,0.20707252387662278,6.0,2,0.08,0,1,0.0,4.244995591376305,1.0,70.89386308593377,187.0,300.0,300.0,1.0,improved_rl_isac,3,114.60008744622876,3,300.0,3.0,53.166666666666664
1.3989696250851973,1,52.5,0.175,0.9614829521711459,0.28493980540796804,46.5,0.8740669151304542,0.2793666348176013,6.0,2,0.09113062932769117,0,0,0.0,3.712559797483015,1.0,85.48194162239041,264.16666666666674,300.0,300.0,1.91455208668423,improved_rl_isac,8,108.33396364186943,3,300.0,5.475100055438483,53.166666666666664
1.2182541705453216,2,65.33333333333333,0.21777777777777776,0.995,0.21357221392779271,48.833333333333336,0.9200254107895661,0.2776014401800949,6.0,2,0.05481740052930131,0,1,0.0,3.922717295422663,1.0,64.07166417833781,198.55000000000004,284.09999999999974,300.0,1.0177740383016896,improved_rl_isac,2,115.3013767790787,3,300.0,3.3354267211424995,53.166666666666664
3.0,3,54.333333333333336,0.1811111111111111,0.995,0.2627964783072474,47.333333333333336,0.8882160173943107,0.28192969923340777,6.0,2,0.038333104105856594,0,0,0.0,3.9458206649015435,1.0,78.83894349217422,246.9666666666667,300.0,300.0,3.048343280845067,improved_rl_isac,6,111.40599450783098,3,300.0,1.9565371474585798,53.166666666666664
1.9163019079317647,4,92.83333333333333,0.3094444444444444,0.978888302732561,0.19782120319158164,50.0,0.9417311202278067,0.22552883913670296,6.0,2,0.03896751752364834,0,1,0.0,4.420682828897829,1.0,59.346360957474495,161.93333333333342,266.28333333333325,300.0,0.5,improved_rl_isac,1,119.64242439989943,3,300.0,1.9686179409885738,53.166666666666664
2.0741590656170805,5,28.833333333333332,0.0961111111111111,0.9162387398090035,0.2953178631201778,47.666666666666664,0.8948532654933073,0.42966111894495684,6.0,2,0.1994767248061531,0,0,0.0,3.866237178594367,1.0,88.59535893605334,271.3000000000001,299.56666666666666,300.0,1.3772282916761829,improved_rl_isac,7,109.44153194757588,3,300.0,0.25,53.166666666666664
2.426065011698033,6,44.0,0.14666666666666667,0.9669285855791019,0.26288032355759466,48.0,0.9044690493722584,0.348679938924908,6.0,2,0.06997312778051622,0,0,0.0,4.1310094860285655,1.0,78.8640970672784,195.4666666666667,288.2999999999999,300.0,2.0043503449124684,improved_rl_isac,4,113.30861054880931,3,300.0,1.1762735711025591,53.166666666666664
2.0368053051066495,7,28.166666666666668,0.0938888888888889,0.9742155768081446,0.32426271364820175,46.666666666666664,0.8775075141994687,0.41904576032711605,6.0,2,0.146598529846228,0,0,0.0,3.922049171658857,1.0,97.27881409446053,255.63333333333335,300.0,300.0,1.6582358613641301,improved_rl_isac,9,107.37442288447498,3,300.0,0.29627736798675175,53.166666666666664
2.374508645953545,8,51.333333333333336,0.17111111111111113,0.9284817422460986,0.3045419268031464,45.333333333333336,0.8491292617629672,0.29904647897451847,6.0,2,0.08136006670352489,0,0,0.0,3.6918858750486776,1.0,91.36257804094392,282.6666666666667,300.0,300.0,1.9572906327167083,improved_rl_isac,10,104.83294594573314,3,300.0,3.084742494121328,53.166666666666664
1.3863325152170138,9,72.66666666666667,0.24222222222222223,0.955431222347502,0.2605862972333925,47.333333333333336,0.8887039174723746,0.2166906506285772,6.0,2,0.030483157493156644,0,0,0.0,4.009448234202877,1.0,78.17588917001775,230.83333333333337,288.25,300.0,0.9730879262957219,improved_rl_isac,5,111.9217865442341,3,300.0,5.636429725255505,53.166666666666664
1.7834283498049623,0,94.0,0.31333333333333335,0.9765117369599023,0.16447566107833325,50.5,0.9483330734275391,0.1826784741003722,6.0,2,0.0725261780914119,1,1,0.0,4.453074243030636,1.0,49.342698323499974,112.03333333333332,218.48333333333332,277.5633333333333,0.5,improved_rl_isac,1,122.24417257688297,3,300.0,3.2586070352648817,53.166666666666664
2.3724168147923694,1,83.5,0.2783333333333333,0.9826297827354398,0.25283849794853847,48.0,0.8996423373312689,0.2521106590128797,6.0,2,0.09296761366681744,1,0,0.0,4.223277207753319,1.0,75.85154938456154,230.63333333333335,279.31666666666655,300.0,1.1203569685549724,improved_rl_isac,10,112.88658498651307,3,300.0,1.8928632663124962,53.166666666666664
2.654557843480615,2,100.66666666666667,0.33555555555555555,0.9914679445767739,0.18934016070482762,48.5,0.9113054945007626,0.18911051155831674,6.0,2,0.1639110807705422,1,0,0.0,4.232608127397431,1.0,56.80204821144829,153.24999999999994,300.0,300.0,0.5073082502466932,improved_rl_isac,7,116.12006392364114,3,300.0,2.335924128007954,53.166666666666664
1.9818458471999933,3,94.5,0.315,0.995,0.18481494322980777,49.833333333333336,0.9387549297516163,0.18207302678603662,6.0,2,0.06612823864899701,1,1,0.0,4.395369203332838,1.0,55.44448296894233,144.8166666666667,220.24999999999974,300.0,0.5,improved_rl_isac,2,120.36643015921086,3,300.0,3.373202426133709,53.166666666666664
1.9524748762284379,4,107.83333333333333,0.35944444444444446,0.9864887070563227,0.18946281022345338,49.5,0.9307668635799087,0.18311310308027143,6.0,2,0.04557512077799351,1,0,0.0,4.314061208640167,1.0,56.83884306703601,154.96666666666673,242.64166666666642,300.0,0.5,improved_rl_isac,4,118.1119571439938,3,300.0,3.0859736848742405,53.166666666666664
1.816103160059386,5,47.0,0.15666666666666668,0.97041529688685,0.20699967173436828,49.666666666666664,0.9330441535345035,0.31781118906212863,6.0,2,0.04544338133578111,1,1,0.0,4.393721996372869,1.0,62.09990152031048,167.8333333333333,256.9166666666665,296.1133333333333,1.452138307963521,improved_rl_isac,3,119.57347806870773,3,300.0,1.6474064508227664,53.166666666666664
1.965576647374501,6,86.83333333333333,0.28944444444444445,0.995,0.21299738599875695,49.333333333333336,0.9286865406938655,0.23749831105987376,6.0,2,0.09860124676426871,1,0,0.0,3.9623341386841258,1.0,63.899215799627086,158.45,261.0166666666662,300.0,0.7251290716274058,improved_rl_isac,8,115.75154807275811,3,300.0,2.221069845941509,53.166666666666664
2.600768171918164,7,107.16666666666667,0.3572222222222222,0.9742755891608629,0.21818072621164797,49.333333333333336,0.9277577235082176,0.17642450430407966,6.0,2,0.01,1,0,0.0,3.7989795511004547,1.0,65.45421786349439,153.66666666666666,279.09999999999985,300.0,0.7737054960946801,improved_rl_isac,9,114.55231378944856,3,300.0,3.2247763758140344,53.166666666666664
0.9191254671984785,8,54.0,0.18,0.9848263758438575,0.21109577782268454,49.0,0.9199666244050618,0.3046236930041153,6.0,2,0.1020663285749514,1,0,0.0,4.293044704335231,1.0,63.328733346805365,190.4666666666666,276.5499999999999,300.0,0.7577098032552285,improved_rl_isac,5,117.4365387674195,3,300.0,3.156177363279307,53.166666666666664
1.0226508177838176,9,68.0,0.22666666666666666,0.995,0.19523200680389283,49.5,0.9328025487992354,0.27646047978278465,6.0,2,0.06729041896886902,1,0,0.0,3.9503839811262558,1.0,58.56960204116785,151.23333333333332,245.8666666666663,300.0,0.5,improved_rl_isac,6,117.11267165244901,3,300.0,2.419902898352118,53.166666666666664
2.2469147463441588,0,91.33333333333333,0.3044444444444444,0.98458613477669,0.18533656992942252,50.166666666666664,0.9412408748459788,0.2032565860836649,6.0,2,0.04781969961645976,2,0,0.0,4.308382673516985,1.0,55.60097097882675,140.98333333333326,194.91666666666663,272.0866666666666,0.8455447746007159,improved_rl_isac,4,119.95188314373793,3,300.0,2.9392532205074082,53.166666666666664
2.306598722414736,1,68.66666666666667,0.2288888888888889,0.995,0.21585419115778956,49.666666666666664,0.933963512609891,0.2336035197255877,6.0,2,0.0749214246098792,2,0,0.0,4.296858573670513,1.0,64.75625734733687,165.4166666666666,251.93333333333317,300.0,1.5266339934841322,improved_rl_isac,6,119.15517022231842,3,300.0,3.075607949130922,53.166666666666664
1.8904676971556569,2,93.16666666666667,0.3105555555555556,0.9862466529731471,0.20414578321047533,49.333333333333336,0.9256750553184109,0.20641783209586417,6.0,2,0.05072983870822958,2,0,0.0,4.385667671159628,1.0,61.2437349631426,154.79999999999993,239.46666666666638,300.0,0.7821437281282788,improved_rl_isac,7,118.03200263829658,3,300.0,3.5531240334278458,53.166666666666664
