alpha_occupancy,candidate,collision_count_mean,collision_per_slot_mean,confidence_decay,delay_fraction_mean,discovered_edges_mean,discovery_rate_mean,empty_scan_ratio_mean,episode_count,episodes_per_seed,exploration_floor,generation,is_elite,isolated_node_ratio_mean,lambda2_mean,lcc_ratio_mean,mean_delay_censored_mean,p90_delay_censored_mean,p95_delay_censored_mean,p99_delay_censored_mean,piggyback_sensing_period_multiplier,protocol,rank,score,seed_count,slots_per_episode,softmax_beta,true_edges_seen_mean
1.9163019079317647,4,92.83333333333333,0.3094444444444444,0.978888302732561,0.19782120319158164,50.0,0.9417311202278067,0.22552883913670296,6.0,2,0.03896751752364834,0,1,0.0,4.420682828897829,1.0,59.346360957474495,161.93333333333342,266.28333333333325,300.0,0.5,improved_rl_isac,1,119.64242439989943,3,300.0,1.9686179409885738,53.166666666666664
1.2182541705453216,2,65.33333333333333,0.21777777777777776,0.995,0.21357221392779271,48.833333333333336,0.9200254107895661,0.2776014401800949,6.0,2,0.05481740052930131,0,1,0.0,3.922717295422663,1.0,64.07166417833781,198.55000000000004,284.09999999999974,300.0,1.0177740383016896,improved_rl_isac,2,115.3013767790787,3,300.0,3.3354267211424995,53.166666666666664
2.2,0,102.33333333333333,0.3411111111111111,0.98,0.23631287695311257,48.666666666666664,0.914281684976953,0.20707252387662278,6.0,2,0.08,0,1,0.0,4.244995591376305,1.0,70.89386308593377,187.0,300.0,300.0,1.0,improved_rl_isac,3,114.60008744622876,3,300.0,3.0,53.166666666666664
1.7834283498049623,0,94.0,0.31333333333333335,0.9765117369599023,0.16447566107833325,50.5,0.9483330734275391,0.1826784741003722,6.0,2,0.0725261780914119,1,1,0.0,4.453074243030636,1.0,49.342698323499974,112.03333333333332,218.48333333333332,277.5633333333333,0.5,improved_rl_isac,1,122.24417257688297,3,300.0,3.2586070352648817,53.166666666666664
1.9818458471999933,3,94.5,0.315,0.995,0.18481494322980777,49.833333333333336,0.9387549297516163,0.18207302678603662,6.0,2,0.06612823864899701,1,1,0.0,4.395369203332838,1.0,55.44448296894233,144.8166666666667,220.24999999999974,300.0,0.5,improved_rl_isac,2,120.36643015921086,3,300.0,3.373202426133709,53.166666666666664
1.816103160059386,5,47.0,0.15666666666666668,0.97041529688685,0.20699967173436828,49.666666666666664,0.9330441535345035,0.31781118906212863,6.0,2,0.04544338133578111,1,1,0.0,4.393721996372869,1.0,62.09990152031048,167.8333333333333,256.9166666666665,296.1133333333333,1.452138307963521,improved_rl_isac,3,119.57347806870773,3,300.0,1.6474064508227664,53.166666666666664
1.574632629102259,9,67.83333333333333,0.2261111111111111,0.995,0.18940772736835698,50.333333333333336,0.9483683683268035,0.2162046522271611,6.0,2,0.06168208482316078,2,1,0.0,4.36228947257399,1.0,56.82231821050709,141.43333333333337,184.53333333333322,299.29333333333335,0.5,improved_rl_isac,1,122.11973710773415,3,300.0,2.9556329737834304,53.166666666666664
1.694229833974911,8,87.83333333333333,0.29277777777777775,0.976788134746515,0.1816549983318867,50.166666666666664,0.9440319016676417,0.20190283586373062,6.0,2,0.06160131461040598,2,1,0.0,4.506446638798299,1.0,54.496499499566006,117.18333333333335,220.28333333333293,300.0,0.5,improved_rl_isac,2,121.5921611379689,3,300.0,2.8125582169151717,53.166666666666664
1.8171294532515454,6,106.83333333333333,0.3561111111111111,0.9753795707181603,0.17702702886974098,49.666666666666664,0.9362666393534896,0.1609946485007038,6.0,2,0.01,2,1,0.0,4.477127576320983,1.0,53.10810866092229,158.68333333333334,223.33333333333312,300.0,0.5,improved_rl_isac,3,120.35937575862535,3,300.0,4.350200864430953,53.166666666666664
1.8125899835524852,1,87.83333333333333,0.29277777777777775,0.9896590150370529,0.1987137198168377,49.833333333333336,0.937150703529613,0.18969501471625771,6.0,2,0.05355603567206272,3,1,0.0,4.374591570888672,1.0,59.61411594505131,139.01666666666668,273.4249999999999,300.0,0.5465968463648139,improved_rl_isac,1,119.97716076301884,3,300.0,3.8715886970349493,53.166666666666664
1.8225600818766248,0,88.0,0.29333333333333333,0.9707100126430658,0.19662699937786654,49.666666666666664,0.9346389216462465,0.19729720719556984,6.0,2,0.04102064229879936,3,1,0.0,4.3978116329043075,1.0,58.98809981335996,140.4666666666667,266.4999999999996,300.0,0.7910743621239378,improved_rl_isac,2,119.74152953723211,3,300.0,3.621802737990205,53.166666666666664
1.868440444852751,3,99.16666666666667,0.33055555555555555,0.9762578389110452,0.2036704993287561,50.333333333333336,0.9460652415832046,0.18406632124287994,6.0,2,0.07276803723703988,3,1,0.0,4.192363941761913,1.0,61.101149798626835,171.61666666666665,248.93333333333325,268.80333333333334,0.7243350880611343,improved_rl_isac,3,119.16579135129862,3,300.0,3.9429683989726354,53.166666666666664
1.897528978047689,1,91.0,0.30333333333333334,0.9782712608062423,0.17924068676030658,49.666666666666664,0.9336866129753586,0.16083294287451141,6.0,2,0.0556611076047947,4,1,0.0,4.559245776572298,1.0,53.77220602809197,120.26666666666667,258.2666666666665,300.0,0.5,improved_rl_isac,1,121.50434405343127,3,300.0,4.1202343471133975,53.166666666666664
1.8814804812373551,8,85.66666666666667,0.28555555555555556,0.9809702638040317,0.19889654636975684,50.0,0.9405678111133872,0.1836703007082651,6.0,2,0.036973407770256914,4,1,0.0,4.345137289899288,1.0,59.668963910927054,140.29999999999998,247.64999999999986,300.0,0.6041639685622691,improved_rl_isac,2,120.43105404446605,3,300.0,3.5766924587270155,53.166666666666664
1.9360696046152732,9,89.16666666666667,0.2972222222222222,0.9807244247414111,0.1823262613069273,50.0,0.9417311202278067,0.18780410839293626,6.0,2,0.04062982813967721,4,1,0.0,4.180553277853998,1.0,54.69787839207819,127.41666666666664,262.44999999999976,300.0,0.7431360694547196,improved_rl_isac,3,119.90556396053967,3,300.0,3.807625152393748,53.166666666666664
1.979837095780312,4,111.16666666666667,0.3705555555555556,0.9813072471193668,0.18884395530379042,50.333333333333336,0.9448924743585249,0.16682876249676426,6.0,2,0.045680684284225004,5,1,0.0,4.63080259705121,1.0,56.65318659113712,149.33333333333334,209.48333333333326,300.0,0.5,improved_rl_isac,1,121.23025540094844,3,300.0,3.6950068190708523,53.166666666666664
1.9695722785243395,1,93.16666666666667,0.3105555555555556,0.9725037475321161,0.21044332725963738,49.5,0.931442272616264,0.17068453670595207,6.0,2,0.04793184301981656,5,1,0.0,4.228077772631299,1.0,63.13299817789122,134.26666666666668,283.12499999999994,300.0,0.5432635257512628,improved_rl_isac,2,118.34651446176365,3,300.0,3.831345872127117,53.166666666666664
1.7509373920652498,8,107.33333333333333,0.35777777777777775,0.995,0.19568850352087763,49.5,0.9307339139844081,0.19691331572494988,6.0,2,0.05751892673010285,5,1,0.0,4.414403013448859,1.0,58.706551056263294,156.70000000000007,251.18333333333325,300.0,0.641398818877305,improved_rl_isac,3,118.1809294900042,3,300.0,3.803683573720514,53.166666666666664
1.8866548249174186,5,87.16666666666667,0.29055555555555557,0.9857825583927734,0.19643083394183075,49.833333333333336,0.9355324439326299,0.19481390088244063,6.0,2,0.049189012400576874,6,1,0.0,4.411576242267901,1.0,58.929250182549225,170.8833333333333,248.79999999999995,279.85999999999996,0.6685601034879594,improved_rl_isac,1,120.01081145758761,3,300.0,3.4789766386964263,53.166666666666664
1.999999442734246,2,95.16666666666667,0.31722222222222224,0.9740461416928932,0.20247303477385736,50.166666666666664,0.944927769257789,0.17799893182996993,6.0,2,0.06131164970888934,6,1,0.0,4.277970978136433,1.0,60.741910432157205,163.38333333333335,260.01666666666637,300.0,0.559874770631843,improved_rl_isac,2,119.9040176922015,3,300.0,3.96428181243032,53.166666666666664
