episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
11,,444.80078125,99,17304.203125,46.56825300676576,3400,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
11,,444.8125,199,17332.046875,46.48227735133708,3500,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
11,,456.8359375,299,17293.08984375,46.60256848652089,3600,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
12,,454.44140625,99,17384.1796875,46.32130216932935,3700,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
12,,454.453125,199,17365.7265625,46.37828154590693,3800,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
12,,465.80078125,299,17376.65625,46.34453296511436,3900,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
13,,640.21484375,99,17218.4765625,46.83295863724244,4000,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
13,,640.23046875,199,17251.859375,46.72987951949644,4100,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
13,,640.3203125,299,17221.01171875,46.82513060688706,4200,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
14,,659.79296875,99,17227.83203125,46.80407091351184,4300,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
14,,659.91796875,199,17265.15234375,46.68883362227088,4400,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
14,,659.94140625,299,17194.51953125,46.90693292101686,4500,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
15,,660.0390625,99,16743.65234375,48.29911615627065,4600,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
15,,659.99609375,199,16755.01953125,48.26401666731197,4700,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
15,,660.0,299,16836.7265625,48.0117225056114,4800,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
16,,463.04296875,99,17105.2109375,47.18269911210354,4900,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
16,,462.98046875,199,17088.875,47.23314105809159,5000,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
