method,episodes,discovery_rate,neighbor_knowledge_recall,empty_scan_ratio,aligned_handshake_opportunities,tx_fraction
uniform_random,10,0.2333333333333333,0.2333333333333333,0.7149666666666666,11.2,0.5029666666666667
wang_noisy_count,10,0.52,0.821111111111111,0.4566,28.7,0.4976
residual_random_uniform,10,0.5777777777777777,0.8788888888888889,0.454,31.1,0.49773333333333336
residual_v2_unbounded,10,0.3622222222222222,0.6188888888888889,0.5248,19.4,0.2849333333333333
residual_v2_support,10,0.5311111111111111,0.8588888888888888,0.471,30.3,0.4503
support_learned_beam_uniform_mode,10,0.5222222222222223,0.8055555555555556,0.4561333333333334,30.4,0.49903333333333333
support_local_random_learned_mode,10,0.49777777777777776,0.8300000000000001,0.4711,26.8,0.44963333333333333
