method,episodes,discovery_rate,neighbor_knowledge_recall,empty_scan_ratio,aligned_handshake_opportunities,tx_fraction,sensing_count_mae,per_target_sensing_recall
uniform_random:ideal_count,10,0.2333333333333333,0.2333333333333333,0.7149666666666666,11.2,0.5029666666666667,nan,nan
wang2025_isac_tables:ideal_count,10,0.5488888888888889,0.8688888888888888,0.4339666666666667,29.2,0.49756666666666666,0.0,1.0
uniform_random:noisy_count,10,0.2333333333333333,0.2333333333333333,0.7149666666666666,11.2,0.5029666666666667,nan,nan
wang2025_isac_tables:noisy_count,10,0.52,0.821111111111111,0.4566,28.7,0.4976,0.08297497026309879,0.934133062426115
uniform_random:binary_occupancy,10,0.2333333333333333,0.2333333333333333,0.7149666666666666,11.2,0.5029666666666667,nan,nan
wang2025_isac_tables:binary_occupancy,10,0.5177777777777778,0.8355555555555556,0.46416666666666667,29.8,0.4977666666666667,0.2749241638058252,0.9348122387425335
