algorithm,approx_kl,clip_fraction,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,entropy,episode,episode_return_mean_per_agent,episode_return_sum,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mobility_model,moved_distance_mean_m,n_beams,n_nodes,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,policy_loss,protocol,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,slots,step_reward_mean,step_reward_sum_mean,training_step,true_edges_seen,tx_actions,value_loss,run,network,reward_version,env_protocol,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
isac_mappo,-0.0001376208529109,0.0,322,0.1080332409972299,0.106267029972752,8.256410256410257,1,39,20.60221870047544,2.740833142997699,0.0206022187004754,0.8666666666666667,1565,0.8267300581088219,14.229249999999997,0.364852564102564,5.9464521408081055,0,-4.542500019073486,-45.42499542236328,309,0.0,6.0,10,1.0,143.0222222222222,gauss_markov,2.59513952023739,648,10,300.0,300.0,300.0,1893,-0.0003556120767385,isac_structured_marl,997,1893,48.53846153846154,20260705,20260705,798,300,-0.0151416650041937,-0.1514166742563247,300,45,896,1.1125494837760923,train_n10_b10_isac_mappo_300slot,shared,legacy,isac_structured_marl,10,648,36,18,5.0
isac_mappo,0.0001122072353609,0.0,207,0.1410788381742738,0.1349206349206349,6.088235294117647,1,34,18.220793140407288,2.396729169603834,0.0182207931404072,0.7555555555555555,1535,0.822615219721329,14.186,0.417235294117647,5.972509145736694,1,-5.447999000549316,-54.47999954223633,320,0.0,4.277979667742088,10,1.0,155.06666666666666,gauss_markov,2.697961873981249,648,10,300.0,300.0,300.0,1866,-0.0002033341315108,isac_structured_marl,987,1866,54.88235294117647,20260706,20260706,814,300,-0.0181600004434585,-0.1815999895334243,600,45,879,1.5287435054779053,train_n10_b10_isac_mappo_300slot,shared,legacy,isac_structured_marl,10,648,36,18,5.0
isac_mappo,7.873797585489228e-05,0.0,180,0.1666666666666666,0.16,5.0,1,36,19.037546271813856,2.557272242940863,0.0190375462718138,0.8,1536,0.8122686409307245,14.0775,0.3910416666666667,5.950905084609985,2,-5.044999599456787,-50.44999694824219,342,0.0,5.4433869448374725,10,1.0,146.9111111111111,gauss_markov,2.8371393568025978,648,10,300.0,300.0,300.0,1891,-5.832274592165732e-05,isac_structured_marl,978,1891,52.52777777777778,20260707,20260707,767,300,-0.0168166663497686,-0.1681666523218155,900,45,913,1.1464871764183044,train_n10_b10_isac_mappo_300slot,shared,legacy,isac_structured_marl,10,648,36,18,5.0
isac_mappo,1.9109089407720603e-05,0.0,157,0.190721649484536,0.1831683168316831,4.243243243243243,1,37,19.93534482758621,2.6060926219404825,0.0199353448275862,0.8222222222222222,1491,0.8033405172413793,14.1975,0.3837162162162162,5.937869310379028,3,-4.794999599456787,-47.94999694824219,342,0.0,5.096788074088451,10,1.0,139.37777777777777,gauss_markov,2.756833604992181,648,10,300.0,300.0,300.0,1856,-9.98373856049284e-05,isac_structured_marl,918,1856,50.16216216216216,20260708,20260708,802,300,-0.0159833319485187,-0.1598333269357681,1200,45,938,1.04680734872818,train_n10_b10_isac_mappo_300slot,shared,legacy,isac_structured_marl,10,648,36,18,5.0
isac_mappo,6.856918162156944e-07,0.0,252,0.1219512195121951,0.1178451178451178,7.2,1,35,18.746652383502948,2.476604928443808,0.0187466523835029,0.7777777777777778,1538,0.8237814675950723,14.13225,0.4037785714285714,5.959827899932861,4,-5.172499179840088,-51.72499847412109,361,0.0,4.620487985298039,10,1.0,140.37777777777777,gauss_markov,2.5220114630273405,648,10,300.0,300.0,300.0,1867,-0.0001050635153658,isac_structured_marl,896,1867,53.34285714285714,20260709,20260709,772,300,-0.0172416660934686,-0.1724166721105575,1500,45,971,1.2176432609558103,train_n10_b10_isac_mappo_300slot,shared,legacy,isac_structured_marl,10,648,36,18,5.0
isac_mappo,1.452565243198478e-06,0.0,308,0.1020408163265306,0.0991501416430594,8.8,1,35,18.229166666666668,2.455752600466593,0.0182291666666666,0.7777777777777778,1595,0.8307291666666666,14.25225,0.4072071428571429,5.948777914047241,5,-5.621500015258789,-56.21499633789063,337,0.0,4.630109354401255,10,1.0,149.82222222222222,gauss_markov,2.8220769984001177,648,10,300.0,300.0,300.0,1920,2.3770889529206585e-05,isac_structured_marl,905,1920,54.85714285714285,20260710,20260710,743,300,-0.0187383312731981,-0.1873833239078521,1800,45,1015,1.055408000946045,train_n10_b10_isac_mappo_300slot,shared,legacy,isac_structured_marl,10,648,36,18,5.0
isac_mappo,6.7965588641527575e-06,0.0,315,0.1,0.0972222222222222,9.0,1,35,18.440463645943098,2.455494168201351,0.0184404636459431,0.7777777777777778,1557,0.8203371970495258,14.253749999999998,0.4072499999999999,5.954714298248291,6,-5.388499736785889,-53.88499450683594,319,0.0,5.105582008930062,10,1.0,141.13333333333333,gauss_markov,2.3666019077899896,648,10,300.0,300.0,300.0,1898,-7.419586145474e-07,isac_structured_marl,956,1898,54.22857142857143,20260711,20260711,783,300,-0.0179616641253232,-0.1796166449785232,2100,45,942,1.0347192883491516,train_n10_b10_isac_mappo_300slot,shared,legacy,isac_structured_marl,10,648,36,18,5.0
isac_mappo,8.171987428795546e-05,0.0,217,0.1490196078431372,0.1450381679389313,5.7105263157894735,1,38,19.61796592669076,2.6489604572942267,0.0196179659266907,0.8444444444444444,1585,0.8182756840474962,14.345249999999998,0.3775065789473684,5.951603174209595,7,-5.003499031066895,-50.03499603271485,309,0.0,5.438447187191168,10,1.0,135.8,gauss_markov,2.12396358514487,648,10,300.0,300.0,300.0,1937,-0.0001010286434128,isac_structured_marl,939,1937,50.97368421052632,20260712,20260712,754,300,-0.0166783314198255,-0.166783332824707,2400,45,998,0.7537057399749756,train_n10_b10_isac_mappo_300slot,shared,legacy,isac_structured_marl,10,648,36,18,5.0
isac_mappo,-1.0133266187040135e-05,0.0,147,0.2096774193548387,0.203125,3.769230769230769,1,39,20.92274678111588,2.7302798536850026,0.0209227467811158,0.8666666666666667,1536,0.8240343347639485,14.28425,0.3662628205128205,5.979955434799194,8,-4.44749927520752,-44.47499465942383,337,0.0,5.771671784053364,10,1.0,129.13333333333333,gauss_markov,2.772633275349849,648,10,300.0,300.0,300.0,1864,-2.5535702405043992e-05,isac_structured_marl,889,1864,47.7948717948718,20260713,20260713,799,300,-0.0148249985650181,-0.1482499986886978,2700,45,975,0.8042299747467041,train_n10_b10_isac_mappo_300slot,shared,legacy,isac_structured_marl,10,648,36,18,5.0
isac_mappo,7.312687375815585e-05,0.0,268,0.1270358306188925,0.1246006389776357,6.871794871794871,1,39,20.88912694161757,2.7150738813373474,0.0208891269416175,0.8666666666666667,1513,0.810391001606856,14.364250000000002,0.3683141025641026,5.9595489501953125,9,-4.31850004196167,-43.18499755859375,321,0.0,5.518805695907987,10,1.0,123.13333333333334,gauss_markov,2.1885395741668825,648,10,300.0,300.0,300.0,1867,-0.000181312991927,isac_structured_marl,895,1867,47.87179487179487,20260714,20260714,812,300,-0.0143949994817376,-0.1439499855041504,3000,45,972,0.5732695162296295,train_n10_b10_isac_mappo_300slot,shared,legacy,isac_structured_marl,10,648,36,18,5.0
