algorithm,collision_count,discovered_edges,discovery_rate,empty_scan_ratio,env_protocol,episode,episode_cumulative_reward,idle_actions,lambda2,lcc_ratio,new_edges_count,reward_mean,reward_sum,rx_actions,scan_actions,seed,sense_actions,slot,training_step,true_edges,tx_actions,run,network,reward_version,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
isac_mappo,65,20,0.4444444444444444,0.9617737003058104,isac_structured_marl,0,-4.034999817609787,65,1.4844766861300924,1.0,0,-0.0414999984204769,-0.4149999916553497,331,654,20260705,241,95,96,45,323,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,71,20,0.4444444444444444,0.9636098981077148,isac_structured_marl,0,-6.259999752044678,72,1.4844766861300924,1.0,0,-0.0409999974071979,-0.4099999666213989,347,687,20260705,251,100,101,45,340,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,75,20,0.4444444444444444,0.9607293127629734,isac_structured_marl,0,-8.084999725222588,79,1.4844766861300924,1.0,0,-0.0459999963641166,-0.4599999785423279,362,713,20260705,268,105,106,45,351,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,83,22,0.4888888888888889,0.9570469798657718,isac_structured_marl,0,-6.20999963581562,82,1.7030332557809733,1.0,1,0.164000004529953,1.6399999856948853,372,745,20260705,283,110,111,45,373,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,85,25,0.5555555555555556,0.9524421593830334,isac_structured_marl,0,-2.309999480843544,86,2.328021665760767,1.0,0,-0.0419999994337558,-0.4199999868869781,394,778,20260705,296,115,116,45,384,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,87,25,0.5555555555555556,0.953922789539228,isac_structured_marl,0,-4.129999414086342,94,2.328021665760767,1.0,0,-0.0314999967813491,-0.3149999678134918,406,803,20260705,313,120,121,45,397,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,95,26,0.5777777777777777,0.9558472553699284,isac_structured_marl,0,-4.339999511837959,100,2.3796264564245955,1.0,0,-0.032999999821186,-0.3299999833106994,425,838,20260705,322,125,126,45,413,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,103,26,0.5777777777777777,0.9563218390804598,isac_structured_marl,0,-6.459999516606331,104,2.3796264564245955,1.0,0,-0.0495000034570694,-0.4950000345706939,442,870,20260705,336,130,131,45,428,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,107,26,0.5777777777777777,0.9510567296996664,isac_structured_marl,0,-8.369999513030052,110,2.3796264564245955,1.0,0,-0.0404999963939189,-0.4049999713897705,457,899,20260705,351,135,136,45,442,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,111,26,0.5777777777777777,0.9492988133764833,isac_structured_marl,0,-10.33499939739704,117,2.3796264564245955,1.0,0,-0.0415000021457672,-0.4150000214576721,468,927,20260705,366,140,141,45,459,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
