method,n_episodes,discovery_rate_mean,discovery_rate_std,mean_delay_censored_mean,mean_delay_censored_std,lambda2_mean,lambda2_std,lcc_ratio_mean,lcc_ratio_std,empty_scan_ratio_mean,empty_scan_ratio_std,tx_actions_mean,tx_actions_std,rx_actions_mean,rx_actions_std,idle_actions_mean,idle_actions_std,piggyback_sense_actions_mean,piggyback_sense_actions_std,sensing_observations_mean,sensing_observations_std,collision_count_mean,collision_count_std
marl_mode_policy_beam_policy_default_candidate,5,0.4444444444444445,0.031426968052735434,157.8088888888889,4.047681244464556,1.3492542980092264,0.7068655525573072,1.0,0.0,0.3437673195276188,0.027704300052937298,945.8,16.50939126679115,798.8,20.913153755471697,255.4,13.965672200076872,945.8,16.50939126679115,8044.2,130.60995367888313,0.4,0.8
marl_mode_policy_beam_policy_wang_candidate,5,0.5733333333333334,0.09151671236432889,146.90666666666667,11.446022760637739,2.4184145046391747,0.9454142048881701,1.0,0.0,0.33541916082005996,0.028745316382408122,924.0,33.538038106007335,792.2,27.672368890284762,283.8,36.902032464350796,924.0,33.538038106007335,7883.4,286.9254955559021,0.8,0.9797958971132712
marl_mode_policy_beam_wang_random,5,0.6133333333333333,0.03610683735393758,147.9511111111111,3.792582754616875,2.8122452090524144,0.32122768269161567,1.0,0.0,0.38481904196727557,0.022840683467256272,942.4,23.380333616097097,788.2,21.122499852053497,269.4,20.22473732833136,942.4,23.380333616097097,8003.4,243.25098149853372,0.4,0.8
wang_random_mode_random_beam,5,0.24888888888888888,0.038232556742411675,181.70666666666665,2.034050875215009,6.602523526463058e-17,2.14699054171193e-16,0.8800000000000001,0.039999999999999994,0.641,0.019336493994517194,988.4,21.17167919651155,1011.6,21.17167919651155,0.0,0.0,988.4,21.17167919651155,8448.0,146.61377834296476,0.0,0.0
