access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,access_gate_total,action_policy_protocol,candidate_source,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,episode_return_mean_per_agent,episode_return_sum,eval_episode,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,marl_trained,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method,method_family,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p95_delay_censored,p99_delay_censored,paired_seed,phase,piggyback_sense_actions,protocol,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,step_reward_mean,true_edges_seen,tx_actions
0,0.0,0,0.0,2000,1.0,2000,,wang_table,,2,0.9333333333333333,0.5957446808510638,0.07142857142857142,1,28,16.231884057971016,3.4517829075107094,0.016231884057971015,0.6222222222222222,664,0.3849275362318841,8.11175,0.28970535714285717,wang2025_isac_tables,0,8.640491485595703,86.4049072265625,0,275,0.0,2.4556028071626628,10,1.0,,148.4,0.909536609476641,-0.1633794535307064,marl_mode_policy_beam_wang_random,,,gauss_markov,8.103656827616101,,200.0,200.0,200.0,,eval_stochastic,956,wang2025_isac_tables,,769,1725,61.607142857142854,2026084001,2026084001,0,0.8611435239206534,0.007402014318650649,0.13885647607934656,8241,1714,200,0.04320245236158371,45,956
0,0.0,0,0.0,2000,1.0,2000,,wang_table,,0,1.0,0.6666666666666666,0.0,1,30,17.636684303350968,3.758103410478845,0.01763668430335097,0.6666666666666666,704,0.4138741916519694,7.98275,0.26609166666666667,wang2025_isac_tables,1,9.057960510253906,90.57959747314453,1,299,0.0,3.2933929360243352,10,1.0,,146.0222222222222,0.8473290498801478,-2.652307717617865,marl_mode_policy_beam_wang_random,,,gauss_markov,7.851100278166674,,200.0,200.0,200.0,,eval_stochastic,935,wang2025_isac_tables,,766,1701,56.7,2026084002,2026084002,0,0.8024296675191815,0.009097801364670205,0.19757033248081843,7914,1564,200,0.04528979957103729,45,935
0,0.0,0,0.0,2000,1.0,2000,,wang_table,,0,1.0,0.5555555555555556,0.0,1,25,14.359563469270535,3.065322012077368,0.014359563469270534,0.5555555555555556,612,0.35152211372774267,8.155750000000001,0.32623,wang2025_isac_tables,2,7.755429267883301,77.55429077148438,2,259,0.0,2.5228088214227107,10,1.0,,153.93333333333334,0.911664250501865,-0.619282741084302,marl_mode_policy_beam_wang_random,,,gauss_markov,6.8019318790311205,,200.0,200.0,200.0,,eval_stochastic,956,wang2025_isac_tables,,785,1741,69.64,2026084003,2026084003,0,0.8390688259109311,0.008662762323084432,0.16093117408906882,8196,1976,200,0.038777146488428116,45,956
0,0.0,0,0.0,2000,1.0,2000,,wang_table,,0,1.0,0.6,0.0,1,27,15.32349602724177,3.2765002123657543,0.01532349602724177,0.6,650,0.3688989784335982,8.2405,0.30520370370370375,wang2025_isac_tables,3,8.077140808105469,80.77140808105469,3,238,0.0,2.721701156111134,10,1.0,,149.0222222222222,0.8715491242468416,-1.5248713071769338,marl_mode_policy_beam_wang_random,,,gauss_markov,6.496741349304104,,200.0,200.0,200.0,,eval_stochastic,965,wang2025_isac_tables,,797,1762,65.25925925925925,2026084004,2026084004,0,0.8232445520581114,0.007907091672844082,0.17675544794188863,8094,1652,200,0.04038570448756218,45,965
0,0.0,0,0.0,2000,1.0,2000,,wang_table,,0,1.0,0.6222222222222222,0.0,1,28,16.241299303944317,3.5260042815766273,0.016241299303944315,0.6222222222222222,698,0.4048723897911833,7.941000000000001,0.2836071428571429,wang2025_isac_tables,4,8.421711921691895,84.21710205078125,4,276,0.0,3.0677203245412303,10,1.0,,142.37777777777777,0.7131061289081271,-4.601573853478982,marl_mode_policy_beam_wang_random,,,gauss_markov,6.678913882903602,,200.0,200.0,200.0,,eval_stochastic,900,wang2025_isac_tables,,824,1724,61.57142857142857,2026084005,2026084005,0,0.6931012250161186,0.01016904384574749,0.30689877498388135,7572,1551,200,0.042108550667762756,45,900
0,0.0,0,0.0,2000,1.0,2000,,default,,2,0.9090909090909091,0.425531914893617,0.1,1,20,11.448196908986834,2.433904286713925,0.011448196908986834,0.4444444444444444,627,0.35890097309673724,8.21725,0.4108625,wang2025_isac_tables,0,5.863236904144287,58.63236999511719,0,253,0.0,1.4423118872852516,10,1.0,,163.75555555555556,0.9140771208905631,0.009514913182145417,marl_mode_policy_beam_policy_default_candidate,,,gauss_markov,8.103656827616101,,200.0,200.0,200.0,,eval_stochastic,971,wang2025_isac_tables,,776,1747,87.35,2026084001,2026084001,0,0.8681384248210023,0.007017543859649123,0.1318615751789976,8265,1676,200,0.029316185042262077,45,971
0,0.0,0,0.0,2000,1.0,2000,,default,,0,1.0,0.4888888888888889,0.0,1,22,12.761020881670532,2.722098490472655,0.012761020881670533,0.4888888888888889,584,0.33874709976798145,8.082,0.3673636363636364,wang2025_isac_tables,1,6.524772644042969,65.24772644042969,1,276,0.0,2.524956064084089,10,1.0,,156.6,0.8473632567031224,-2.8314025571040964,marl_mode_policy_beam_policy_default_candidate,,,gauss_markov,7.851100278166674,,200.0,200.0,200.0,,eval_stochastic,947,wang2025_isac_tables,,777,1724,78.36363636363636,2026084002,2026084002,0,0.8083941605839416,0.0074211502782931356,0.19160583941605838,8085,1644,200,0.03262386471033096,45,947
0,0.0,0,0.0,2000,1.0,2000,,default,,0,1.0,0.4666666666666667,0.0,1,21,12.110726643598616,2.609830361026533,0.012110726643598616,0.4666666666666667,509,0.2935409457900807,8.0465,0.38316666666666666,wang2025_isac_tables,2,6.839293479919434,68.39293670654297,2,266,0.0,1.4710452846696547,10,1.0,,152.11111111111111,0.9064305099439238,-1.062641642486952,marl_mode_policy_beam_policy_default_candidate,,,gauss_markov,6.8019318790311205,,200.0,200.0,200.0,,eval_stochastic,926,wang2025_isac_tables,,808,1734,82.57142857142857,2026084003,2026084003,0,0.8427586206896551,0.007137490608564989,0.15724137931034482,7986,2175,200,0.03419646993279457,45,926
0,0.0,0,0.0,2000,1.0,2000,,default,,0,1.0,0.4222222222222222,0.0,1,19,10.82004555808656,2.318769831584086,0.01082004555808656,0.4222222222222222,619,0.35250569476082005,8.193999999999999,0.4312631578947368,wang2025_isac_tables,3,5.663176536560059,56.63176727294922,3,244,0.0,0.9046901339634775,10,1.0,,155.82222222222222,0.8767286000107237,-1.5793814898387277,marl_mode_policy_beam_policy_default_candidate,,,gauss_markov,6.496741349304104,,200.0,200.0,200.0,,eval_stochastic,955,wang2025_isac_tables,,801,1756,92.42105263157895,2026084004,2026084004,0,0.8354952830188679,0.006736526946107785,0.1645047169811321,8016,1696,200,0.02831588312983513,45,955
0,0.0,0,0.0,2000,1.0,2000,,default,,0,1.0,0.4,0.0,1,18,10.21566401816118,2.2125253518529897,0.01021566401816118,0.4,661,0.37514188422247446,8.1355,0.4519722222222222,wang2025_isac_tables,4,4.875543594360352,48.755435943603516,4,238,0.0,0.4032681200436584,10,1.0,,160.75555555555556,0.7288297941261264,-4.1884767578325075,marl_mode_policy_beam_policy_default_candidate,,,gauss_markov,6.678913882903602,,200.0,200.0,200.0,,eval_stochastic,930,wang2025_isac_tables,,832,1762,97.88888888888889,2026084005,2026084005,0,0.709489993544222,0.008514423687889185,0.2905100064557779,7869,1549,200,0.024377718567848206,45,930
