collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,episode,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method,mobility_model,moved_distance_mean_m,p90_delay_censored,p95_delay_censored,p99_delay_censored,p_idle,p_rx,p_tx,piggyback_sense_actions,protocol,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,true_edges_seen,tx_actions
2,0.8,0.1702127659574468,0.25,3,8,4.5924225028702645,0.9933569255603154,0.004592422502870264,0.17777777777777778,1129,0.648105625717566,8.0535,1.0066875,0,258,0.1,-7.65249841152412e-17,7,0.7,187.22222222222223,0.8817417434607757,-1.049541451227957,matched_marginal_random_mode_wang_candidate,gauss_markov,8.103656827616101,200.0,200.0,200.0,0.1347,0.39409999999999995,0.4712,921,wang2025_isac_tables,821,1742,217.75,2026084001,2026084001,0,0.8349112426035503,0.008771929824561403,0.1650887573964497,7866,1690,200,45,921
0,1.0,0.1111111111111111,0.0,5,5,2.8735632183908044,0.6137228427642076,0.0028735632183908046,0.1111111111111111,1121,0.6442528735632184,8.147,1.6294,1,260,0.3,0.0,5,0.5,191.26666666666668,0.8573263976358433,-2.2019049128517074,matched_marginal_random_mode_wang_candidate,gauss_markov,7.851100278166674,200.0,200.0,200.0,0.1347,0.39409999999999995,0.4712,954,wang2025_isac_tables,786,1740,348.0,2026084002,2026084002,0,0.80034924330617,0.0058823529411764705,0.19965075669383003,8160,1718,200,45,954
0,1.0,0.2,0.0,2,9,5.172413793103448,1.1055152929615526,0.005172413793103448,0.2,1107,0.6362068965517241,8.141,0.9045555555555556,2,260,0.1,0.0,9,0.9,182.35555555555555,0.9164901504129948,-0.009452639690993634,matched_marginal_random_mode_wang_candidate,gauss_markov,6.8019318790311205,200.0,200.0,200.0,0.1347,0.39409999999999995,0.4712,952,wang2025_isac_tables,788,1740,193.33333333333334,2026084003,2026084003,0,0.8461995249406176,0.009306882194464855,0.15380047505938244,8166,1684,200,45,952
0,1.0,0.13333333333333333,0.0,4,6,3.3975084937712343,0.7324665812122322,0.0033975084937712344,0.13333333333333333,1192,0.6749716874292185,8.1915,1.3652499999999999,3,234,0.2,0.0,6,0.6,190.15555555555557,0.8712675449437667,-1.4982402464976845,matched_marginal_random_mode_wang_candidate,gauss_markov,6.496741349304104,200.0,200.0,200.0,0.1347,0.39409999999999995,0.4712,945,wang2025_isac_tables,821,1766,294.3333333333333,2026084004,2026084004,0,0.819076923076923,0.007086907870197687,0.18092307692307694,8043,1625,200,45,945
0,1.0,0.2222222222222222,0.0,2,10,5.7405281285878305,1.2334258402713536,0.0057405281285878304,0.2222222222222222,1185,0.6802525832376579,8.1075,0.81075,4,258,0.1,-3.409211209970582e-16,9,0.9,180.93333333333334,0.743109771770957,-3.704100091546841,matched_marginal_random_mode_wang_candidate,gauss_markov,6.678913882903602,200.0,200.0,200.0,0.1347,0.39409999999999995,0.4712,939,wang2025_isac_tables,803,1742,174.2,2026084005,2026084005,0,0.7090653548840478,0.010699273977837218,0.29093464511595224,7851,1423,200,45,939
