method,method_label,training_step,reward_200step_mean
clean_discovery,Clean CTDE,2576,0.017195221680776755
clean_discovery,Clean CTDE,2601,0.02100375242869633
clean_discovery,Clean CTDE,2626,0.018415436587856687
clean_discovery,Clean CTDE,2651,0.015886170633457382
clean_discovery,Clean CTDE,2676,0.013351405711146087
clean_discovery,Clean CTDE,2701,0.013620050410681888
clean_discovery,Clean CTDE,2726,0.013821093959995796
clean_discovery,Clean CTDE,2751,0.007554704653302924
clean_discovery,Clean CTDE,2776,0.012374559556046749
clean_discovery,Clean CTDE,2801,0.010960734528052869
clean_discovery,Clean CTDE,2826,0.019285255426511886
clean_discovery,Clean CTDE,2851,0.019288505426338833
clean_discovery,Clean CTDE,2876,0.02319702149176011
clean_discovery,Clean CTDE,2901,0.024010436676289847
clean_discovery,Clean CTDE,2926,0.021491762182959083
clean_discovery,Clean CTDE,2951,0.02308524720046991
clean_discovery,Clean CTDE,2976,0.018249642299597347
clean_discovery,Clean CTDE,3001,0.015894686580322764
clean_discovery,Clean CTDE,3026,0.007528915682050886
clean_discovery,Clean CTDE,3051,0.0075479156808069305
clean_discovery,Clean CTDE,3076,0.003653399616341652
clean_discovery,Clean CTDE,3101,0.002702024217178427
clean_discovery,Clean CTDE,3126,0.002687524217872144
clean_discovery,Clean CTDE,3151,0.003403452611491976
clean_discovery,Clean CTDE,3176,0.0034934526098004594
clean_discovery,Clean CTDE,3201,0.005598363848439492
clean_discovery,Clean CTDE,3226,0.005630863843398416
clean_discovery,Clean CTDE,3251,0.007728882687006274
clean_discovery,Clean CTDE,3276,0.009631708808010458
clean_discovery,Clean CTDE,3301,0.00714466945137248
clean_discovery,Clean CTDE,3326,0.007260919449690859
clean_discovery,Clean CTDE,3351,0.004993256036810651
clean_discovery,Clean CTDE,3376,0.004976006034245091
clean_discovery,Clean CTDE,3401,0.007732848428109734
clean_discovery,Clean CTDE,3426,0.007783598431313311
clean_discovery,Clean CTDE,3451,0.010278288754896512
clean_discovery,Clean CTDE,3476,0.01267177921120312
clean_discovery,Clean CTDE,3501,0.012755529209687684
clean_discovery,Clean CTDE,3526,0.012702029211221108
clean_discovery,Clean CTDE,3551,0.016230374756662076
clean_discovery,Clean CTDE,3576,0.016202374759624966
clean_discovery,Clean CTDE,3601,0.014662013155204497
clean_discovery,Clean CTDE,3626,0.01979538706319001
clean_discovery,Clean CTDE,3651,0.015295177897336561
clean_discovery,Clean CTDE,3676,0.013537918236201239
clean_discovery,Clean CTDE,3701,0.0159280906768836
clean_discovery,Clean CTDE,3726,0.015943840680723968
clean_discovery,Clean CTDE,3751,0.01691439597654973
clean_discovery,Clean CTDE,3776,0.021206853252828308
clean_discovery,Clean CTDE,3801,0.017913961220969225
clean_discovery,Clean CTDE,3826,0.014372956122751938
clean_discovery,Clean CTDE,3851,0.015947524744071427
clean_discovery,Clean CTDE,3876,0.016854086490013298
clean_discovery,Clean CTDE,3901,0.015930339357648347
clean_discovery,Clean CTDE,3926,0.018450263482154707
clean_discovery,Clean CTDE,3951,0.019075918376875067
clean_discovery,Clean CTDE,3976,0.019790616012433034
clean_discovery,Clean CTDE,4001,0.022161680414683374
clean_discovery,Clean CTDE,4026,0.031206671567852035
clean_discovery,Clean CTDE,4051,0.03143794090412849
clean_discovery,Clean CTDE,4076,0.028082572239603917
clean_discovery,Clean CTDE,4101,0.02661489693597833
clean_discovery,Clean CTDE,4126,0.024132222807347725
clean_discovery,Clean CTDE,4151,0.02068544365411072
clean_discovery,Clean CTDE,4176,0.01577778874376237
clean_discovery,Clean CTDE,4201,0.013452474346013345
clean_discovery,Clean CTDE,4226,0.002833614386137938
clean_discovery,Clean CTDE,4251,0.0010962764264404671
clean_discovery,Clean CTDE,4276,0.003534707678030839
clean_discovery,Clean CTDE,4301,0.0035994576732264368
clean_discovery,Clean CTDE,4326,0.005948304579986154
clean_discovery,Clean CTDE,4351,0.008890529148200597
clean_discovery,Clean CTDE,4376,0.013155995290195288
clean_discovery,Clean CTDE,4401,0.015207690227151042
clean_discovery,Clean CTDE,4426,0.016814617249678133
clean_discovery,Clean CTDE,4451,0.01875152668503871
clean_discovery,Clean CTDE,4476,0.016307595438040168
clean_discovery,Clean CTDE,4501,0.016292095442651786
clean_discovery,Clean CTDE,4526,0.016484681498885056
clean_discovery,Clean CTDE,4551,0.014511454474755756
clean_discovery,Clean CTDE,4576,0.012627161450422156
clean_discovery,Clean CTDE,4601,0.013050306157601901
clean_discovery,Clean CTDE,4626,0.01830929498692423
clean_discovery,Clean CTDE,4651,0.022692590850558206
clean_discovery,Clean CTDE,4676,0.024468753130284328
clean_discovery,Clean CTDE,4701,0.03129074042469439
clean_discovery,Clean CTDE,4726,0.02870855746153394
clean_discovery,Clean CTDE,4751,0.027743601860696812
clean_discovery,Clean CTDE,4776,0.02535242874616962
clean_discovery,Clean CTDE,4801,0.025497588901242138
clean_discovery,Clean CTDE,4826,0.018650423047678496
clean_discovery,Clean CTDE,4851,0.014826716572722956
clean_discovery,Clean CTDE,4876,0.01565049432015804
clean_discovery,Clean CTDE,4901,0.013582585550720989
clean_discovery,Clean CTDE,4926,0.016024966126395163
clean_discovery,Clean CTDE,4951,0.016784193659026645
clean_discovery,Clean CTDE,4976,0.01902408933502011
clean_discovery,Clean CTDE,5001,0.016463589534541825
clean_discovery,Clean CTDE,5026,0.02013845280672831
clean_discovery,Clean CTDE,5051,0.017619203987051153
clean_discovery,Clean CTDE,5076,0.01656601479819074
clean_discovery,Clean CTDE,5101,0.011867186271003449
clean_discovery,Clean CTDE,5126,0.009479805695424153
clean_discovery,Clean CTDE,5151,0.00965515048067028
clean_discovery,Clean CTDE,5176,0.012432201643896412
clean_discovery,Clean CTDE,5201,0.014891140538500628
clean_discovery,Clean CTDE,5226,0.01578565952708596
clean_discovery,Clean CTDE,5251,0.020214680714001593
clean_discovery,Clean CTDE,5276,0.018732679870045104
clean_discovery,Clean CTDE,5301,0.020458149914513345
clean_discovery,Clean CTDE,5326,0.023845762806929995
clean_discovery,Clean CTDE,5351,0.02293393215147807
clean_discovery,Clean CTDE,5376,0.019445969266002065
clean_discovery,Clean CTDE,5401,0.018786380879100766
clean_discovery,Clean CTDE,5426,0.014215998620275068
clean_discovery,Clean CTDE,5451,0.014932008448347921
clean_discovery,Clean CTDE,5476,0.019920180150067614
clean_discovery,Clean CTDE,5501,0.020532116449772736
clean_discovery,Clean CTDE,5526,0.019535367509481157
clean_discovery,Clean CTDE,5551,0.017971307316613103
clean_discovery,Clean CTDE,5576,0.0226611931130392
clean_discovery,Clean CTDE,5601,0.02094884260431718
clean_discovery,Clean CTDE,5626,0.021051342602309883
clean_discovery,Clean CTDE,5651,0.017545846673594497
clean_discovery,Clean CTDE,5676,0.012574924974993337
clean_discovery,Clean CTDE,5701,0.014300402831264363
clean_discovery,Clean CTDE,5726,0.011962538879619386
clean_discovery,Clean CTDE,5751,0.011917538884328678
clean_discovery,Clean CTDE,5776,0.010709069771117357
clean_discovery,Clean CTDE,5801,0.01303765093056427
clean_discovery,Clean CTDE,5826,0.015403281668848651
clean_discovery,Clean CTDE,5851,0.01611413463905774
clean_discovery,Clean CTDE,5876,0.022274562548118416
clean_discovery,Clean CTDE,5901,0.021646818008543053
clean_discovery,Clean CTDE,5926,0.021597380510436782
clean_discovery,Clean CTDE,5951,0.023593323502216667
clean_discovery,Clean CTDE,5976,0.020269074014191577
clean_discovery,Clean CTDE,6001,0.017941742856826752
clean_discovery,Clean CTDE,6026,0.015555612117226707
clean_discovery,Clean CTDE,6051,0.01826571362301184
clean_discovery,Clean CTDE,6076,0.017090182048174037
clean_discovery,Clean CTDE,6101,0.016048481715683013
clean_discovery,Clean CTDE,6126,0.018513807853159963
clean_discovery,Clean CTDE,6151,0.018891985958784063
clean_discovery,Clean CTDE,6176,0.021644817438551397
clean_discovery,Clean CTDE,6201,0.025034698419862247
clean_discovery,Clean CTDE,6226,0.025069948424279568
clean_discovery,Clean CTDE,6251,0.020094958859510362
clean_discovery,Clean CTDE,6276,0.015160812531619732
clean_discovery,Clean CTDE,6301,0.017063348885028966
clean_discovery,Clean CTDE,6326,0.017299376287948684
clean_discovery,Clean CTDE,6351,0.01497125519458495
clean_discovery,Clean CTDE,6376,0.010697335060547623
clean_discovery,Clean CTDE,6401,0.01680782057068427
clean_discovery,Clean CTDE,6426,0.01680982056986977
clean_discovery,Clean CTDE,6451,0.016878570568886055
clean_discovery,Clean CTDE,6476,0.01902470781801821
clean_discovery,Clean CTDE,6501,0.016923068458112533
clean_discovery,Clean CTDE,6526,0.016433463822540934
clean_discovery,Clean CTDE,6551,0.018071257102368683
clean_discovery,Clean CTDE,6576,0.019492762340014447
clean_discovery,Clean CTDE,6601,0.009970145839783066
clean_discovery,Clean CTDE,6626,0.009941145838711233
clean_discovery,Clean CTDE,6651,0.009829145848969347
clean_discovery,Clean CTDE,6676,0.012645412719401066
clean_discovery,Clean CTDE,6701,0.01300114091546129
clean_discovery,Clean CTDE,6726,0.013275826469071033
clean_discovery,Clean CTDE,6751,0.01587725879549543
clean_discovery,Clean CTDE,6776,0.020807086470776986
clean_discovery,Clean CTDE,6801,0.026228520622295033
clean_discovery,Clean CTDE,6826,0.02778978148655732
clean_discovery,Clean CTDE,6851,0.029268224546365663
clean_discovery,Clean CTDE,6876,0.024285070415739022
clean_discovery,Clean CTDE,6901,0.024670389599967164
clean_discovery,Clean CTDE,6926,0.022278142645176552
clean_discovery,Clean CTDE,6951,0.018113917037684585
clean_discovery,Clean CTDE,6976,0.014286311484604084
clean_discovery,Clean CTDE,7001,0.01837697757597925
clean_discovery,Clean CTDE,7026,0.019202105122916684
clean_discovery,Clean CTDE,7051,0.01961619966051511
clean_discovery,Clean CTDE,7076,0.024033290588500667
clean_discovery,Clean CTDE,7101,0.02126765688826707
clean_discovery,Clean CTDE,7126,0.021325406892181476
clean_discovery,Clean CTDE,7151,0.02293859153245283
clean_discovery,Clean CTDE,7176,0.02534502993929344
clean_discovery,Clean CTDE,7201,0.017256971295304527
clean_discovery,Clean CTDE,7226,0.02245179129146708
clean_discovery,Clean CTDE,7251,0.0206130036824179
clean_discovery,Clean CTDE,7276,0.0187063110672243
clean_discovery,Clean CTDE,7301,0.021085741418486573
clean_discovery,Clean CTDE,7326,0.027536574641359026
clean_discovery,Clean CTDE,7351,0.025983139993120852
clean_discovery,Clean CTDE,7376,0.022772773853081154
clean_discovery,Clean CTDE,7401,0.023040468789353317
clean_discovery,Clean CTDE,7426,0.017161229652061582
clean_discovery,Clean CTDE,7451,0.01718997965611196
clean_discovery,Clean CTDE,7476,0.018582708166810322
clean_discovery,Clean CTDE,7501,0.017520903360171352
clean_discovery,Clean CTDE,7526,0.016162544244638408
clean_discovery,Clean CTDE,7551,0.01615029425321699
clean_discovery,Clean CTDE,7576,0.017053947243868595
clean_discovery,Clean CTDE,7601,0.01789075850908556
clean_discovery,Clean CTDE,7626,0.016283789239292662
clean_discovery,Clean CTDE,7651,0.01855936008252319
clean_discovery,Clean CTDE,7676,0.01683228690693066
clean_discovery,Clean CTDE,7701,0.015386161359347155
clean_discovery,Clean CTDE,7726,0.0159078447849606
clean_discovery,Clean CTDE,7751,0.015936344780850032
clean_discovery,Clean CTDE,7776,0.013314829663555416
