method,method_label,episodes,discovery_rate_mean,discovery_rate_std,discovery_rate_ci95_low,discovery_rate_ci95_high,discovered_edges_mean,tx_fraction_mean,aligned_opportunities_mean
clean_discovery,Clean CTDE,10,0.2955555555555555,0.08891974772991187,0.23195061918372822,0.3591604919273828,13.3,0.5908666666666667,16.2
clean_stable,Clean CTDE + stable reward,10,0.2733333333333333,0.09135468796041986,0.20798666666666665,0.33868,12.3,0.5288666666666666,14.5
wang2025,Wang2025,10,0.5444444444444445,0.11487453643904315,0.4622738606598189,0.6266150282290701,24.5,0.49766666666666665,30.4
uniform_random,Uniform random,10,0.18222222222222217,0.066088023772431,0.13494898253925294,0.2294954619051914,8.2,0.49783333333333335,9.7
