train_seed,episode,training_step,episode_return_mean_per_agent,rendezvous_beam_hit_rate,rendezvous_mode_match_rate,rendezvous_joint_action_rate,rendezvous_beam_aux_loss,rendezvous_role_aux_loss,adapter_beam_score_weight,adapter_tx_role_weight,adapter_rx_role_weight,reciprocal_report_pair_count,reciprocal_scheduled_pair_count,reciprocal_actor_pair_count,aligned_handshake_opportunities,discovered_edges
20260705,0,300,-0.718000054359436,0.0,0.5,0.0,6.013685464859009,0.6687868535518646,0.1999925673007965,0.1996791511774063,-0.19967913627624512,68,1,0,0,0
20260705,1,600,-0.7376999855041504,0.0,0.525,0.0,4.274619817733765,0.5267343521118164,0.400394082069397,0.3969780206680298,-0.3969780206680298,0,0,0,0,0
20260705,2,900,-0.6898000240325928,0.016129032258064516,0.5806451612903226,0.008064516129032258,2.64289128780365,0.37468671798706055,0.5989837050437927,0.5877000689506531,-0.5877000689506531,0,0,0,0,0
20260705,3,1200,-0.6838499903678894,0.17333333333333334,0.6933333333333334,0.13333333333333333,1.2947561144828796,0.41966135799884796,0.7901217937469482,0.776604950428009,-0.776604950428009,0,0,0,0,0
20260705,4,1500,-0.6060500144958496,0.7435897435897436,0.7371794871794872,0.5512820512820513,0.3607746809720993,0.31541813910007477,0.9616773128509521,0.9608904123306274,-0.9608904123306274,0,0,0,0,0
20260715,0,300,-0.6869500279426575,0.0,0.5666666666666667,0.0,6.056688070297241,0.6337752342224121,0.19999238848686218,0.19966164231300354,-0.19966164231300354,0,0,0,0,0
20260715,1,600,-0.7017999887466431,0.017857142857142856,0.7142857142857143,0.017857142857142856,4.3181551694869995,0.49133487045764923,0.4000415503978729,0.39666247367858887,-0.3966624438762665,0,0,0,0,0
20260715,2,900,-0.6899499893188477,0.03571428571428571,0.6071428571428571,0.011904761904761904,2.6179118156433105,0.40602171421051025,0.5991325378417969,0.5905636548995972,-0.5905635952949524,0,0,0,0,0
20260715,3,1200,-0.6899000406265259,0.2403846153846154,0.7115384615384616,0.20192307692307693,1.2008016407489777,0.30806972086429596,0.7907416820526123,0.7786138653755188,-0.778613805770874,86,0,0,0,0
20260715,4,1500,-0.21412262320518494,0.7247706422018348,0.7981651376146789,0.5688073394495413,0.34014270454645157,0.23758934438228607,0.9616749286651611,0.9595730304718018,-0.959572970867157,54,3,1,1,1
20260725,0,300,-0.7115000486373901,0.0,0.5957446808510638,0.0,6.0617523193359375,0.6108303666114807,0.19999366998672485,0.19963251054286957,-0.19963252544403076,0,0,0,0,0
20260725,1,600,-0.6996500492095947,0.019417475728155338,0.5825242718446602,0.0,4.329908728599548,0.494666650891304,0.4001144468784332,0.3986472189426422,-0.3986472189426422,37,2,0,0,0
20260725,2,900,-0.7144999504089355,0.060240963855421686,0.7710843373493976,0.04819277108433735,2.6540290117263794,0.364684134721756,0.5997180938720703,0.5934149026870728,-0.5934149026870728,46,1,0,0,0
20260725,3,1200,-0.7128499746322632,0.27380952380952384,0.7738095238095238,0.2261904761904762,1.2269077003002167,0.2939239740371704,0.7933716773986816,0.7800678610801697,-0.7800678610801697,6,0,0,0,0
20260725,4,1500,-0.6470500230789185,0.6585365853658537,0.8048780487804879,0.5487804878048781,0.34558577835559845,0.19932880252599716,0.9655475616455078,0.9533252120018005,-0.9533252120018005,0,0,0,0,0
