collision_count_mean,collision_count_std,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,completion_rate_mean,consumed_slots_censored_mean,consumed_slots_censored_std,discoveries_per_1000_scan_actions_mean,discoveries_per_1000_scan_actions_std,discoveries_per_joule_mean,discoveries_per_joule_std,discovery_rate_mean,discovery_rate_std,empty_scan_ratio_mean,empty_scan_ratio_std,isolated_node_ratio_mean,isolated_node_ratio_std,lambda2_mean,lambda2_std,largest_component_size_mean,largest_component_size_std,lcc_ratio_mean,lcc_ratio_std,mean_delay_censored_mean,mean_delay_censored_std,mean_sensing_pd_mean,mean_sensing_pd_std,mean_sensing_snr_db_mean,mean_sensing_snr_db_std,method_label,n_episodes,node_count,p95_delay_censored_mean,p95_delay_censored_std,protocol,rf_chains,scan_actions_mean,scan_actions_std,sensing_detection_rate_mean,sensing_detection_rate_std,sensing_false_alarm_ratio_mean,sensing_false_alarm_ratio_std,sensing_miss_ratio_mean,sensing_miss_ratio_std
280.4,25.231726060656253,0.13039490656370847,0.00959013594696144,0.0,200.0,0.0,21.834299118806864,0.6246130899813801,4.310958608488453,0.1212394428995781,0.9377777777777778,0.025915341754868006,0.6145368725796413,0.010155876867034867,0.0,0.0,7.317157287525382,0.5776900812895311,10.0,0.0,1.0,0.0,74.86222222222223,7.828159362988573,0.8667891602994613,0.0620874111278832,-1.5828414877806274,1.90989249922381,Ours: topology-aware ISAC rule,5,10,182.59999999999997,21.512043138670048,improved_rl_isac,1,1932.8,6.734983296193095,0.8102157452919875,0.05930075663322414,0.008259768033886089,0.0005603027229587194,0.18978425470801258,0.05930075663322416
918.4,137.3296763267139,0.043866096849884524,0.006660291999439807,0.0,200.0,0.0,7.150875201083957,0.317271609624825,4.24871607929629,0.18872244091386334,0.92,0.04121608220220313,0.4169020219561827,0.01793455354137111,0.0,0.0,7.193550489775401,0.6879287646322717,10.0,0.0,1.0,0.0,52.16888888888889,8.395796714376534,0.8189289201204984,0.07333959952301378,-2.1186624335182893,2.427294691805821,Ours: topology-aware ISAC rule,5,10,181.72,27.445247311693166,improved_rl_isac,3,5789.4,10.8,0.7728915960798288,0.0666652706226452,0.00815937070620963,0.00039932270395484534,0.22710840392017123,0.06666527062264523
1411.6,210.40019011398255,0.029798394348334152,0.004799958387783378,0.0,200.0,0.0,3.6565688935522975,0.06846723428906251,4.333590102059148,0.08161323793319268,0.9422222222222223,0.017777777777777802,0.44670643160064033,0.007086868057138246,0.0,0.0,7.317157287525379,0.577690081289529,10.0,0.0,1.0,0.0,53.28,9.313127334077457,0.8182357730318075,0.05148665435186419,-2.3863568030865423,1.347797589227923,Ours: topology-aware ISAC rule,5,10,179.67999999999998,19.839193531996205,improved_rl_isac,6,11595.6,39.90789395595814,0.7672869900867824,0.04520515030915749,0.008522423187852231,0.0004560764054197495,0.23271300991321767,0.045205150309157484
1249.4,168.57591761577334,0.10646037292399231,0.015876036186078513,0.0,200.0,0.0,39.235597800311766,1.3797199512867788,7.75596975532358,0.2914443462693321,0.7926315789473685,0.029884356982270308,0.4296767847846073,0.014056532116417655,0.0,0.0,11.270538035181442,0.3842876803723087,20.0,0.0,1.0,0.0,94.97157894736841,6.2886324916438285,0.8548743572024665,0.02365270685559002,-1.8068874355951063,1.0019333606389391,Ours: topology-aware ISAC rule,5,20,200.0,0.0,improved_rl_isac,1,3838.0,11.798304963002101,0.8247339254553737,0.021594705369453328,0.00672620119976034,0.0004368599163037114,0.17526607454462625,0.02159470536945333
3380.0,505.2231190276233,0.039903649716030616,0.007664014870640138,0.0,200.0,0.0,12.00314951730754,0.9684450133326935,7.1201413392439665,0.5754266466744208,0.7305263157894737,0.05701727395347723,0.26682401108298714,0.02232601302019881,0.0,0.0,9.713196972632604,1.5273419171929414,20.0,0.0,1.0,0.0,103.63578947368421,9.159407255616392,0.8943426852977834,0.022814846807430397,-0.09885989693865121,1.3685163068056578,Ours: topology-aware ISAC rule,5,20,200.0,0.0,improved_rl_isac,3,11566.2,40.36533165972999,0.8672531880157834,0.020819127123520083,0.006723323329381941,0.00019127611558619596,0.13274681198421653,0.020819127123520093
3491.8,322.5730304907712,0.0396618578895468,0.005997972879561922,0.0,200.0,0.0,6.23817372687215,0.4376696362280235,7.389350778823952,0.5232711144185505,0.7589473684210526,0.054534037250478375,0.2721369995460549,0.02062488927640934,0.0,0.0,10.457338254932065,1.2943431428608763,20.0,0.0,1.0,0.0,98.57263157894737,8.846425886736917,0.8729953456470714,0.03491770749803876,-1.0643816863463544,1.1943554691326483,Ours: topology-aware ISAC rule,5,20,200.0,0.0,improved_rl_isac,6,23113.2,59.56643350075611,0.8365999884537497,0.029378861254229796,0.007177768803020155,0.00027820358011573706,0.1634000115462503,0.029378861254229775
3082.0,307.0563466206162,0.08270827998803779,0.0077149686373568305,0.0,200.0,0.0,50.050232107374434,2.2043879146818606,9.90261766614391,0.4407059738183657,0.6639080459770115,0.02927403656042596,0.3386796753339028,0.010429536079402803,0.0,0.0,12.553348904423073,2.235204276674451,30.0,0.0,1.0,0.0,115.94666666666667,4.048809718922948,0.8678147982002075,0.02697717351991492,-1.1906278353600066,0.9160628786022667,Ours: topology-aware ISAC rule,5,30,200.0,0.0,improved_rl_isac,1,5770.2,10.4,0.858038975014811,0.026195531605039787,0.005823977884178533,0.0003770942703892355,0.14196102498518903,0.026195531605039783
5159.4,457.29491578192733,0.04716427494509504,0.006406643936286302,0.0,200.0,0.0,15.072814543954781,0.7824187191268466,8.934905254867125,0.45971118043871495,0.6,0.03070493399000276,0.19714402828905941,0.00412058132623438,0.0,0.0,11.728523506041606,1.0774718464826085,30.0,0.0,1.0,0.0,124.72735632183908,6.000815657774719,0.8839398127872983,0.036421538932804975,-0.8247692255271565,1.1922462460156034,Ours: topology-aware ISAC rule,5,30,200.0,0.0,improved_rl_isac,3,17316.6,31.487140232164624,0.8685266218971933,0.029626890120541732,0.005693710029571835,0.00037911841930686913,0.13147337810280663,0.029626890120541705
5853.2,356.4959466810247,0.041027263475477804,0.0033964177999308773,0.0,200.0,0.0,7.414298884441432,0.2335827969681117,8.772758752727245,0.27634095617382254,0.5903448275862069,0.017471264367816083,0.1908387560414149,0.009059412500643124,0.0,0.0,11.53108717361721,0.31552846252440364,30.0,0.0,1.0,0.0,124.36781609195403,2.6385156991127174,0.885992852432769,0.02309131078585412,-0.6272100805259425,0.9059198448951626,Ours: topology-aware ISAC rule,5,30,200.0,0.0,improved_rl_isac,6,34638.0,113.0168129085226,0.8654643633290509,0.017876874197488457,0.006122213953505888,0.00014812670929844073,0.13453563667094912,0.017876874197488467
5430.6,417.0115585928045,0.06876345304758016,0.005594205770496763,0.0,200.0,0.0,55.08215264399496,1.2086430625555562,10.881491498957729,0.27696163523737966,0.5446153846153846,0.011705345856936751,0.271140793535167,0.009014814593989883,0.0,0.0,13.673881685526954,0.5889302664839839,40.0,0.0,1.0,0.0,134.87692307692308,1.982280644837683,0.8942922515161559,0.0202867672584732,-0.145851016356019,0.8549934132736641,Ours: topology-aware ISAC rule,5,40,200.0,0.0,improved_rl_isac,1,7712.2,12.056533498481228,0.8892800404659283,0.012700368278179438,0.004982057337721999,0.0003139916925698246,0.11071995953407163,0.012700368278179452
