path_loss_exponent,sinr_threshold_db,tx_power_w,samples,edge_coverage_rate,edge_coverage_ci95_low,edge_coverage_ci95_high,mid_coverage_rate,mid_coverage_ci95_low,mid_coverage_ci95_high,equal_power_decode_rate,equal_power_decode_ci95_low,equal_power_decode_ci95_high,near_far_capture_rate,near_far_capture_ci95_low,near_far_capture_ci95_high,one_sided_interference_survival_rate,one_sided_interference_survival_ci95_low,one_sided_interference_survival_ci95_high,edge_snr_mean_db,edge_snr_p10_db,edge_snr_p50_db,feasible,calibration_score
2.2,7.5,1.0,20000,0.90035,0.8961215689896932,0.9044246677401838,0.99715,0.9963096416278638,0.9977994169215512,0.05185,0.04886226819656871,0.05500985372051786,0.84335,0.8382467655228397,0.8483213633174332,0.97975,0.9777037798243616,0.9816119615798059,11.15839841208893,7.50947029411248,11.266752793167088,1,0.0006999999999999229
2.2,5.0,0.5,20000,0.8686,0.8638470299780528,0.8732114010413868,0.9959,0.9949141579643698,0.9966953806751856,0.1745,0.16930259774749323,0.17982241772503083,0.94615,0.9429351680081453,0.9491934782189926,0.98705,0.9853869434080648,0.9885259942696837,8.14809845544912,4.499170337472668,8.256452836527277,1,0.06279999999999997
2.1,5.0,0.25,20000,0.9343,0.9307822424779674,0.9376509550037001,0.99795,0.9972203323503435,0.9984884189413819,0.1819,0.17661495946779077,0.187307213871103,0.9315,0.9279156717442408,0.9349186011393408,0.9933,0.9920708105433745,0.9943397266836725,9.376359126169152,5.727431008192698,9.484713507247307,1,0.0686
2.1,7.5,0.5,20000,0.9504,0.9473035185874435,0.9533234953332174,0.99865,0.998036487964857,0.9990719944763898,0.0537,0.05066066021636178,0.056910751167317204,0.80805,0.8025328867224393,0.8134487998633948,0.98785,0.9862352412214113,0.9892773891986475,12.386659082808965,8.73773096483251,12.495013463887119,1,0.1008
2.3,5.0,2.0,20000,0.95155,0.9484865630384871,0.9544400091992449,0.99895,0.9983952643143006,0.9993131029053126,0.18675,0.18140932326051984,0.19221098732862968,0.95985,0.9570398400058627,0.9624835444333378,0.99355,0.9923418354439922,0.994568605765027,9.930137741368926,6.281209623392485,10.038492122447085,1,0.10309999999999997
2.0,7.5,0.25,20000,0.9787,0.9766051510106295,0.980610993669256,0.99935,0.9988881316487883,0.9996200819419798,0.0552,0.052119577318752816,0.05845125795675786,0.77095,0.76507442895175,0.776721506709447,0.99355,0.9923418354439922,0.994568605765027,13.614919753528998,9.965991635552555,13.723274134607149,1,0.15739999999999998
2.2,5.0,1.0,20000,0.97935,0.9772850993918034,0.9812307956412092,0.9995,0.9990797771249671,0.9997283788549844,0.1908,0.18541392056969577,0.1963048345273993,0.9469,0.9437056403584116,0.9499227178146419,0.9963,0.9953579410940695,0.997051443916641,11.15839841208893,7.50947029411248,11.266752793167088,1,0.15870000000000006
2.3,7.5,2.0,20000,0.81395,0.8084966878121396,0.8192827327482322,0.99415,0.9929940474378789,0.9951161633278729,0.05005,0.04711352390789289,0.05315928933899566,0.871,0.866283105569331,0.8755744036770394,0.96685,0.964277808943549,0.9692428869908661,9.930137741368926,6.281209623392485,10.038492122447085,1,0.17210000000000014
2.2,10.0,2.0,20000,0.9259,0.9221874918651548,0.9294489318222551,0.99795,0.9972203323503435,0.9984884189413819,0.01245,0.011004195830118546,0.014083058528189073,0.6434,0.636734628994286,0.6500102950648231,0.95865,0.9558014696261897,0.9613223756995454,14.168698368728743,10.519770250752291,14.2770527498069,0,0.15839999999999987
2.2,7.5,2.0,20000,0.9857,0.9839588367686715,0.9872546194064286,0.99965,0.9992776515467302,0.9998304468224045,0.05695,0.05382247184911465,0.06024769130019966,0.8451,0.8400194425683409,0.8500480141457356,0.99045,0.9890047789778478,0.9917068528547193,14.168698368728743,10.519770250752291,14.2770527498069,0,0.1714
2.1,5.0,0.5,20000,0.99045,0.9890047789778478,0.9917068528547193,0.99975,0.9994148495964674,0.9998932103654561,0.19425,0.18882598369340872,0.19979144635489923,0.9334,0.9298606551315876,0.936772888014981,0.9977,0.9969337509358469,0.9982750963739067,12.386659082808965,8.73773096483251,12.495013463887119,0,0.18090000000000006
2.1,7.5,1.0,20000,0.994,0.9928307494523352,0.9949795189242334,0.99975,0.9994148495964674,0.9998932103654561,0.05825,0.055088032521684496,0.061581631333883946,0.8099,0.80440267642368,0.8152782996287462,0.99445,0.9933211711612617,0.9953889243828562,15.396959039448774,11.74803092147232,15.50531342052693,0,0.18799999999999994
2.0,5.0,0.25,20000,0.99635,0.9954135773493563,0.9970957884577486,0.99975,0.9994148495964674,0.9998932103654561,0.19695,0.1914967590179135,0.20251963403569148,0.91465,0.9106976848372029,0.9184430596614693,0.99875,0.9981553047535189,0.9991531392805167,13.614919753528998,9.965991635552555,13.723274134607149,0,0.19269999999999987
2.0,7.5,0.5,20000,0.99775,0.99699090398009,0.9983179241260579,0.9998,0.9994858195143681,0.9999222212439498,0.059,0.055818371651600786,0.06235100414988349,0.7735,0.767646870972649,0.7792480853046616,0.997,0.9961406935607934,0.9976684225994387,16.625219710168807,12.976291592192366,16.733574091246957,0,0.1955
2.2,5.0,2.0,20000,0.9978,0.9970481359255476,0.9983606729769947,0.99985,0.9995590363727073,0.999948985182005,0.19885,0.19337643449021577,0.20443922882637602,0.9477,0.9445276678872931,0.9507003830280707,0.99815,0.9974512113609938,0.9986574631163091,14.168698368728743,10.519770250752291,14.2770527498069,0,0.1956
