profile,path_loss_exponent,sinr_threshold_db,tx_power_w,samples,edge_coverage_rate,edge_coverage_ci95_low,edge_coverage_ci95_high,mid_coverage_rate,mid_coverage_ci95_low,mid_coverage_ci95_high,equal_power_decode_rate,equal_power_decode_ci95_low,equal_power_decode_ci95_high,near_far_capture_rate,near_far_capture_ci95_low,near_far_capture_ci95_high,one_sided_interference_survival_rate,one_sided_interference_survival_ci95_low,one_sided_interference_survival_ci95_high,edge_snr_mean_db,edge_snr_p10_db,edge_snr_p50_db,feasible,calibration_score
nominal,2.2,5.0,1.0,20000,0.97935,0.9772850993918034,0.9812307956412092,0.9995,0.9990797771249671,0.9997283788549844,0.1908,0.18541392056969577,0.1963048345273993,0.9469,0.9437056403584116,0.9499227178146419,0.9963,0.9953579410940695,0.997051443916641,11.15839841208893,7.50947029411248,11.266752793167088,1,0.15870000000000006
balanced_stress,2.2,7.5,1.0,20000,0.90035,0.8961215689896932,0.9044246677401838,0.99715,0.9963096416278638,0.9977994169215512,0.05185,0.04886226819656871,0.05500985372051786,0.84335,0.8382467655228397,0.8483213633174332,0.97975,0.9777037798243616,0.9816119615798059,11.15839841208893,7.50947029411248,11.266752793167088,1,0.0006999999999999229
low_power,2.1,5.0,0.25,20000,0.9343,0.9307822424779674,0.9376509550037001,0.99795,0.9972203323503435,0.9984884189413819,0.1819,0.17661495946779077,0.187307213871103,0.9315,0.9279156717442408,0.9349186011393408,0.9933,0.9920708105433745,0.9943397266836725,9.376359126169152,5.727431008192698,9.484713507247307,1,0.0686
high_selectivity,2.3,7.5,2.0,20000,0.81395,0.8084966878121396,0.8192827327482322,0.99415,0.9929940474378789,0.9951161633278729,0.05005,0.04711352390789289,0.05315928933899566,0.871,0.866283105569331,0.8755744036770394,0.96685,0.964277808943549,0.9692428869908661,9.930137741368926,6.281209623392485,10.038492122447085,1,0.17210000000000014
highest_feasible_coverage,2.2,5.0,1.0,20000,0.97935,0.9772850993918034,0.9812307956412092,0.9995,0.9990797771249671,0.9997283788549844,0.1908,0.18541392056969577,0.1963048345273993,0.9469,0.9437056403584116,0.9499227178146419,0.9963,0.9953579410940695,0.997051443916641,11.15839841208893,7.50947029411248,11.266752793167088,1,0.15870000000000006
