episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,method,method_label,training_seed,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
7,,471.52734375,199,13504.74609375,58.30017879028344,2300,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
7,,482.5234375,299,13240.26953125,59.11682690005535,2400,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
8,,460.42578125,99,14710.0859375,54.57834236089777,2500,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
8,,460.4296875,199,14124.52734375,56.38642438611174,2600,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
8,,470.42578125,299,13610.7734375,57.97278860856338,2700,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
9,,466.2734375,99,13147.12890625,59.40442559927553,2800,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
9,,466.27734375,199,14264.859375,55.9531085301528,2900,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
9,,476.359375,299,15981.484375,50.65253086010997,3000,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
10,,471.37890625,99,15789.91015625,51.244071835024194,3100,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
10,,471.4921875,199,15827.56640625,51.12779723929855,3200,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
10,,480.25,299,15758.12890625,51.34220566394785,3300,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
11,,668.27734375,99,14341.4765625,55.71653073756329,3400,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
11,,668.27734375,199,13782.81640625,57.441556033921785,3500,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
11,,668.30078125,299,13151.9609375,59.38950530104808,3600,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
12,,674.0703125,99,13047.0546875,59.71343378059248,3700,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
12,,674.0703125,199,14484.27734375,55.275591899809896,3800,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
12,,674.08203125,299,15503.25,52.12921822582577,3900,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
13,,685.4921875,99,13388.4375,58.65931531390704,4000,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
13,,685.4921875,199,13167.86328125,59.34040220154608,4100,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
13,,685.50390625,299,12880.5,60.22771969475748,4200,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
14,,665.13671875,99,14352.18359375,55.68346967253384,4300,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
14,,665.13671875,199,13932.6953125,56.97876143190959,4400,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
14,,665.13671875,299,13364.3046875,58.73383237328391,4500,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
15,,686.125,99,13043.58203125,59.724156614160975,4600,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
15,,686.125,199,14078.5078125,56.52852303883415,4700,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
15,,686.13671875,299,15735.41796875,51.41233227178488,4800,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
16,,472.19921875,99,13664.23828125,57.80770039365706,4900,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
16,,472.203125,199,13450.0703125,58.46900612600668,5000,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
16,,479.953125,299,13119.95703125,59.48832664573482,5100,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
17,,690.078125,99,14349.58984375,55.69147862809003,5200,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
17,,690.078125,199,13790.8046875,57.41688989821028,5300,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
17,,690.11328125,299,13301.5078125,58.92773594184051,5400,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
18,,699.171875,99,12900.0546875,60.16733892440451,5500,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
18,,699.171875,199,13887.16796875,57.11934031294512,5600,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
18,,699.171875,299,15492.5390625,52.16229135253529,5700,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
