access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,access_gate_total,algorithm,approx_kl,clip_fraction,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,entropy,episode,episode_return_mean_per_agent,episode_return_sum,expert_bc_loss,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,mobility_model,moved_distance_mean_m,n_beams,n_nodes,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,policy_loss,protocol,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,step_reward_mean,step_reward_sum_mean,training_step,true_edges_seen,tx_actions,value_loss
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0016520250551402,0.0422499999403953,0,1.0,0.6,0.0,1,27,14.975041597337771,3.3119690882885098,0.0149750415973377,0.6,688,0.3815862451469772,8.152249999999999,0.3019351851851851,3.164005279541016,0,8.447381973266602,84.47382354736328,0.0,197,0.0,2.967932286315621,10,1.0,138.2,0.8442358623643769,-1.9739833945736451,gauss_markov,7.988480601877248,105,10,200.0,200.0,200.0,898,-0.0012538961796089,wang2025_isac_tables,905,1803,66.77777777777777,2026090201,2026090201,0,0.7903225806451613,0.0105443521813628,0.2096774193548387,7587,1674,200,0.0422369129955768,0.422369122505188,200,45,898,5.438828945159912
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0011679342407733,0.0,0,1.0,0.4666666666666667,0.0,1,21,11.705685618729095,2.594354191117425,0.011705685618729,0.4666666666666667,612,0.3411371237458194,8.0945,0.3854523809523809,3.112078070640564,1,6.2284040451049805,62.28403472900391,0.0,206,0.0,1.4607476698312645,10,1.0,157.2,0.9178636833413844,-0.0167058219968127,gauss_markov,7.76522650403075,105,10,200.0,200.0,200.0,887,-0.002248089831319,wang2025_isac_tables,907,1794,85.42857142857143,2026090202,2026090202,0,0.8781270044900578,0.0065746219592373,0.1218729955099422,7605,1559,200,0.0311420168727636,0.3114201724529266,400,45,887,2.549312710762024
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0002871434823609,0.0,0,1.0,0.5555555555555556,0.0,1,25,13.789299503585218,2.927486167627858,0.0137892995035852,0.5555555555555556,650,0.3585217870932156,8.53975,0.34159,2.94592809677124,2,7.445643424987793,74.4564208984375,0.0,187,0.0,0.915393967943606,10,1.0,148.33333333333334,0.793250362931528,-3.4597202168096715,gauss_markov,7.150052385841837,105,10,200.0,200.0,200.0,1018,-0.0003155278330666,wang2025_isac_tables,795,1813,72.52,2026090203,2026090203,0,0.7441860465116279,0.008130081300813,0.2558139534883721,8733,1677,200,0.0372282117605209,0.3722821474075317,600,45,1018,4.23932695388794
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,-7.145744730951975e-05,0.0,4,0.8918918918918919,0.673469387755102,0.1212121212121212,1,33,18.35372636262514,3.817014631889422,0.0183537263626251,0.7333333333333333,577,0.3209121245828698,8.6455,0.2619848484848485,2.8488962650299072,3,11.396207809448242,113.96206665039062,0.0,202,0.0,3.6191189173880254,10,1.0,116.24444444444444,0.9104870317123284,1.0498495511734551,gauss_markov,8.01412332832712,105,10,200.0,200.0,200.0,1067,0.0002771194155783,wang2025_isac_tables,731,1798,54.48484848484848,2026090204,2026090204,0,0.8715083798882681,0.0070277867877608,0.1284916201117318,9249,2148,200,0.0569810345768928,0.5698103308677673,800,45,1067,9.482716083526611
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,-2.0553469774364785e-05,0.0,0,1.0,0.7111111111111111,0.0,1,32,17.718715393133998,3.632854629051484,0.0177187153931339,0.7111111111111111,614,0.3399778516057586,8.8085,0.275265625,2.8578802347183228,4,10.249072074890137,102.49073028564452,0.0,194,0.0,1.974830635617537,10,1.0,130.48888888888888,0.8766604460055624,-0.4099260108571478,gauss_markov,8.981456590178649,105,10,200.0,200.0,200.0,1114,-0.0001874573531095,wang2025_isac_tables,692,1806,56.4375,2026090205,2026090205,0,0.8184914841849148,0.007737348389795,0.1815085158150851,9564,2055,200,0.0512453652918338,0.5124536156654358,1000,45,1114,4.758706331253052
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,8.764448919101886e-05,0.0,0,1.0,0.5555555555555556,0.0,1,25,13.781697905181918,2.811990326753276,0.0137816979051819,0.5555555555555556,635,0.3500551267916207,8.8905,0.35562,2.7919176816940308,5,7.993630886077881,79.93630981445312,0.0,186,0.0,2.1394825935851545,10,1.0,135.24444444444444,0.7125539769268419,-5.676332052584439,gauss_markov,8.197956618132897,105,10,200.0,200.0,200.0,1134,-0.0004423867547878,wang2025_isac_tables,680,1814,72.56,2026090206,2026090206,0,0.6603284356093345,0.0082695252679938,0.3396715643906655,9795,2314,200,0.039968155324459,0.3996815383434295,1200,45,1134,3.5179823637008667
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,-0.0001214242443675,0.0,0,1.0,0.6222222222222222,0.0,1,28,15.021459227467812,3.044802087864289,0.0150214592274678,0.6222222222222222,506,0.2714592274678111,9.196,0.3284285714285714,2.898048162460327,6,9.199759483337402,91.99758911132812,0.0,136,0.0,1.927613748391248,10,1.0,139.88888888888889,0.8633799898064811,-1.886840686915982,gauss_markov,8.314169575881103,105,10,200.0,200.0,200.0,1190,-0.0005001363595944,wang2025_isac_tables,674,1864,66.57142857142857,2026090207,2026090207,0,0.8072093965168085,0.008284023668639,0.1927906034831915,10140,2469,200,0.0459987930953502,0.459987998008728,1400,45,1190,2.339214444160461
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,7.810288673493204e-05,0.0,2,0.9444444444444444,0.723404255319149,0.0588235294117647,1,34,18.538713195201744,3.7381122533120776,0.0185387131952017,0.7555555555555555,543,0.2960741548527808,9.0955,0.2675147058823529,2.9749090671539307,7,11.375046730041504,113.7504653930664,0.0,166,0.0,4.563572588606717,10,1.0,124.4,0.9000236265991804,0.5612666542792174,gauss_markov,7.620803570187308,105,10,200.0,200.0,200.0,1184,-7.962354837331986e-05,wang2025_isac_tables,650,1834,53.94117647058823,2026090208,2026090208,0,0.8542544229149115,0.0087770626097132,0.1457455770850884,10254,2374,200,0.0568752326071262,0.5687523484230042,1600,45,1184,4.465255737304688
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,-5.771604215265569e-05,0.0,0,1.0,0.6444444444444445,0.0,1,29,15.960374243258116,3.170178459183952,0.0159603742432581,0.6444444444444445,573,0.3153549807374793,9.14775,0.3154396551724138,2.7541675567626958,8,9.33015251159668,93.30152893066406,0.0,183,0.0,3.174508309736243,10,1.0,136.66666666666666,0.8500314815483074,-0.4370041021573562,gauss_markov,7.788500871503269,105,10,200.0,200.0,200.0,1217,-5.332440027272512e-05,wang2025_isac_tables,600,1817,62.6551724137931,2026090209,2026090209,0,0.8101995565410199,0.0077497129735935,0.18980044345898,10452,2255,200,0.0466507636010646,0.4665076434612274,1800,45,1217,3.4979567527771
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0004087758816312,0.0,0,1.0,0.4444444444444444,0.0,1,20,10.638297872340424,2.1117094287825995,0.0106382978723404,0.4444444444444444,590,0.3138297872340425,9.471,0.47355,2.741186738014221,9,5.475749492645264,54.75749969482422,0.0,120,0.0,0.7098194200990318,10,1.0,165.33333333333334,0.8186678819933315,-3.141958328016947,gauss_markov,7.293196235002007,105,10,200.0,200.0,200.0,1267,-0.0002843975597062,wang2025_isac_tables,613,1880,94.0,2026090210,2026090210,0,0.7779990044798407,0.0080310163389642,0.2220009955201592,10833,2009,200,0.027378749102354,0.2737874984741211,2000,45,1267,0.6196562051773071
