method,n_episodes,discovery_rate_mean,discovery_rate_std,mean_delay_censored_mean,mean_delay_censored_std,lambda2_mean,lambda2_std,lcc_ratio_mean,lcc_ratio_std,empty_scan_ratio_mean,empty_scan_ratio_std,tx_actions_mean,tx_actions_std,rx_actions_mean,rx_actions_std,idle_actions_mean,idle_actions_std,collision_count_mean,collision_count_std,sensing_observations_mean,sensing_observations_std
wang_random_mode_random_beam,5,0.24888888888888888,0.038232556742411675,181.70666666666665,2.034050875215009,6.602523526463058e-17,2.14699054171193e-16,0.8800000000000001,0.039999999999999994,0.641,0.019336493994517194,988.4,21.17167919651155,1011.6,21.17167919651155,0.0,0.0,0.0,0.0,8448.0,146.61377834296476
old_marl_mode_wang_random_beam,5,0.6133333333333333,0.03610683735393758,147.9511111111111,3.792582754616875,2.8122452090524144,0.32122768269161567,1.0,0.0,0.38481904196727557,0.022840683467256272,942.4,23.380333616097097,788.2,21.122499852053497,269.4,20.22473732833136,0.4,0.8,8003.4,243.25098149853372
matched_marginal_random_mode,5,0.1688888888888889,0.04121608220220313,186.38666666666668,4.115963502699652,-8.348922102245988e-17,1.320840897315365e-16,0.72,0.16,0.656757933299877,0.017534671209482208,942.2,11.855800268223145,803.8,15.223665787188052,254.0,10.039920318408907,0.4,0.8,8017.2,136.88155463757707
retrained_ckpt40_full_policy,5,0.7022222222222222,0.07516237566794563,127.28444444444445,6.835541106761202,3.597115869390973,0.9483994724151095,1.0,0.0,0.3339438461674566,0.03155475408659223,1104.4,11.49956520917204,829.2,8.35224520712844,66.4,14.759403781996074,1.2,1.6,9440.4,155.38030763259545
retrained_ckpt40_mode_wang_random_beam,5,0.7022222222222222,0.06970838729492497,133.95999999999998,6.670686195661413,3.45710474655559,0.7181747441536518,1.0,0.0,0.34794194435817605,0.02108730190992451,1115.2,22.22071105972984,824.4,20.489997559785117,60.4,10.268398122394748,1.6,1.9595917942265424,9512.4,314.9594259583288
retrained_ckpt80_full_policy,5,0.6177777777777778,0.10076252487781898,141.8311111111111,9.00013278365696,2.826842568193522,1.446639477164741,0.9800000000000001,0.039999999999999994,0.3103177467122089,0.012787387570486225,1080.0,25.907527863538043,649.8,18.258148865643527,270.2,38.028410432201866,1.6,1.4966629547095767,9201.6,174.8091530784358
retrained_ckpt80_mode_wang_random_beam,5,0.5911111111111111,0.05551109331909688,146.85777777777778,5.7142766842962125,2.383128474448892,0.4721873845243126,1.0,0.0,0.32462771036145177,0.03313647279864979,1097.8,9.368030742904295,647.8,17.565876010037186,254.4,10.170545708072895,0.8,1.6,9352.2,186.10255237368455
retrained_final_full_policy,5,0.4444444444444445,0.06592176432973924,161.63111111111112,3.7750212165212025,1.4553385509745846,0.6404772749590194,1.0,0.0,0.3440319649597482,0.01740364975442858,845.6,24.401639289195305,478.8,16.84517735139645,675.6,24.146221236458512,0.4,0.8,7161.6,241.1626836805396
