algorithm,episodes,first_10_discovery_rate,last_10_discovery_rate,first_10_return_mean_per_agent,last_10_return_mean_per_agent
shared_idqn,30,0.6088888888888889,0.5577777777777777,11.03979206085205,10.343114185333253
vdn,30,0.5599999999999999,0.5422222222222222,10.307614517211913,9.94751853942871
qmix,30,0.5733333333333334,0.5222222222222221,10.441407299041748,9.456228113174438
mappo,30,0.6044444444444445,0.5577777777777778,10.898012161254883,10.224473094940185
