scenario_seed,rows_checked,identical_role_sequence,role_sequence_hash
31260711,28,True,cea3fac9dd554585300a0fc7
31260712,28,True,6983a6ddaebd3a7834924e0d
31260713,28,True,0b1252f4501cd4396c8da821
31260714,28,True,941669b18b7b8e1bc20233bb
31260715,28,True,bf8337e7ef3c6fca9ea35ab8
31260716,28,True,3d65c66ed32588926305e194
31260717,28,True,a19c3d9b02bbc6c949597c58
31260718,28,True,1fb66e1129055dc7b615fd5e
31260719,28,True,d8999c29e833f874e53f47ca
31260720,28,True,4df7200c054c9028d9568227
