algorithm,display_name,policy_variant,episodes,discovery_rate,neighbor_knowledge_recall,mean_delay_censored,empty_scan_ratio,aligned_handshake_opportunities,evaluation_beam_random_mixture
shared_idqn,Shared-IDQN,candidate_score_argmax,10,0.47333333333333333,0.7522222222222222,221.34222222222223,0.3971666666666667,25.6,0.0
shared_idqn,Shared-IDQN,candidate_score_proportional,10,0.5288888888888889,0.8422222222222222,217.43555555555554,0.45346666666666674,30.2,0.0
shared_idqn,Shared-IDQN,learned_beam_random_mix_0.2,10,0.5133333333333333,0.8344444444444443,209.55555555555557,0.42300000000000004,27.8,0.2
shared_idqn,Shared-IDQN,learned_beam_random_mix_0.5,10,0.5555555555555556,0.8855555555555554,200.11111111111114,0.4404,31.1,0.5
shared_idqn,Shared-IDQN,learned_beam_random_mix_0.8,10,0.5733333333333333,0.8711111111111111,204.00444444444446,0.4452,31.6,0.8
shared_idqn,Shared-IDQN,pure_learned_beam,10,0.5133333333333334,0.8,219.20444444444448,0.39796666666666664,28.6,0.0
shared_idqn,Shared-IDQN,random_candidate_beam,10,0.5155555555555555,0.8288888888888888,214.2488888888889,0.4576666666666666,28.6,1.0
vdn,VDN,candidate_score_argmax,10,0.47333333333333333,0.7522222222222222,221.34222222222223,0.3971666666666667,25.6,0.0
vdn,VDN,candidate_score_proportional,10,0.5288888888888889,0.8422222222222222,217.43555555555554,0.45346666666666674,30.2,0.0
vdn,VDN,learned_beam_random_mix_0.2,10,0.5444444444444445,0.8366666666666667,202.51111111111112,0.4166333333333334,31.2,0.2
vdn,VDN,learned_beam_random_mix_0.5,10,0.5,0.7766666666666666,216.2822222222222,0.4404,29.3,0.5
vdn,VDN,learned_beam_random_mix_0.8,10,0.5822222222222223,0.8877777777777778,208.13111111111112,0.4484,30.7,0.8
vdn,VDN,pure_learned_beam,10,0.5622222222222223,0.8711111111111111,208.54222222222225,0.4139666666666667,31.9,0.0
vdn,VDN,random_candidate_beam,10,0.5155555555555555,0.8288888888888888,214.2488888888889,0.4576666666666666,28.6,1.0
qmix,QMIX,candidate_score_argmax,10,0.47333333333333333,0.7522222222222222,221.34222222222223,0.3971666666666667,25.6,0.0
qmix,QMIX,candidate_score_proportional,10,0.5288888888888889,0.8422222222222222,217.43555555555554,0.45346666666666674,30.2,0.0
qmix,QMIX,learned_beam_random_mix_0.2,10,0.5311111111111112,0.8366666666666667,213.06,0.45296666666666674,28.7,0.2
qmix,QMIX,learned_beam_random_mix_0.5,10,0.5199999999999999,0.828888888888889,213.85111111111115,0.45099999999999996,29.2,0.5
qmix,QMIX,learned_beam_random_mix_0.8,10,0.5555555555555556,0.8655555555555555,210.65333333333336,0.45883333333333337,30.6,0.8
qmix,QMIX,pure_learned_beam,10,0.5533333333333333,0.8533333333333333,212.35555555555555,0.45709999999999995,29.6,0.0
qmix,QMIX,random_candidate_beam,10,0.5155555555555555,0.8288888888888888,214.2488888888889,0.4576666666666666,28.6,1.0
mappo,Beam-only MAPPO,candidate_score_argmax,10,0.47333333333333333,0.7522222222222222,221.34222222222223,0.3971666666666667,25.6,0.0
mappo,Beam-only MAPPO,candidate_score_proportional,10,0.5288888888888889,0.8422222222222222,217.43555555555554,0.45346666666666674,30.2,0.0
mappo,Beam-only MAPPO,learned_beam_random_mix_0.2,10,0.5044444444444445,0.7822222222222222,212.86444444444442,0.41559999999999997,30.5,0.2
mappo,Beam-only MAPPO,learned_beam_random_mix_0.5,10,0.5533333333333333,0.8677777777777779,205.74666666666667,0.4386333333333333,30.2,0.5
mappo,Beam-only MAPPO,learned_beam_random_mix_0.8,10,0.5511111111111111,0.8588888888888888,208.79777777777775,0.4500333333333334,29.4,0.8
mappo,Beam-only MAPPO,pure_learned_beam,10,0.48,0.7522222222222221,221.38666666666668,0.3859666666666667,25.4,0.0
mappo,Beam-only MAPPO,random_candidate_beam,10,0.5155555555555555,0.8288888888888888,214.2488888888889,0.4576666666666666,28.6,1.0
