angular_cell_offset_std,area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,communication_range_m,communication_range_to_diagonal_ratio,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,elevation_cells,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,episode,false_alarm_rate,finite_time_discovery_rate,idle_actions,isac_error_sweep_enabled,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,miss_detection_rate,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,piggyback_sense_actions,protocol,range_mode,range_sweep_enabled,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slot_duration_ms,slots,train_beamwidth_deg,train_node_count,true_edges_seen,tx_actions
0.0,815.56096023333,density,36,20291713,648,10.0,2,0,1.0,0.0028282828282828283,0.0,856.3390082449965,1.05,86,14,0.05486387879785404,0.01085714861807886,5.486387879785404e-05,0.0028282828282828283,18,230358,0.9027380994368615,1289.473,92.10521428571428,0,0.0,0.0028282828282828283,0,False,0.73,0.0,3,0.03,2996.1739393939392,2996.1739393939392,0.0,gauss_markov,8.678968533343305,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,uniform_random,singlehop,False,127675,255177,18226.928571428572,20291713,20302910,44823,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,127502
0.0,815.56096023333,density,36,20291713,648,10.0,2,0,1.0,0.0036363636363636364,0.0,856.3390082449965,1.05,82,18,0.060000000000000005,0.015,6e-05,0.0036363636363636364,18,270677,0.9022566666666667,1200.0,66.66666666666667,0,0.0,0.0036363636363636364,0,False,0.7,-6.555197798719413e-16,5,0.05,2994.771313131313,2994.771313131313,0.0,gauss_markov,8.678968533343305,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,skyorbs_like_skip_scan,singlehop,False,150000,300000,16666.666666666668,20291713,20318349,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,150000
0.0,815.56096023333,density,36,20291713,648,10.0,2,0,1.0,0.0026262626262626263,0.0,856.3390082449965,1.05,87,13,0.04427702431149227,0.010838133723394986,4.427702431149227e-05,0.0026262626262626263,18,264906,0.9022499540200132,1199.4685000000002,92.26680769230771,0,0.0,0.0026262626262626263,6394,False,0.77,0.0,4,0.04,2996.708686868687,2996.708686868687,0.0,gauss_markov,8.678968533343305,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,improved_rl_no_isac,singlehop,False,135080,293606,22585.076923076922,20291713,20311592,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,158526
0.0,815.56096023333,density,36,20291713,648,10.0,2,6507,0.3734232065479056,0.33848302347909576,1.6779267663744197,856.3390082449965,1.05,1,3878,13.458968886112412,2.6641856809637647,0.013458968886112413,0.7834343434343435,18,136567,0.47396879934752806,1455.6042499999999,0.37534921351211964,0,0.0,0.7834343434343435,11865,False,0.0,44.734122682225205,100,1.0,1317.9927272727273,1317.9927272727273,0.0,gauss_markov,8.678968533343305,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,288135,improved_rl_isac,singlehop,False,138086,288135,74.29989685404848,20291713,20305935,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,150049
0.0,815.56096023333,density,36,20291713,648,10.0,2,5059,0.4346222619579794,0.3885503047257468,1.3008485471843663,856.3390082449965,1.05,1,3889,13.495646621577071,2.8203062777196712,0.013495646621577071,0.7856565656565656,18,135676,0.47082420957292126,1378.92825,0.35457141938801745,0,0.0,0.7856565656565656,11833,False,0.0,45.72774848115328,100,1.0,1305.4773737373737,1305.4773737373737,0.0,gauss_markov,8.678968533343305,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,288167,collision_aware_isac,singlehop,False,176516,288167,74.09796862946773,20291713,20313633,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,111651
0.0,815.56096023333,density,24,20291713,288,15.0,3,0,1.0,0.012727272727272728,0.0,856.3390082449965,1.05,37,63,0.24688745459034317,0.04885716878135486,0.0002468874545903432,0.012727272727272728,12,213664,0.8373168428189061,1289.473,20.467825396825397,0,0.0,0.012727272727272728,0,False,0.23,-1.4400531426134094e-15,30,0.3,2981.2496969696967,2981.2496969696967,0.0,gauss_markov,8.678968533343305,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,uniform_random,singlehop,False,127675,255177,4050.4285714285716,20291713,20302910,44823,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,127502
0.0,815.56096023333,density,24,20291713,288,15.0,3,0,1.0,0.01292929292929293,0.0,856.3390082449965,1.05,36,64,0.21333333333333332,0.05333333333333334,0.00021333333333333333,0.01292929292929293,12,250512,0.83504,1200.0,18.75,0,0.0,0.01292929292929293,0,False,0.24,-1.5515265263258926e-15,50,0.5,2981.457575757576,2981.457575757576,0.0,gauss_markov,8.678968533343305,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,skyorbs_like_skip_scan,singlehop,False,150000,300000,4687.5,20291713,20318349,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,150000
0.0,815.56096023333,density,24,20291713,288,15.0,3,2,0.9775280898876404,0.017568659127625202,0.022988505747126436,856.3390082449965,1.05,19,87,0.2987073183292991,0.07320550278191429,0.00029870731832929906,0.017575757575757574,12,243766,0.8369504386190795,1188.43525,13.660175287356322,0,0.0,0.017575757575757574,8745,False,0.15,-1.3995749039852804e-15,79,0.79,2973.780202020202,2973.780202020202,0.0,gauss_markov,8.678968533343305,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,improved_rl_no_isac,singlehop,False,135013,291255,3347.7586206896553,20291713,20311592,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,156242
0.0,815.56096023333,density,24,20291713,288,15.0,3,50052,0.0802815089763143,0.07943347514635832,11.45616845960174,856.3390082449965,1.05,1,4369,15.16282072194323,3.001731543584967,0.01516282072194323,0.8826262626262626,12,88039,0.30554350504444033,1455.4932499999998,0.3331410505836575,0,0.0,0.8826262626262626,11861,False,0.0,64.70404747806903,100,1.0,912.2197979797979,912.2197979797979,0.0,gauss_markov,8.678968533343305,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,288139,improved_rl_isac,singlehop,False,138153,288139,65.95078965438316,20291713,20305935,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,149986
0.0,815.56096023333,density,24,20291713,288,15.0,3,36096,0.10891675718376617,0.10748915850509184,8.181323662737988,856.3390082449965,1.05,1,4412,15.312638827187918,3.2350974342128413,0.015312638827187917,0.8913131313131313,12,88189,0.3060757718791648,1363.7920000000001,0.3091097008159565,0,0.0,0.8913131313131313,11872,False,0.0,64.80607896776178,100,1.0,851.5163636363636,851.5163636363636,0.0,gauss_markov,8.678968533343305,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,288128,collision_aware_isac,singlehop,False,183972,288128,65.3055303717135,20291713,20313633,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,104156
