protocol,beamwidth_deg,n_episodes,slots_mean,slot_duration_ms,discovery_rate_mean,discovery_rate_std,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,mean_delay_censored_mean,mean_delay_censored_std,p95_delay_censored_mean,p95_delay_censored_std,empty_scan_ratio_mean,empty_scan_ratio_std,lambda2_mean,lambda2_std,collision_count_mean,collision_count_std,discoveries_per_joule_mean,discoveries_per_joule_std,energy_per_discovery_censored_j_mean,energy_per_discovery_censored_j_std,true_edges_seen_mean,discovered_edges_mean,discovery_rate_ci95,collision_penalized_discovery_rate_ci95,mean_delay_censored_ci95,p95_delay_censored_ci95,empty_scan_ratio_ci95,lambda2_ci95,collision_count_ci95,discoveries_per_joule_ci95,energy_per_discovery_censored_j_ci95
collision_aware_isac,10.0,10,3000.0,5.0,0.7717979797979797,0.0072896548232476,0.3919391726921542,0.0108006579812893,1350.2239393939394,22.873649179326417,3000.0,0.0,0.4731809648603995,0.005477071604377,48.2809822066875,3.675228448048093,4803.7,241.79497513389316,2.771062393520613,0.025653834263052,0.3609030410822554,0.003307370062958,4950.0,3820.4,0.004518174869187334,0.006694317172072689,14.177234642037291,0.0,0.003394724150822138,2.277930192186446,149.8660782485483,0.015900411209591448,0.002049929202944347
improved_rl_isac,10.0,10,3000.0,5.0,0.7734747474747474,0.0080388049777855,0.3324112101964557,0.0135411137529887,1348.1245050505051,16.364052072048423,3000.0,0.0,0.4736558355501795,0.005354516235564,48.75937465347159,3.753643412182848,6586.0,456.5809895297876,2.629912453819241,0.0272310378613389,0.3802816572651209,0.0039465507956852,4950.0,3828.7,0.004982502945557484,0.008392869256915493,10.142544554265077,0.0,0.003318763546255653,2.3265322904904693,282.9918291965335,0.01687797212765382,0.0024460975255193498
improved_rl_no_isac,10.0,10,3000.0,5.0,0.0034343434343434,0.0007056262301645,0.0034343434343434,0.0007056262301645,2994.8636161616164,1.3851004212037152,3000.0,0.0,0.9020520008761908,0.0009939878930401,-4.125152079124469e-16,3.334705342774028e-16,0.0,0.0,0.0141790278035673,0.0029159604830392,73.42261441577998,14.295106590427835,4950.0,17.0,0.0004373516685592937,0.0004373516685592937,0.858494135336215,0.0,0.0006160800788931547,2.0668717849048954e-16,0.0,0.001807331031915937,8.8601988592446
skyorbs_like_skip_scan,10.0,10,3000.0,5.0,0.0035959595959595,0.0006047123049331,0.0035959595959595,0.0006047123049331,2994.5524040404043,1.2644568263920817,3000.0,0.0,0.901472,0.0010266950212534,-3.8748252299716734e-16,3.210940404896169e-16,0.0,0.0,0.0148333333333333,0.0024944382578492,69.63241660300484,13.40636020928797,4950.0,17.8,0.0003748045696928987,0.0003748045696928987,0.783718460572029,0.0,0.0006363521669850824,1.990161481664892e-16,0.0,0.001546068849983308,8.309348145224318
uniform_random,10.0,10,3000.0,5.0,0.0024848484848484,0.0005271914485131,0.0024848484848484,0.0005271914485131,2996.3316565656564,0.9460296060423168,3000.0,0.0,0.902027573668585,0.0012788821530989,-1.676616846837496e-16,2.0583166130777006e-16,0.0,0.0,0.0095337844155414,0.0020224360542324,109.7662454416662,23.743388491989386,4950.0,12.3,0.00032675664509189775,0.00032675664509189775,0.5863552246529201,0.0,0.0007926593706956069,1.2757578540454546e-16,0.0,0.0012535188532699678,14.716304652963734
collision_aware_isac,15.0,10,3000.0,5.0,0.8829494949494949,0.0046149126352241,0.1092578466757604,0.0046814657335495,885.0537373737374,17.1948044385397,3000.0,0.0,0.3100135590689692,0.0032144932902295,67.78751122666117,2.901925622565309,35122.0,1629.5889052150546,3.204706848444799,0.0161785208641289,0.3120489614518793,0.0015727154896406,4950.0,4370.6,0.0028603524854795997,0.0029016025231852816,10.657450205603803,0.0,0.001992363582808964,1.7986321352708645,1010.0296676830835,0.010027551120227756,0.0009747791595034836
improved_rl_isac,15.0,10,3000.0,5.0,0.8808080808080808,0.0047840840777747,0.0817697474251116,0.0036667470909902,918.2270505050504,11.500044866124018,3000.0,0.0,0.3095682896082444,0.0037871364861703,67.80128521517,2.7344772032569304,48469.5,2217.4659974845163,2.9958683317439503,0.0163624514242498,0.3338030325459588,0.0018294853124091,4950.0,4360.0,0.0029652060318887787,0.002272673392619837,7.1278016543312965,0.0,0.0023472915128200833,1.6948465297314235,1374.3996644615424,0.0101415524624811,0.001133926744475343
improved_rl_no_isac,15.0,10,3000.0,5.0,0.0168484848484848,0.0014461034479331,0.0168471875458951,0.001446684261879,2973.7334545454546,2.4635543766926253,3000.0,0.0,0.8354896539412474,0.0018449584439503,-1.104888963128099e-15,1.6294145527591734e-16,0.4,0.8,0.0701371000900852,0.0060673939468871,14.3713095006157,1.3163434597821373,4950.0,83.4,0.0008963042030274965,0.0008966641952407999,1.5269268221249244,0.0,0.0011435170907636374,1.0099216029113427e-16,0.49584513711440187,0.0037606097294016574,0.8158781291316499
skyorbs_like_skip_scan,15.0,10,3000.0,5.0,0.0178787878787878,0.0024779406321688,0.0178780046017525,0.0024774627608676,2973.2200808080806,4.1098277263173175,3000.0,0.0,0.8317823333333333,0.0018843354560987,-1.0557134139180845e-15,3.172790893417301e-16,0.2,0.6,0.07375,0.0102215051076965,13.85228980547432,2.137554256965186,4950.0,88.5,0.0015358435156488577,0.0015355473279477746,2.547297615590476,0.0,0.001167923215748486,1.966516169477284e-16,0.3718838528358014,0.006335354502051662,1.3248698545429702
uniform_random,15.0,10,3000.0,5.0,0.0124848484848484,0.0013665886485081,0.0124848484848484,0.0013665886485081,2980.996303030303,2.85253313595213,3000.0,0.0,0.8353568183154279,0.0018270123975147,-1.2867835817576244e-15,2.2784040360811025e-16,0.0,0.0,0.0479017022253279,0.0052448767061767,21.122004726236455,2.2601209400357414,4950.0,61.8,0.000847020419748105,0.000847020419748105,1.7680183548994484,0.0,0.0011323940159442356,1.412169452090801e-16,0.0,0.003250808261902898,1.4008374717589414
