access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,ack_decode_failures,active_actions,active_discovered_edges,algorithm,beam_candidate_count_mean_active,beam_score_gap_mean_active,beam_selected_score_mean_active,beam_top1_rate_active,beam_top3_rate_active,collision_count,discovered_edges,discovery_rate,empty_scan_ratio,env_protocol,episode,episode_cumulative_reward,forward_decode_failures,handshake_attempts,handshake_successes,idle_actions,interference_limited_failures,knowledge_lambda2,lambda2,lcc_ratio,mean_handshake_sinr_db,new_edges_count,phy_outage_failures,positive_reward_agents,reciprocal_actor_pair_count,reciprocal_report_pair_count,reciprocal_scheduled_pair_count,rendezvous_beam_hit_count,rendezvous_beam_hit_rate,rendezvous_joint_action_count,rendezvous_joint_action_rate,rendezvous_mode_match_count,rendezvous_mode_match_rate,rendezvous_observation_agent_count,reward_max_agent,reward_mean,reward_min_agent,reward_std_across_agents,reward_sum,rx_actions,scan_actions,seed,sense_actions,slot,training_step,true_edges,tx_actions
0,0.0,0,0.0,110,1.0,0,10,1,isac_mappo,16.3,0.543902037711814,0.4560979622881859,0.2,0.5,0,1,0.0222222222222222,0.6909090909090909,improved_rl_isac_tables,0,5.126966000534594,0,1,1,0,0,0.0,0.0,0.2,5.111364270802403,0,0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0104999998584389,-0.0010500000789761,-0.003000000026077,0.0038758870214223,-0.0105000007897615,57,110,23260800,0,10,11,45,53
0,0.0,0,0.0,120,1.0,0,10,1,isac_mappo,16.2,0.3349312007427215,0.6650687992572785,0.4,0.7,0,1,0.0222222222222222,0.7,improved_rl_isac_tables,0,5.1164659997448325,0,1,1,0,0,0.0,0.0,0.2,5.111364270802403,0,0,1,0,1,1,0,0.0,0,0.0,0,0.0,2,0.0104999998584389,-0.0010500000789761,-0.003000000026077,0.0038758870214223,-0.0105000007897615,63,120,23260800,0,11,12,45,57
0,0.0,0,0.0,130,1.0,0,10,1,isac_mappo,15.9,0.3918572932481766,0.6081427067518235,0.4,0.7,0,1,0.0222222222222222,0.7153846153846154,improved_rl_isac_tables,0,5.089465997181833,0,1,1,0,0,0.0,0.0,0.2,5.111364270802403,0,0,0,0,2,0,0,0.0,0,0.0,0,0.0,0,-0.0020000000949949,-0.0027000003028661,-0.003000000026077,0.000458257534774,-0.0270000025629997,66,130,23260800,0,12,13,45,64
0,0.0,0,0.0,140,1.0,0,10,1,isac_mappo,15.7,0.525162798166275,0.4748372018337249,0.2,0.6,0,1,0.0222222222222222,0.7071428571428572,improved_rl_isac_tables,0,5.066465995274484,0,1,1,0,0,0.0,0.0,0.2,5.111364270802403,0,0,0,0,2,0,0,0.0,0,0.0,0,0.0,0,-0.0020000000949949,-0.0023000002838671,-0.003000000026077,0.000458257534774,-0.0230000019073486,73,140,23260800,0,13,14,45,67
0,0.0,0,0.0,150,1.0,0,10,1,isac_mappo,15.4,0.5482676175277448,0.4517323824722553,0.3,0.5,0,1,0.0222222222222222,0.7066666666666667,improved_rl_isac_tables,0,5.04146599303931,0,1,1,0,0,0.0,0.0,0.2,5.111364270802403,0,0,0,0,2,0,0,0.0,0,0.0,0,0.0,0,-0.0020000000949949,-0.0025000001769512,-0.003000000026077,0.000499999965541,-0.0250000022351741,78,150,23260800,0,14,15,45,72
0,0.0,0,0.0,160,1.0,0,10,1,isac_mappo,15.5,0.5068623781204223,0.4931376218795776,0.2,0.6,0,1,0.0222222222222222,0.70625,improved_rl_isac_tables,0,5.042465991806239,0,1,1,0,0,0.0,0.0,0.2,5.111364270802403,0,0,2,0,2,0,1,0.5,1,0.5,2,1.0,2,0.0104999998584389,9.999987378250808e-05,-0.003000000026077,0.0052191955037415,0.0009999987669289,82,160,23260800,0,15,16,45,78
0,0.0,0,0.0,170,1.0,0,10,1,isac_mappo,13.5,0.4291773289471166,0.5708226710528834,0.3,0.6,0,1,0.0222222222222222,0.7058823529411765,improved_rl_isac_tables,0,5.031965991016477,0,1,1,0,0,0.0,0.0,0.2,5.111364270802403,0,0,1,0,3,1,0,0.0,0,0.0,2,0.6666666666666666,3,0.0104999998584389,-0.0010500000789761,-0.003000000026077,0.0038758870214223,-0.0105000007897615,88,170,23260800,0,16,17,45,82
0,0.0,0,0.0,180,1.0,0,10,1,isac_mappo,13.3,0.5403488913201727,0.4596511086798273,0.1,0.6,0,1,0.0222222222222222,0.6944444444444444,improved_rl_isac_tables,0,5.034965988015756,0,1,1,0,0,0.0,0.0,0.2,5.111364270802403,0,0,2,0,3,0,0,0.0,0,0.0,0,0.0,0,0.0104999998584389,0.0002999996941071,-0.003000000026077,0.0051146848127245,0.0029999969992786,94,180,23260800,0,17,18,45,86
0,0.0,0,0.0,190,1.0,0,10,1,isac_mappo,13.0,0.6013856974859664,0.3986143025140336,0.2,0.4,0,1,0.0222222222222222,0.7,improved_rl_isac_tables,0,5.010965985944495,0,1,1,0,0,0.0,0.0,0.2,5.111364270802403,0,0,0,0,3,0,0,0.0,0,0.0,0,0.0,0,-0.0020000000949949,-0.0024000001139938,-0.003000000026077,0.0004898979095742,-0.0240000020712614,100,190,23260800,0,18,19,45,90
0,0.0,0,0.0,200,1.0,0,10,1,isac_mappo,13.4,0.2896354705095291,0.7103645294904709,0.4,0.7,0,1,0.0222222222222222,0.685,improved_rl_isac_tables,0,5.051465982338414,0,1,1,0,0,0.0,0.0,0.2,5.111364270802403,0,0,5,0,3,0,0,0.0,0,0.0,3,1.0,3,0.0104999998584389,0.0040499996393918,-0.003000000026077,0.0064592957496643,0.0404999963939189,103,200,23260800,0,19,20,45,97
