access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,access_gate_total,ack_decode_failures,active_discovered_edges,algorithm,aligned_handshake_opportunities,approx_kl,beam_active_fraction,beam_policy_loss,beam_rank_aux_loss,clip_fraction,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,entropy,episode,episode_return_mean_per_agent,episode_return_sum,expert_bc_loss,forward_decode_failures,forward_decodes,gate_policy_loss,handshake_attempts,handshake_successes,hello_transmissions,idle_actions,interference_limited_failures,isolated_node_ratio,knowledge_lambda2,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_handshake_sinr_db,mean_sensing_pd,mean_sensing_snr_db,mobility_model,mode_policy_loss,moved_distance_mean_m,n_beams,n_nodes,p10_handshake_sinr_db,p90_delay_censored,p95_delay_censored,p99_delay_censored,phy_outage_failures,piggyback_sense_actions,policy_loss,protocol,reciprocal_actor_conversion_rate,reciprocal_actor_pair_count,reciprocal_report_pair_count,reciprocal_schedule_rate,reciprocal_scheduled_pair_count,rendezvous_adapter_beam_presence_weight,rendezvous_adapter_beam_score_weight,rendezvous_adapter_rx_role_weight,rendezvous_adapter_tx_role_weight,rendezvous_beam_aux_loss,rendezvous_beam_hit_count,rendezvous_beam_hit_rate,rendezvous_fallback_actions,rendezvous_guided_actions,rendezvous_joint_action_count,rendezvous_joint_action_rate,rendezvous_mode_match_count,rendezvous_mode_match_rate,rendezvous_observation_agent_count,rendezvous_role_aux_loss,role_compatible_pairs,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,step_reward_mean,step_reward_sum_mean,training_step,true_edges_seen,tx_actions,value_loss
0,0.0,0,0.0,3000,1.0,3000,0,6,isac_mappo,6,0.0012348955962806,1.0,0.0011868580393503,1.857713758945465,0.0026666667933265,0,1.0,0.1333333333333333,0.0,4,6,2.0,0.4534119247336204,0.002,0.1333333333333333,2144,0.7146666666666667,13.233,2.2055,3.866120457649231,0,2.4140625,24.140625,0.0,0,6,-1.6729035934304193e-08,6,6,1411,0,0,0.2,0.0,0.0,6,0.6,281.22222222222223,11.321653709891889,0.979988524582632,23.326119975251213,gauss_markov,7.529224851055005e-05,11.573366389638164,24,10,5.307640373341321,300.0,300.0,300.0,0,1411,0.001262146034584,improved_rl_isac_tables,0.0,0,4641,0.0549450549450549,255,0.2000731080770492,0.2000855505466461,-0.2000638991594314,0.2000638842582702,2.9348862171173096,48,0.0597758405977584,0,0,27,0.0336239103362391,396,0.4931506849315068,803,0.6494482457637787,6382,1589,3000,500.0,23260800,23260800,0,0.9540816326530612,0.0077958894401133,0.0459183673469387,1411,392,300,0.0080468747764825,0.0804687663912773,300,45,1411,0.2779477685689926
0,0.0,0,0.0,3000,1.0,3000,0,11,isac_mappo,13,0.0022574908994138,1.0,0.001417785950005,1.8775802254676817,0.0056111110995213,1,0.9166666666666666,0.2391304347826087,0.0909090909090909,1,11,3.6666666666666665,0.8128279021650779,0.0036666666666666,0.2444444444444444,2026,0.6753333333333333,13.533,1.2302727272727272,3.841115832328797,1,4.320087432861328,43.20087432861328,0.0,2,11,-2.3444493013613513e-08,13,11,1511,0,1,0.0,0.2423471618405445,0.2423471618405445,10,1.0,275.5777777777778,11.533661313492791,0.9799987404684852,24.02422511023028,gauss_markov,-0.0004492174877475,9.763324202303876,24,10,7.053030938153179,300.0,300.0,300.0,1,1511,0.0009685625728841,improved_rl_isac_tables,0.0066225165562913,2,5433,0.0555862322841892,302,0.3883587419986725,0.3905788660049438,-0.3886309266090393,0.3886309266090393,2.0872913002967834,101,0.1185446009389671,0,0,56,0.0657276995305164,506,0.5938967136150235,852,0.4979088902473449,6330,1489,3000,272.72727272727275,23260801,23260801,0,0.944,0.0072799470549305,0.056,1511,500,300,0.0144002912566065,0.1440029293298721,600,45,1511,0.7713792622089386
0,0.0,0,0.0,3000,1.0,3000,0,14,isac_mappo,17,0.0026139769243697,1.0,0.001344098278011,1.9243075251579285,0.0116111114621162,2,0.875,0.2978723404255319,0.1428571428571428,1,14,4.666666666666667,1.0317635787456705,0.0046666666666666,0.3111111111111111,2029,0.6763333333333333,13.569,0.9692142857142856,3.776139974594116,2,5.50174617767334,55.0174674987793,0.0,3,14,-2.646446173315553e-08,17,14,1523,0,2,0.0,0.5155761116579708,0.5155761116579708,10,1.0,259.1777777777778,12.360397968220669,0.9799955826821884,25.80848665851586,gauss_markov,-0.0002422448440135,11.754005662797455,24,10,6.7640517090882,300.0,300.0,300.0,1,1523,0.0011018468734498,improved_rl_isac_tables,0.0262172284644194,7,4797,0.0556597873671044,267,0.5679391622543335,0.5734713077545166,-0.5688686966896057,0.5688686966896057,1.4011598229408264,183,0.2719167904903417,0,0,119,0.1768202080237741,450,0.6686478454680534,673,0.3879340142011642,5964,1477,3000,214.28571428571428,23260802,23260802,0,0.9558823529411764,0.0078791858174655,0.0441176470588235,1523,476,300,0.018339155241847,0.1833915561437606,900,45,1523,0.5799628794193268
0,0.0,0,0.0,3000,1.0,3000,0,24,isac_mappo,28,0.0027917740456759,1.0,-0.0002962440530148,2.0192434787750244,0.0202777783075968,0,1.0,0.5333333333333333,0.0,1,24,8.0,1.811184061580258,0.008,0.5333333333333333,1975,0.6583333333333333,13.251,0.5521250000000001,3.636512517929077,3,9.619112014770508,96.19110870361328,0.0,4,24,-2.090136241861273e-08,28,24,1417,0,0,0.0,2.190540551753696,2.190540551753696,10,1.0,203.0888888888889,10.692581293343286,0.9799824425491374,20.204536750482497,gauss_markov,0.0003495469998257,10.62448703574568,24,10,5.270160042559219,300.0,300.0,300.0,4,1417,5.329772254725196e-05,improved_rl_isac_tables,0.0846774193548387,21,4591,0.0540187323023306,248,0.7300002574920654,0.7381315231323242,-0.7309020161628723,0.7309020161628723,0.8727395236492157,315,0.4233870967741935,0,0,227,0.3051075268817204,542,0.728494623655914,744,0.3079990893602371,4625,1583,3000,125.0,23260803,23260803,0,0.9623430962343096,0.0084685956245589,0.0376569037656903,1417,478,300,0.0320637039840221,0.3206370770931244,1200,45,1417,2.5188857316970825
0,0.0,0,0.0,3000,1.0,3000,2,30,isac_mappo,36,0.0016788786478961,1.0,0.0008853525567502,2.151353597640991,0.0078888889402151,2,0.9375,0.6382978723404256,0.0666666666666666,1,30,10.0,2.276867030965392,0.01,0.6666666666666666,1827,0.609,13.176000000000002,0.4392000000000001,3.493255734443665,4,11.536417007446287,115.36418914794922,0.0,4,32,-6.373723415720178e-08,36,30,1392,0,2,0.0,4.0608438524464505,4.0608438524464505,10,1.0,197.35555555555555,12.820269740987806,0.9799951234963974,23.64356434866796,gauss_markov,-0.0007189337142428,12.012405749496844,24,10,5.756881341188138,300.0,300.0,300.0,4,1392,0.0001664029055277,improved_rl_isac_tables,0.1446280991735537,35,4216,0.0574003795066413,242,0.8679333329200745,0.8789084553718567,-0.8779602646827698,0.8779602646827698,0.534348800778389,441,0.6475770925110133,0,0,331,0.4860499265785609,514,0.7547723935389133,681,0.2463333010673523,4372,1608,3000,100.0,23260804,23260804,0,0.9582577132486388,0.0050287356321839,0.0417422867513611,1392,551,300,0.0384547300636768,0.3845472335815429,1500,45,1392,3.222339153289795
0,0.0,0,0.0,3000,1.0,3000,2,28,isac_mappo,42,0.000989688985981,1.0,-0.0001009735644137,2.1836097240448,0.0038888889054457,9,0.7567567567567568,0.5185185185185185,0.3214285714285714,1,28,9.333333333333334,2.121694324467682,0.0093333333333333,0.6222222222222222,1829,0.6096666666666667,13.197,0.4713214285714286,3.428365707397461,5,10.737242698669434,107.37242126464844,0.0,12,30,-6.270408881015045e-08,42,28,1399,0,9,0.0,2.293465648742608,2.293465648742608,10,1.0,206.3111111111111,11.964229674000109,0.9799911455319552,24.087849877203983,gauss_markov,3.9583405014087525e-05,10.762234352450246,24,10,2.339946412547853,300.0,300.0,300.0,5,1399,-6.140583683755807e-05,improved_rl_isac_tables,0.2169811320754717,46,3730,0.0568364611260053,212,0.9843683242797852,0.9987539052963256,-1.00984787940979,1.00984787940979,0.3931546211242676,475,0.794314381270903,0,0,380,0.6354515050167224,468,0.782608695652174,598,0.1987078115344047,4640,1601,3000,107.14285714285714,23260805,23260805,0,0.9652014652014652,0.0078627591136526,0.0347985347985348,1399,546,300,0.0357908084988594,0.3579081296920776,1800,45,1399,2.9328317642211914
0,0.0,0,0.0,3000,1.0,3000,0,31,isac_mappo,54,0.0001542583435075,1.0,-0.0001844305244347,2.414119839668274,0.0016666666294137,9,0.775,0.5740740740740741,0.2903225806451613,1,31,10.333333333333334,2.336272514884317,0.0103333333333333,0.6888888888888889,1661,0.5536666666666666,13.268999999999998,0.428032258064516,3.1716370582580566,6,12.259421348571776,122.59422302246094,0.0,23,31,-4.609425907631248e-08,54,31,1423,0,9,0.0,2.628222504427736,2.628222504427736,10,1.0,182.55555555555557,8.639296601157126,0.9799630706636429,20.04034642609937,gauss_markov,7.893534491643095e-05,11.934098145901292,24,10,1.9081258823199796,300.0,300.0,300.0,14,1423,-0.000105506703143,improved_rl_isac_tables,0.4151785714285714,93,4520,0.0495575221238938,224,1.0823118686676023,1.0996370315551758,-1.126883029937744,1.126883029937744,0.22306489944458,680,0.845771144278607,0,0,579,0.7201492537313433,680,0.845771144278607,804,0.1614220887422561,4121,1577,3000,96.7741935483871,23260806,23260806,0,0.9669669669669668,0.0021082220660576,0.033033033033033,1423,666,300,0.0408647395670414,0.4086474180221557,2100,45,1423,3.677969574928284
0,0.0,0,0.0,3000,1.0,3000,0,32,isac_mappo,49,0.0006805331582824,1.0,0.0002954278692293,2.381398320198059,0.0002777777845039,5,0.8648648648648649,0.64,0.15625,1,32,10.666666666666666,2.396465213809631,0.0106666666666666,0.7111111111111111,1714,0.5713333333333334,13.353,0.41728125,3.2278679609298706,7,12.339947700500488,123.39947509765624,0.0,17,32,9.218851459991129e-09,49,32,1451,0,5,0.0,3.9668163272382544,3.9668163272382544,10,1.0,190.06666666666663,10.822627301294098,0.979975162573022,24.06592815845005,gauss_markov,-0.0006078444235022,10.391311981358069,24,10,0.0746356334687365,300.0,300.0,300.0,12,1451,-0.00031241425771,improved_rl_isac_tables,0.3771929824561403,86,4454,0.0511899416255051,228,1.1639515161514282,1.1839778423309326,-1.2331489324569702,1.2331489324569702,0.2160368114709854,595,0.8920539730134932,0,0,505,0.7571214392803598,568,0.8515742128935532,667,0.1345650851726532,4365,1549,3000,93.75,23260807,23260807,0,0.9615384615384616,0.0055134390075809,0.0384615384615384,1451,624,300,0.0411331579089164,0.4113315641880035,2400,45,1451,2.777711272239685
0,0.0,0,0.0,3000,1.0,3000,0,31,isac_mappo,47,0.0009167832986762,1.0,3.989217629296604e-05,2.50358784198761,0.0,10,0.7560975609756098,0.5636363636363636,0.3225806451612903,1,31,10.333333333333334,2.2635998539613,0.0103333333333333,0.6888888888888889,1648,0.5493333333333333,13.695,0.4417741935483871,3.11289894580841,8,12.534798622131348,125.34798431396484,0.0,16,31,6.504853544697653e-08,47,31,1565,0,10,0.0,3.647518396464477,3.647518396464477,10,1.0,173.2,8.915273221935601,0.9799855166917864,21.958016882387117,gauss_markov,-0.0005515070495505,11.457936820016654,24,10,-2.3728186562548217,300.0,300.0,300.0,6,1565,-0.0005115986179262,improved_rl_isac_tables,0.5104602510460251,122,4335,0.0551326412918108,239,1.2320679426193235,1.2546063661575315,-1.3316705226898191,1.3316705226898191,0.1458034142851829,681,0.9316005471956224,0,0,596,0.8153214774281806,636,0.8700410396716827,731,0.1130577996373176,3918,1435,3000,96.7741935483871,23260808,23260808,0,0.9493150684931508,0.0057507987220447,0.0506849315068493,1565,730,300,0.0417826622724533,0.4178266823291778,2700,45,1565,2.755184769630432
0,0.0,0,0.0,3000,1.0,3000,0,33,isac_mappo,37,6.090326062985554e-05,1.0,-0.0003489578228119,2.516676425933838,0.0,2,0.9428571428571428,0.7021276595744681,0.0606060606060606,1,33,11.0,2.330508474576271,0.011,0.7333333333333333,1647,0.549,14.16,0.4290909090909091,3.1284998655319214,9,13.147236824035645,131.4723663330078,0.0,4,33,5.729993268754897e-08,37,33,1720,0,2,0.0,3.699149683622498,3.699149683622498,10,1.0,175.4,13.996703423929723,0.9799966433362708,27.83063790985129,gauss_markov,0.0002314556088158,9.315862019562305,24,10,8.374598961474993,300.0,300.0,300.0,2,1720,-0.0001174878912451,improved_rl_isac_tables,0.3440860215053763,64,3957,0.047005307050796,186,1.2887343168258667,1.3144184350967407,-1.4235965013504028,1.4235965013504028,0.2123538851737976,659,0.9468390804597702,0,0,594,0.853448275862069,627,0.9008620689655172,696,0.0996050611138343,3943,1280,3000,90.9090909090909,23260809,23260809,0,0.9475032010243278,0.0052325581395348,0.0524967989756722,1720,781,300,0.0438241213560104,0.4382412731647491,3000,45,1720,2.918161630630493
