reference,comparison,comparison_label,episodes,paired_delta_mean,paired_delta_std,paired_delta_ci95_low,paired_delta_ci95_high,exact_sign_flip_p_two_sided,isac_marl_wins,ties
isac_marl,wang2025,Wang2025,10,0.1422222222222222,0.08777074514725114,0.07943917567832362,0.20500526876612077,0.001953125,10,0
isac_marl,adapter_zero,Adapter zero,10,0.5266666666666667,0.06873339679799732,0.47750117259402053,0.5758321607393129,0.001953125,10,0
isac_marl,no_isac_observation,No ISAC observation,10,0.5288888888888887,0.0701165011330325,0.47873405031773225,0.5790437274600452,0.001953125,10,0
isac_marl,uniform_random,Uniform random,10,0.5511111111111111,0.11321465584914257,0.4701278518747528,0.6320943703474694,0.001953125,10,0
