method,method_label,episodes,discovery_rate_mean,discovery_rate_std,discovery_rate_ci95_low,discovery_rate_ci95_high,discovered_edges_mean,aligned_opportunities_mean,forward_decodes_mean
rule_guided_marl,Rule-guided MARL,10,0.74,0.08830052189739619,0.6768380003287646,0.8031619996712354,33.3,50.0,34.6
wang2025,Wang2025,10,0.5977777777777777,0.0834443704689715,0.5380894182202671,0.6574661373352884,26.9,35.9,27.0
adapter_zero,Adapter zero,10,0.21333333333333332,0.06389291452695652,0.16763027111321183,0.2590363955534548,9.6,12.1,9.8
no_isac_observation,No ISAC observation,10,0.21111111111111108,0.0664605868330606,0.16357137438591207,0.2586508478363101,9.5,11.7,9.8
uniform_random,Uniform random,10,0.18888888888888886,0.05949029038595929,0.14633505544534653,0.23144272233243118,8.5,9.8,8.8
