access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,access_gate_total,action_policy_protocol,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,episode_return_mean_per_agent,episode_return_sum,eval_episode,forbid_sense,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,marl_trained,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method_family,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p95_delay_censored,p99_delay_censored,phase,piggyback_sense_actions,protocol,reward_version,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,step_reward_mean,train_env_protocol,train_episodes,train_network,train_node_count,train_slots,true_edges_seen,tx_actions
0,0.0,0,0.0,2000,1.0,2000,marl_wang_isac_tables_discovery_first,0,2,0.9047619047619048,0.40425531914893614,0.10526315789473684,1,19,10.850942318675044,2.3099601835810466,0.010850942318675044,0.4222222222222222,590,0.336950314106225,8.225249999999999,0.43290789473684205,wang2025_isac_tables,0,5.558004379272461,55.580047607421875,0,1,249,0.0,1.6003096773628551,10,1.0,1,163.51111111111112,0.9148150087282703,0.19417781310742055,trained_marl,"MARL + Wang ISAC tables, discovery-first",gauss_markov,8.103656827616101,10,200.0,200.0,200.0,eval_stochastic,970,marl_wang_isac_tables_discovery_first,discovery_first,1,781,1751,92.15789473684211,2026084001,2026084001,0,0.8588030214991285,0.007182858534209886,0.1411969785008716,8214,1721,200,0.027790023013949394,wang2025_isac_tables,100,contention_shared,10,200,45,970
0,0.0,0,0.0,2000,1.0,2000,marl_wang_isac_tables_discovery_first,0,0,1.0,0.4888888888888889,0.0,1,22,12.835472578763126,2.7560288130285,0.012835472578763127,0.4888888888888889,567,0.3308051341890315,7.9825,0.3628409090909091,wang2025_isac_tables,1,6.586788177490234,65.86788940429688,1,1,286,0.0,1.8239744181182427,10,1.0,1,152.86666666666667,0.8493335885483614,-3.0099638277366303,trained_marl,"MARL + Wang ISAC tables, discovery-first",gauss_markov,7.851100278166674,10,200.0,200.0,200.0,eval_stochastic,923,marl_wang_isac_tables_discovery_first,discovery_first,1,791,1714,77.9090909090909,2026084002,2026084002,0,0.7903525046382189,0.009312412297486925,0.20964749536178107,7839,1617,200,0.03293394297361374,wang2025_isac_tables,100,contention_shared,10,200,45,923
0,0.0,0,0.0,2000,1.0,2000,marl_wang_isac_tables_discovery_first,0,0,1.0,0.4666666666666667,0.0,1,21,12.195121951219512,2.6225413674679987,0.012195121951219513,0.4666666666666667,507,0.29442508710801396,8.0075,0.3813095238095238,wang2025_isac_tables,2,6.905943393707275,69.05944061279297,2,1,278,0.0,1.796850830254439,10,1.0,1,150.77777777777777,0.9077149646271945,-1.0855481922208614,trained_marl,"MARL + Wang ISAC tables, discovery-first",gauss_markov,6.8019318790311205,10,200.0,200.0,200.0,eval_stochastic,924,marl_wang_isac_tables_discovery_first,discovery_first,1,798,1722,82.0,2026084003,2026084003,0,0.8378502526412495,0.007661391610148204,0.16214974735875057,7962,2177,200,0.03452971950173378,wang2025_isac_tables,100,contention_shared,10,200,45,924
0,0.0,0,0.0,2000,1.0,2000,marl_wang_isac_tables_discovery_first,0,0,1.0,0.4888888888888889,0.0,1,22,12.665515256188831,2.716133213988086,0.012665515256188831,0.4888888888888889,630,0.3626943005181347,8.09975,0.36817045454545455,wang2025_isac_tables,3,6.738338470458984,67.38338470458984,3,1,263,0.0,1.950373508132828,10,1.0,1,146.88888888888889,0.8752472522703407,-1.5737265779883371,trained_marl,"MARL + Wang ISAC tables, discovery-first",gauss_markov,6.496741349304104,10,200.0,200.0,200.0,eval_stochastic,941,marl_wang_isac_tables_discovery_first,discovery_first,1,796,1737,78.95454545454545,2026084004,2026084004,0,0.8326127239036443,0.006434519303557911,0.16738727609635579,7926,1619,200,0.03369169309735298,wang2025_isac_tables,100,contention_shared,10,200,45,941
0,0.0,0,0.0,2000,1.0,2000,marl_wang_isac_tables_discovery_first,0,0,1.0,0.4888888888888889,0.0,1,22,12.61467889908257,2.7359781121751023,0.01261467889908257,0.4888888888888889,629,0.3606651376146789,8.041,0.3655,wang2025_isac_tables,4,6.180872917175293,61.8087272644043,4,1,256,0.0,1.3639585222850736,10,1.0,1,154.95555555555555,0.73777178661011,-3.872392209124653,trained_marl,"MARL + Wang ISAC tables, discovery-first",gauss_markov,6.678913882903602,10,200.0,200.0,200.0,eval_stochastic,915,marl_wang_isac_tables_discovery_first,discovery_first,1,829,1744,79.27272727272727,2026084005,2026084005,0,0.7211601845748187,0.00803837676649812,0.27883981542518127,7713,1517,200,0.030904363840818405,wang2025_isac_tables,100,contention_shared,10,200,45,915
,,,,,,,budgeted_collision_aware_isac,0,0,1.0,0.06666666666666667,0.0,7,3,1.5151515151515151,0.3940627873374491,0.0015151515151515152,0.06666666666666667,1452,0.7333333333333333,7.613,2.537666666666667,wang2025_isac_tables,0,,,,,20,0.6,-6.084100270286183e-17,4,0.4,0,196.53333333333333,0.9052071091469277,-1.3542171086230994,common_env_action_policy,Budgeted ISAC rule,gauss_markov,7.9149591129900685,10,200.0,200.0,200.0,,556,budgeted_collision_aware_isac,,1,1424,1980,660.0,21170708,21170708,0,0.8383458646616542,0.008259212198221092,0.16165413533834586,4722,798,200,,,,,,,45,556
,,,,,,,budgeted_collision_aware_isac,0,0,1.0,0.022222222222222223,0.0,9,1,0.5037783375314862,0.1327360212377634,0.0005037783375314861,0.022222222222222223,1622,0.8171284634760705,7.53375,7.53375,wang2025_isac_tables,1,,,,,15,0.8,0.0,2,0.2,0,197.22222222222223,0.7969956694658404,-3.4548764742370315,common_env_action_policy,Budgeted ISAC rule,gauss_markov,7.361316630180093,10,200.0,200.0,200.0,,525,budgeted_collision_aware_isac,,1,1460,1985,1985.0,21170709,21170709,0,0.7553191489361702,0.008273459612453734,0.24468085106382978,4593,658,200,,,,,,,45,525
,,,,,,,budgeted_collision_aware_isac,0,0,1.0,0.1111111111111111,0.0,5,5,2.540650406504065,0.6675567423230975,0.002540650406504065,0.1111111111111111,1376,0.6991869918699187,7.489999999999999,1.4979999999999998,wang2025_isac_tables,2,,,,,32,0.4,0.0,6,0.6,0,189.64444444444445,0.9070946295415763,0.281670122320104,common_env_action_policy,Budgeted ISAC rule,gauss_markov,8.258276149709568,10,200.0,200.0,200.0,,526,budgeted_collision_aware_isac,,1,1442,1968,393.6,21170710,21170710,0,0.8721174004192872,0.009567297238530115,0.1278825995807128,4599,954,200,,,,,,,45,526
,,,,,,,budgeted_collision_aware_isac,0,0,1.0,0.022222222222222223,0.0,9,1,0.5058168942842691,0.1322795065974404,0.0005058168942842691,0.022222222222222223,1531,0.7744056651492159,7.55975,7.55975,wang2025_isac_tables,3,,,,,23,0.8,0.0,2,0.2,0,198.37777777777777,0.923257744140301,0.8809088089757158,common_env_action_policy,Budgeted ISAC rule,gauss_markov,7.572084276538915,10,200.0,200.0,200.0,,541,budgeted_collision_aware_isac,,1,1436,1977,1977.0,21170711,21170711,0,0.8652291105121294,0.01007502679528403,0.1347708894878706,4665,742,200,,,,,,,45,541
,,,,,,,budgeted_collision_aware_isac,0,0,1.0,0.08888888888888889,0.0,6,4,2.0294266869609334,0.535170752918353,0.0020294266869609334,0.08888888888888889,1514,0.7681380010147133,7.47425,1.8685625,wang2025_isac_tables,4,,,,,29,0.5,-8.243318554471497e-18,5,0.5,0,188.51111111111112,0.8201627899059554,-3.4284351567333466,common_env_action_policy,Budgeted ISAC rule,gauss_markov,6.67624565823902,10,200.0,200.0,200.0,,518,budgeted_collision_aware_isac,,1,1453,1971,492.75,21170712,21170712,0,0.7667597765363129,0.008979413053000438,0.23324022346368714,4566,716,200,,,,,,,45,518
