access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,active_actions,algorithm,beam_candidate_count_mean_active,beam_score_gap_mean_active,beam_selected_score_mean_active,beam_top1_rate_active,beam_top3_rate_active,collision_count,discovered_edges,discovery_rate,empty_scan_ratio,env_protocol,episode,episode_cumulative_reward,idle_actions,lambda2,lcc_ratio,new_edges_count,reward_mean,reward_sum,rx_actions,scan_actions,seed,sense_actions,slot,training_step,true_edges,tx_actions
0,0.0,0,0.0,1210,1.0,8,isac_mappo,4.625,0.2605453738942742,0.7394546261057258,0.375,0.875,0,12,0.2666666666666666,0.4261261261261261,wang2025_isac_tables,1,39.06132437475026,100,2.279914644290261e-16,0.9,0,-0.0084833325818181,-0.0848333239555358,528,1110,2026091602,0,120,321,45,582
0,0.0,0,0.0,1410,1.0,9,isac_mappo,5.333333333333333,0.4396466612815857,0.5047977831628587,0.2222222222222222,0.8888888888888888,0,16,0.3555555555555555,0.3982985305491106,wang2025_isac_tables,1,51.54626124538481,117,0.4855118534033578,1.0,0,-0.0067068920470774,-0.0670689195394516,605,1293,2026091602,0,140,341,45,688
0,0.0,0,0.0,1610,1.0,6,isac_mappo,4.666666666666667,0.3942538201808929,0.6057461798191071,0.3333333333333333,0.8333333333333334,0,18,0.4,0.3727087576374745,wang2025_isac_tables,1,55.908675987273455,137,0.6098531989951549,1.0,0,-0.0027587807271629,-0.0275878068059682,696,1473,2026091602,0,160,361,45,777
0,0.0,0,0.0,1810,1.0,10,isac_mappo,4.8,0.4596487104892731,0.4903512895107269,0.2,0.9,0,20,0.4444444444444444,0.3507917174177832,wang2025_isac_tables,1,60.37746326625347,168,0.6177850162574575,1.0,0,-0.009920242242515,-0.099202424287796,764,1642,2026091602,0,180,381,45,878
0,0.0,0,0.0,10,1.0,9,isac_mappo,105.0,0.0,0.5,1.0,1.0,0,0,0.0,0.8888888888888888,wang2025_isac_tables,2,-0.1749999970197677,1,0.0,0.1,0,-0.0175000000745058,-0.1749999970197677,6,9,2026091603,0,0,401,45,3
0,0.0,0,0.0,210,1.0,9,isac_mappo,45.44444444444444,0.8023844493760003,0.1976155506239997,0.0,0.3333333333333333,0,0,0.0,0.8375634517766497,wang2025_isac_tables,2,-3.147874742746353,13,0.0,0.1,0,-0.0138249974697828,-0.1382499784231186,89,197,2026091603,0,20,421,45,108
0,0.0,0,0.0,410,1.0,10,isac_mappo,16.4,0.1447346866130829,0.8552653133869171,0.2,0.4,0,2,0.0444444444444444,0.7102564102564103,wang2025_isac_tables,2,4.48854392580688,20,0.0,0.2,0,0.0030015630181878,0.03001563064754,174,390,2026091603,0,40,441,45,216
0,0.0,0,0.0,610,1.0,10,isac_mappo,9.1,0.5607099384069443,0.4392900615930557,0.0,0.2,0,7,0.1555555555555555,0.6167247386759582,wang2025_isac_tables,2,26.3135782815516,36,-2.321127102991412e-33,0.8,0,-0.0091167828068137,-0.0911678299307823,252,574,2026091603,0,60,461,45,322
0,0.0,0,0.0,810,1.0,10,isac_mappo,6.4,0.3232791244983673,0.6767208755016327,0.1,0.5,0,10,0.2222222222222222,0.5305851063829787,wang2025_isac_tables,2,36.87468589283526,58,2.220446049250281e-16,0.9,0,-0.0085651073604822,-0.0856510773301124,330,752,2026091603,0,80,481,45,422
0,0.0,0,0.0,1010,1.0,7,isac_mappo,8.285714285714286,0.3113828727177211,0.6886171272822789,0.2857142857142857,0.5714285714285714,0,15,0.3333333333333333,0.4699570815450644,wang2025_isac_tables,2,54.41909460816533,78,0.540877611432727,1.0,0,-0.0089980792254209,-0.0899807959794998,415,932,2026091603,0,100,501,45,517
0,0.0,0,0.0,1210,1.0,10,isac_mappo,4.9,0.3936083287000656,0.6063916712999344,0.4,0.7,0,17,0.3777777777777777,0.4305054151624549,wang2025_isac_tables,2,59.76866574771702,102,0.5920730658673792,1.0,0,-0.0093857999891042,-0.0938579961657524,495,1108,2026091603,0,120,521,45,613
0,0.0,0,0.0,1410,1.0,9,isac_mappo,5.666666666666667,0.4887523055076599,0.5112476944923401,0.4444444444444444,0.7777777777777778,0,20,0.4444444444444444,0.3928293063133281,wang2025_isac_tables,2,67.64017832837999,127,1.4209546377551436,1.0,0,-0.0076154945418238,-0.0761549472808837,577,1283,2026091603,0,140,541,45,706
0,0.0,0,0.0,1610,1.0,9,isac_mappo,15.11111111111111,0.1785122871321315,0.7103766017567573,0.6666666666666666,0.7777777777777778,0,22,0.4888888888888889,0.3746556473829201,wang2025_isac_tables,2,72.43156032077968,158,1.4384471871911717,1.0,0,-0.0082659116014838,-0.0826591178774833,643,1452,2026091603,0,160,561,45,809
0,0.0,0,0.0,1810,1.0,8,isac_mappo,4.25,0.1793627962470054,0.7581372037529945,0.625,1.0,0,23,0.5111111111111111,0.3467492260061919,wang2025_isac_tables,2,73.86267899349332,195,1.763239085422046,1.0,0,-0.0050409217365086,-0.0504092164337635,702,1615,2026091603,0,180,581,45,913
0,0.0,0,0.0,10,1.0,10,isac_mappo,105.0,0.0,0.5,1.0,1.0,0,0,0.0,1.0,wang2025_isac_tables,3,-0.1879999935626983,0,0.0,0.1,0,-0.0187999997287988,-0.1879999935626983,4,10,2026091604,0,0,601,45,6
0,0.0,0,0.0,210,1.0,9,isac_mappo,41.77777777777778,0.779022839334276,0.220977160665724,0.0,0.4444444444444444,0,0,0.0,0.8571428571428571,wang2025_isac_tables,3,-3.111124776303768,14,0.0,0.1,0,-0.008424999192357,-0.0842499881982803,82,196,2026091604,0,20,621,45,114
0,0.0,0,0.0,410,1.0,9,isac_mappo,19.0,0.3141021397378709,0.6858978602621291,0.0,0.2222222222222222,0,4,0.0888888888888888,0.693717277486911,wang2025_isac_tables,3,14.64521086961031,28,0.0,0.3,0,-0.0174637921154499,-0.1746379137039184,158,382,2026091604,0,40,641,45,224
0,0.0,0,0.0,610,1.0,10,isac_mappo,9.9,0.3425809487700462,0.6574190512299538,0.1,0.3,0,9,0.2,0.6109154929577465,wang2025_isac_tables,3,35.9516560966149,42,0.0,0.9,0,-0.014185088686645,-0.1418508887290954,229,568,2026091604,0,60,661,45,339
0,0.0,0,0.0,810,1.0,9,isac_mappo,6.555555555555555,0.2157697048452165,0.7842302951547835,0.4444444444444444,0.6666666666666666,2,13,0.2888888888888888,0.5425101214574899,wang2025_isac_tables,3,50.26779477763921,69,0.244262307799113,1.0,0,-0.0098707620054483,-0.0987076163291931,306,741,2026091604,0,80,681,45,435
0,0.0,0,0.0,1010,1.0,10,isac_mappo,16.0,0.4921562822535634,0.4578437177464366,0.2,0.7,2,16,0.3555555555555555,0.4918389553862894,wang2025_isac_tables,3,59.400677553378046,91,0.3385138294251747,1.0,0,-0.0082125263288617,-0.0821252614259719,368,919,2026091604,0,100,701,45,551
0,0.0,0,0.0,1210,1.0,8,isac_mappo,17.5,0.0149392187595367,0.8600607812404633,0.875,1.0,2,19,0.4222222222222222,0.4615384615384615,wang2025_isac_tables,3,68.20578572619706,118,0.4027833036455182,1.0,0,-0.0117457984015345,-0.1174579858779907,434,1092,2026091604,0,120,721,45,658
0,0.0,0,0.0,1410,1.0,8,isac_mappo,5.75,0.4463360132649541,0.4911639867350459,0.375,0.75,2,24,0.5333333333333333,0.4293650793650793,wang2025_isac_tables,3,82.9012974863872,150,1.414992542778938,1.0,0,-0.0133404936641454,-0.133404940366745,502,1260,2026091604,0,140,741,45,758
0,0.0,0,0.0,1610,1.0,8,isac_mappo,6.625,0.1985893144737929,0.8014106855262071,0.75,1.0,2,27,0.6,0.4163750874737579,wang2025_isac_tables,3,90.57042301353069,181,1.9665792663664168,1.0,0,-0.0028561514336615,-0.0285615138709545,567,1429,2026091604,0,160,761,45,862
0,0.0,0,0.0,1810,1.0,10,isac_mappo,4.2,0.2397537482902407,0.6602462517097593,0.5,0.9,2,30,0.6666666666666666,0.4032869785082174,wang2025_isac_tables,3,97.50733319390564,228,2.290961718701973,1.0,0,-0.0070234513841569,-0.070234514772892,626,1582,2026091604,0,180,781,45,956
0,0.0,0,0.0,10,1.0,9,isac_mappo,105.0,0.0,0.5,1.0,1.0,0,0,0.0,1.0,wang2025_isac_tables,4,-0.0984999760985374,1,0.0,0.1,0,-0.0098499972373247,-0.0984999760985374,2,9,2026091605,0,0,801,45,7
0,0.0,0,0.0,210,1.0,10,isac_mappo,43.3,0.8116028070449829,0.188397192955017,0.0,0.3,0,0,0.0,0.8534031413612565,wang2025_isac_tables,4,-3.2054997831583023,19,0.0,0.1,0,-0.0138749983161687,-0.1387499868869781,82,191,2026091605,0,20,821,45,109
0,0.0,0,0.0,410,1.0,10,isac_mappo,19.1,0.3398185551166534,0.6601814448833465,0.1,0.4,0,2,0.0444444444444444,0.6737967914438503,wang2025_isac_tables,4,4.774217631667852,36,0.0,0.3,0,-0.0075999991968274,-0.0759999901056289,152,374,2026091605,0,40,841,45,222
0,0.0,0,0.0,610,1.0,10,isac_mappo,10.9,0.246450263261795,0.7535497367382049,0.1,0.2,0,4,0.0888888888888888,0.5452930728241563,wang2025_isac_tables,4,12.633813509717584,47,-7.154804322474639e-17,0.5,0,-0.0117312483489513,-0.1173124834895134,224,563,2026091605,0,60,861,45,339
0,0.0,0,0.0,810,1.0,7,isac_mappo,8.857142857142858,0.1146813971655709,0.8853186028344291,0.4285714285714285,0.4285714285714285,0,10,0.2222222222222222,0.4833110814419226,wang2025_isac_tables,4,37.350917879492044,61,2.954411562391604e-18,0.9,0,-0.0104853305965662,-0.1048533022403717,294,749,2026091605,0,80,881,45,455
0,0.0,0,0.0,1010,1.0,9,isac_mappo,8.555555555555555,0.2530143393410576,0.7469856606589423,0.2222222222222222,0.3333333333333333,0,14,0.3111111111111111,0.4407684098185699,wang2025_isac_tables,4,50.0510693853721,73,3.01986005040282e-17,0.9,0,-0.0058069364167749,-0.0580693632364273,372,937,2026091605,0,100,901,45,565
0,0.0,0,0.0,1210,1.0,7,isac_mappo,6.0,0.2786877240453447,0.7213122759546552,0.2857142857142857,0.7142857142857143,0,17,0.3777777777777777,0.4052346570397112,wang2025_isac_tables,4,59.22337408922613,102,5.576476243260666e-16,0.9,0,-0.0099628213793039,-0.099628210067749,429,1108,2026091605,0,120,921,45,679
