checkpoint,eval_episode,seed,full_discovery_rate,mode_random_beam_discovery_rate,discovery_delta_full_minus_random_beam,full_delay,mode_random_beam_delay,delay_delta_full_minus_random_beam,full_lambda2,mode_random_beam_lambda2,lambda2_delta_full_minus_random_beam
ckpt20,0,2026084001,0.8222222222222222,0.7333333333333333,0.0888888888888889,124.37777777777778,139.15555555555557,-14.777777777777786,5.7716717840533605,3.639325530035457,2.1323462540179037
ckpt20,1,2026084002,0.7111111111111111,0.5777777777777777,0.13333333333333341,143.22222222222223,147.8,-4.577777777777783,3.3878074870636725,2.7515274483540955,0.6362800387095771
ckpt20,2,2026084003,0.5777777777777777,0.5333333333333333,0.0444444444444444,142.0222222222222,155.17777777777778,-13.155555555555566,2.831500378992767,2.242629021534953,0.5888713574578142
ckpt20,3,2026084004,0.6444444444444445,0.6666666666666666,-0.022222222222222143,134.11111111111111,148.44444444444446,-14.333333333333343,1.836273243979815,3.5659237879458168,-1.7296505439660017
ckpt20,4,2026084005,0.6888888888888889,0.4,0.28888888888888886,133.57777777777778,159.7111111111111,-26.133333333333326,3.194083009232036,0.3349612828956165,2.8591217263364195
ckpt40,0,2026084001,0.8,0.5333333333333333,0.2666666666666667,142.3111111111111,155.42222222222222,-13.111111111111114,4.515610625484215,2.276849710657147,2.2387609148270684
ckpt40,1,2026084002,0.6222222222222222,0.4666666666666667,0.15555555555555556,141.73333333333332,163.04444444444445,-21.31111111111113,3.661057069225927,1.408404764504272,2.2526523047216553
ckpt40,2,2026084003,0.6222222222222222,0.4444444444444444,0.1777777777777778,147.33333333333334,165.44444444444446,-18.111111111111114,3.244932235254512,1.5491395391816885,1.6957926960728233
ckpt40,3,2026084004,0.6666666666666666,0.5777777777777777,0.0888888888888889,136.13333333333333,159.57777777777778,-23.444444444444457,3.450897686528549,0.8684585700540548,2.582439116474494
ckpt40,4,2026084005,0.4222222222222222,0.4888888888888889,-0.06666666666666665,163.2888888888889,158.4,4.888888888888886,1.0544632318812237,2.1339223940334064,-1.0794591621521827
