power_profile,beamwidth_deg,protocol,n,discovery_rate_mean,discoveries_per_joule_mean,discoveries_per_joule_std,energy_per_discovery_mean,energy_per_discovery_std,energy_j_mean,energy_j_std,discoveries_per_joule_ci95,energy_per_discovery_ci95,energy_j_ci95
default,10.0,ablation_isac_one_slot_delay,10,0.29517171717171714,5.001528439424999,0.179350949918122,0.2001720304840285,0.0072321449457677005,292.13542500000005,0.30061259329908396,0.11116287044218677,0.004482529877831767,0.18632161567837524
default,10.0,collision_aware_isac,10,0.36597979797979796,6.541668603615785,0.21241327617640823,0.15301332699759593,0.005036917825093224,276.9319,0.27411610982695117,0.13165511256326307,0.0031219140120216553,0.1698989250780138
default,10.0,improved_rl_isac,10,0.36517171717171715,6.193163019788815,0.15784716521193606,0.16156248995201922,0.004104200605400122,291.87222499999996,0.3350102910940006,0.0978346865970401,0.002543809889912043,0.2076415296528005
idle_x4,10.0,ablation_isac_one_slot_delay,10,0.29517171717171714,4.972984270819397,0.17816527050917394,0.2013205404437143,0.007266425654697905,293.81190000000004,0.2832844859853792,0.1104279787308073,0.004503777281356613,0.175581543494754
idle_x4,10.0,collision_aware_isac,10,0.36597979797979796,6.501555519908837,0.21106656972725074,0.15395728037842302,0.005065518441712585,278.6404,0.24640535708463224,0.13082041525834387,0.0031396408578581348,0.15272362258669078
idle_x4,10.0,improved_rl_isac,10,0.36517171717171715,6.1571707954869375,0.1567002757650739,0.16250664394701808,0.004122346069639802,293.5781,0.2963933010189076,0.09712383715324704,0.002555056565166954,0.18370647122938802
rx_x2,10.0,ablation_isac_one_slot_delay,10,0.29517171717171714,3.8998891598512047,0.13830553335646817,0.25670989630614227,0.00916898378992802,374.652825,0.26865857747332134,0.08572265768852304,0.005682995030645733,0.16651631148027396
rx_x2,10.0,collision_aware_isac,10,0.36597979797979796,4.743836307308944,0.15488679580084624,0.21100501040545588,0.006984946774282962,381.8863,0.3055922255773751,0.09599983062635122,0.004329314863788918,0.18940802374063595
rx_x2,10.0,improved_rl_isac,10,0.36517171717171715,4.827418618538197,0.12264693366949171,0.20727010754328665,0.005252511571152564,374.446325,0.42414770831894927,0.07601735705251259,0.0032555404002414068,0.2628894732352109
sense_half,10.0,ablation_isac_one_slot_delay,10,0.29517171717171714,5.550268452127207,0.19920331852567189,0.18038193845245554,0.006523046142909353,263.25307499999997,0.2888484091564592,0.12346749598500706,0.004043025886418073,0.17903009880432671
