angular_cell_offset_std,area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,communication_range_m,communication_range_to_diagonal_ratio,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,elevation_cells,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,episode,false_alarm_rate,finite_time_discovery_rate,idle_actions,isac_error_sweep_enabled,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,miss_detection_rate,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,piggyback_sense_actions,protocol,range_mode,range_sweep_enabled,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slot_duration_ms,slots,train_beamwidth_deg,train_node_count,true_edges_seen,tx_actions,power_profile,tx_power_w,rx_power_w,sense_power_w,idle_power_w,piggyback_sense_power_w,energy_j_reweighted,discoveries_per_joule_reweighted,energy_per_discovery_censored_j_reweighted
0.0,815.56096023333,density,36,20291713,648,10.0,2,0,1.0,0.0004040404040404,0.0,856.3390082449965,1.05,98,2,0.0391795796031108,0.0077544326275507,3.917957960311086e-05,0.0004040404040404,18,46122,0.9035202852273396,257.91700000000003,128.95850000000002,0,0.0,0.0004040404040404,0,False,0.96,0.0,2,0.02,599.8965656565657,599.8965656565657,0.0,gauss_markov,3.9580639242601294,100,600.0,600.0,600.0,600.0,600.0,600.0,0,uniform_random,singlehop,False,25518,51047,25523.5,20291713,20302910,8953,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,25529,default,1.0,0.6,1.2,0.05,0.2,257.91700000000003,0.007754432627550723,128.95850000000002
0.0,815.56096023333,density,36,20291713,648,10.0,2,0,1.0,0.0004040404040404,0.0,856.3390082449965,1.05,98,2,0.0340280731603572,0.008321016495375,3.4028073160357296e-05,0.0004040404040404,18,52981,0.9014206720544448,240.35525,120.177625,0,0.0,0.0004040404040404,1225,False,0.97,0.0,3,0.03,599.909494949495,599.909494949495,0.0,gauss_markov,3.9580639242601294,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,26913,58775,29387.5,20291713,20311592,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,31862,default,1.0,0.6,1.2,0.05,0.2,240.35525,0.008321016495375075,120.177625
0.0,815.56096023333,density,36,20291713,648,10.0,2,719,0.6835387323943662,0.2739460222261421,0.4629748873148744,856.3390082449965,1.05,1,1553,26.8754867180064,5.319226365963117,0.0268754867180064,0.3137373737373737,18,28115,0.4865449511118802,291.95975,0.1879972633612363,0,0.0,0.3137373737373737,2215,False,0.0,10.346713386703357,100,1.0,493.6868686868687,493.6868686868687,0.0,gauss_markov,3.9580639242601294,100,600.0,600.0,600.0,600.0,600.0,600.0,57785,ablation_isac_one_slot_delay,singlehop,False,27652,57785,37.20862846104314,20291713,20334541,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30133,default,1.0,0.6,1.2,0.05,0.2,291.95975,5.319226365963117,0.18799726336123632
0.0,815.56096023333,density,36,20291713,648,10.0,2,1073,0.6307639366827253,0.3043333886767391,0.585379159847245,856.3390082449965,1.05,1,1833,31.741359008104173,6.275828303198174,0.0317413590081041,0.3703030303030303,18,28314,0.4903026944656092,292.073,0.1593415166393889,0,0.0,0.3703030303030303,2252,False,0.0,15.406698065090632,100,1.0,472.68585858585857,472.68585858585857,0.0,gauss_markov,3.9580639242601294,100,600.0,600.0,600.0,600.0,600.0,600.0,57748,improved_rl_isac,singlehop,False,27489,57748,31.504637206764865,20291713,20305935,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30259,default,1.0,0.6,1.2,0.05,0.2,292.073,6.275828303198174,0.15934151663938897
0.0,815.56096023333,density,36,20291713,648,10.0,2,954,0.6649104320337197,0.320630081300813,0.5039619651347068,856.3390082449965,1.05,1,1893,32.77297830716227,6.826498570600439,0.0327729783071622,0.3824242424242424,18,28652,0.4960440435588026,277.30175,0.1464879820390913,0,0.0,0.3824242424242424,2239,False,0.0,18.20533597680345,100,1.0,470.680404040404,470.680404040404,0.0,gauss_markov,3.9580639242601294,100,600.0,600.0,600.0,600.0,600.0,600.0,57761,collision_aware_isac,singlehop,False,34912,57761,30.51294241944004,20291713,20313633,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,22849,default,1.0,0.6,1.2,0.05,0.2,277.30174999999997,6.826498570600439,0.14648798203909139
0.0,815.56096023333,density,24,20291713,288,15.0,3,0,1.0,0.0026262626262626,0.0,856.3390082449965,1.05,87,13,0.2546672674202206,0.0504038120790797,0.0002546672674202,0.0026262626262626,12,42671,0.8359159206221717,257.91700000000003,19.83976923076923,0,0.0,0.0026262626262626,0,False,0.77,0.0,3,0.03,599.1513131313131,599.1513131313131,0.0,gauss_markov,3.9580639242601294,100,600.0,600.0,600.0,600.0,600.0,600.0,0,uniform_random,singlehop,False,25518,51047,3926.692307692308,20291713,20302910,8953,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,25529,default,1.0,0.6,1.2,0.05,0.2,257.91700000000003,0.0504038120790797,19.83976923076923
0.0,815.56096023333,density,24,20291713,288,15.0,3,0,1.0,0.0034343434343434,0.0,856.3390082449965,1.05,83,17,0.2898501304325587,0.0708864243115416,0.0002898501304325,0.0034343434343434,12,49119,0.837479326865697,239.82025,14.107073529411764,0,0.0,0.0034343434343434,1349,False,0.71,-8.545304604908734e-16,4,0.04,598.730505050505,598.730505050505,0.0,gauss_markov,3.9580639242601294,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,26886,58651,3450.058823529412,20291713,20311592,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,31765,default,1.0,0.6,1.2,0.05,0.2,239.82025,0.07088642431154167,14.107073529411764
0.0,815.56096023333,density,24,20291713,288,15.0,3,7116,0.2676752083976536,0.2155643958229736,2.7358708189158016,856.3390082449965,1.05,1,2601,45.07877086257994,8.92277477369308,0.0450787708625799,0.5254545454545455,12,18487,0.3204041664500251,291.50125,0.1120727604767397,0,0.0,0.5254545454545455,2301,False,0.0,27.508679727655256,100,1.0,411.6472727272727,411.6472727272727,0.0,gauss_markov,3.9580639242601294,100,600.0,600.0,600.0,600.0,600.0,600.0,57699,ablation_isac_one_slot_delay,singlehop,False,27634,57699,22.18339100346021,20291713,20334541,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30065,default,1.0,0.6,1.2,0.05,0.2,291.50125,8.92277477369308,0.11207276047673972
0.0,815.56096023333,density,24,20291713,288,15.0,3,8609,0.2370613257710032,0.1972859355409691,3.2183177570093457,856.3390082449965,1.05,1,2675,46.34843628172919,9.16575366051933,0.0463484362817291,0.5404040404040404,12,18816,0.3260157671315949,291.84725,0.1091017757009345,0,0.0,0.5404040404040404,2285,False,0.0,21.743589094051178,100,1.0,407.5212121212121,407.5212121212121,0.0,gauss_markov,3.9580639242601294,100,600.0,600.0,600.0,600.0,600.0,600.0,57715,improved_rl_isac,singlehop,False,27507,57715,21.57570093457944,20291713,20305935,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30208,default,1.0,0.6,1.2,0.05,0.2,291.84725,9.16575366051933,0.10910177570093457
0.0,815.56096023333,density,24,20291713,288,15.0,3,6830,0.2946400908809253,0.2421901528013582,2.3939712583245707,856.3390082449965,1.05,1,2853,49.46941323345818,10.363767136723265,0.0494694132334581,0.5763636363636364,12,18583,0.3222187543348592,275.286,0.0964900105152471,0,0.0,0.5763636363636364,2328,False,0.0,24.68455433919447,100,1.0,388.920404040404,388.920404040404,0.0,gauss_markov,3.9580639242601294,100,600.0,600.0,600.0,600.0,600.0,600.0,57672,collision_aware_isac,singlehop,False,35664,57672,20.214511041009462,20291713,20313633,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,22008,default,1.0,0.6,1.2,0.05,0.2,275.286,10.363767136723263,0.09649001051524711
