method,slot,mean_discovery_rate,ci95_low,ci95_high
isac_candidate_pool_random,1,0.0,0.0,0.0
isac_candidate_pool_random,2,0.0022222222222222222,0.0003555555555555558,0.0040888888888888884
isac_candidate_pool_random,3,0.004,0.0013049803592185948,0.006695019640781405
isac_candidate_pool_random,4,0.00488888888888889,0.0020266666666666675,0.007751111111111111
isac_candidate_pool_random,5,0.005777777777777778,0.002778176158138396,0.00877737939741716
isac_candidate_pool_random,6,0.006666666666666666,0.0035555555555555557,0.009777777777777778
isac_candidate_pool_random,7,0.006666666666666666,0.0035555555555555557,0.009777777777777778
isac_candidate_pool_random,8,0.008444444444444444,0.005177925929285446,0.01171096295960344
isac_candidate_pool_random,9,0.009777777777777778,0.006447871391224264,0.013107684164331291
isac_candidate_pool_random,10,0.011111111111111112,0.007326281092258886,0.014895941129963338
isac_candidate_pool_random,11,0.012888888888888892,0.009136935323670426,0.01664084245410736
isac_candidate_pool_random,12,0.013777777777777778,0.009671111111111111,0.017884444444444446
isac_candidate_pool_random,13,0.015111111111111113,0.010902018073706159,0.019320204148516068
isac_candidate_pool_random,14,0.017333333333333333,0.012796654828981072,0.021870011837685593
isac_candidate_pool_random,15,0.01911111111111111,0.014289792199300492,0.023932430022921728
isac_candidate_pool_random,16,0.020444444444444442,0.015337671406194403,0.025551217482694483
isac_candidate_pool_random,17,0.021333333333333333,0.01636178167153539,0.026304884995131277
isac_candidate_pool_random,18,0.023555555555555555,0.01821603322060535,0.02889507789050576
isac_candidate_pool_random,19,0.025333333333333336,0.019363890155628078,0.0313027765110386
isac_candidate_pool_random,20,0.025777777777777778,0.01963571635521625,0.031919839200339306
isac_candidate_pool_random,21,0.027555555555555555,0.021264030391583873,0.03384708071952724
isac_candidate_pool_random,22,0.029777777777777778,0.02289272651695208,0.036662829038603476
isac_candidate_pool_random,23,0.03155555555555556,0.024616731518851236,0.03849437959225988
isac_candidate_pool_random,24,0.035555555555555556,0.027300844966226562,0.04381026614488455
isac_candidate_pool_random,25,0.03777777777777778,0.02968888888888889,0.04586666666666667
isac_candidate_pool_random,26,0.04,0.03165201288400078,0.04834798711599922
isac_candidate_pool_random,27,0.04177777777777778,0.03327903306291577,0.050276522492639794
isac_candidate_pool_random,28,0.044444444444444446,0.03564489338967852,0.05324399549921037
isac_candidate_pool_random,29,0.04666666666666667,0.037845144164328465,0.05548818916900487
isac_candidate_pool_random,30,0.04800000000000001,0.03916882737817094,0.056831172621829074
isac_candidate_pool_random,31,0.05022222222222223,0.040925464258180395,0.059518980186264066
isac_candidate_pool_random,32,0.05333333333333334,0.04353456797900753,0.06313209868765915
isac_candidate_pool_random,33,0.05644444444444446,0.046788164967682545,0.06610072392120638
isac_candidate_pool_random,34,0.059555555555555556,0.050124012995521786,0.06898709811558933
isac_candidate_pool_random,35,0.06266666666666668,0.053296900736812994,0.07203643259652036
isac_candidate_pool_random,36,0.06666666666666667,0.056556752207564134,0.0767765811257692
isac_candidate_pool_random,37,0.06977777777777777,0.05951507147092378,0.08004048408463177
isac_candidate_pool_random,38,0.07333333333333333,0.06261014972646235,0.08405651694020431
isac_candidate_pool_random,39,0.07600000000000001,0.06493283713740688,0.08706716286259314
isac_candidate_pool_random,40,0.08,0.06845949698338312,0.09154050301661688
isac_candidate_pool_random,41,0.08266666666666664,0.07125842965979576,0.09407490367353752
isac_candidate_pool_random,42,0.08622222222222221,0.07430930693597577,0.09813513750846865
isac_candidate_pool_random,43,0.08977777777777776,0.0780403508824375,0.10151520467311802
isac_candidate_pool_random,44,0.09244444444444444,0.0802285883246,0.10466030056428888
isac_candidate_pool_random,45,0.09555555555555553,0.08278862295993043,0.10832248815118063
isac_candidate_pool_random,46,0.10044444444444445,0.08731924222378007,0.11356964666510883
isac_candidate_pool_random,47,0.10577777777777778,0.09200092906358238,0.11955462649197317
isac_candidate_pool_random,48,0.11244444444444446,0.09754173510422674,0.12734715378466216
isac_candidate_pool_random,49,0.11822222222222221,0.10285749044076735,0.1335869540036771
isac_candidate_pool_random,50,0.12311111111111112,0.1067330685985515,0.13948915362367073
isac_candidate_pool_random,51,0.12977777777777777,0.11278940179540328,0.14676615376015226
isac_candidate_pool_random,52,0.13644444444444445,0.11938102808728497,0.15350786080160395
isac_candidate_pool_random,53,0.14177777777777778,0.12405197820849544,0.15950357734706014
isac_candidate_pool_random,54,0.14533333333333334,0.12785741607698833,0.16280925058967835
isac_candidate_pool_random,55,0.1488888888888889,0.13158932063623024,0.16618845714154756
isac_candidate_pool_random,56,0.15333333333333335,0.13603376508067472,0.17063290158599198
isac_candidate_pool_random,57,0.16,0.1426222790566431,0.1773777209433569
isac_candidate_pool_random,58,0.16577777777777775,0.1487052880304433,0.1828502675251122
isac_candidate_pool_random,59,0.17111111111111107,0.15385636046808276,0.18836586175413939
isac_candidate_pool_random,60,0.17777777777777776,0.15996004489903384,0.19559551065652167
isac_candidate_pool_random,61,0.18622222222222223,0.1677268302035078,0.20471761424093668
isac_candidate_pool_random,62,0.19333333333333333,0.1744091832390722,0.21225748342759446
isac_candidate_pool_random,63,0.20177777777777772,0.18195084460564176,0.22160471094991369
isac_candidate_pool_random,64,0.20666666666666667,0.18713840288260863,0.2261949304507247
isac_candidate_pool_random,65,0.21377777777777776,0.19371595924198787,0.23383959631356765
isac_candidate_pool_random,66,0.22088888888888886,0.20034952277175108,0.24142825500602663
isac_candidate_pool_random,67,0.22844444444444445,0.20761941866377776,0.24926947022511114
isac_candidate_pool_random,68,0.23866666666666664,0.21781303021912063,0.25952030311421265
isac_candidate_pool_random,69,0.24577777777777776,0.22475403153280898,0.26680152402274654
isac_candidate_pool_random,70,0.2528888888888889,0.23188430338129842,0.2738934743964793
isac_candidate_pool_random,71,0.26088888888888884,0.23926955414963516,0.28250822362814254
isac_candidate_pool_random,72,0.26666666666666666,0.2450763624870609,0.2882569708462724
isac_candidate_pool_random,73,0.27466666666666667,0.2531928771881442,0.29614045614518913
isac_candidate_pool_random,74,0.2831111111111111,0.2609261182967593,0.30529610392546286
isac_candidate_pool_random,75,0.2897777777777778,0.26663111111111115,0.31292444444444445
isac_candidate_pool_random,76,0.2977777777777778,0.27462977303748126,0.32092578251807435
isac_candidate_pool_random,77,0.30844444444444447,0.28504227043970404,0.3318466184491849
isac_candidate_pool_random,78,0.31822222222222224,0.2954982441319557,0.3409462003124888
isac_candidate_pool_random,79,0.3217777777777778,0.2992316862766925,0.34432386927886305
isac_candidate_pool_random,80,0.32888888888888884,0.30708446075101387,0.3506933170267638
isac_candidate_pool_random,81,0.33822222222222215,0.31665739672407744,0.35978704772036685
isac_candidate_pool_random,82,0.3466666666666666,0.3246853951771395,0.36864793815619373
isac_candidate_pool_random,83,0.3559999999999999,0.33389613027567056,0.3781038697243293
isac_candidate_pool_random,84,0.36311111111111105,0.3405866666666666,0.3856355555555555
isac_candidate_pool_random,85,0.37511111111111106,0.3520757755064416,0.39814644671578053
isac_candidate_pool_random,86,0.38577777777777766,0.3626043643184268,0.40895119123712853
isac_candidate_pool_random,87,0.3946666666666666,0.37166766336029655,0.41766566997303667
isac_candidate_pool_random,88,0.40711111111111103,0.3833217075150393,0.43090051470718277
isac_candidate_pool_random,89,0.41555555555555546,0.3914489609965024,0.4396621501146085
isac_candidate_pool_random,90,0.42311111111111105,0.39866292392289354,0.44755929829932856
isac_candidate_pool_random,91,0.4333333333333333,0.40853014755627315,0.45813651911039344
isac_candidate_pool_random,92,0.443111111111111,0.4176255086880919,0.4685967135341301
isac_candidate_pool_random,93,0.4546666666666666,0.4299272488266743,0.4794060845066589
isac_candidate_pool_random,94,0.46355555555555555,0.43826514982092524,0.48884596129018587
isac_candidate_pool_random,95,0.4706666666666666,0.44550887485401164,0.4958244584793216
isac_candidate_pool_random,96,0.4782222222222222,0.45217079502025764,0.5042736494241867
