method,label,episodes,discovery_rate_mean,discovery_rate_episode_sd,mean_delay_censored_mean,mean_delay_censored_episode_sd,discovery_curve_auc_normalized_mean,discovery_curve_auc_normalized_episode_sd,discovery_rate_at_50_slots_mean,discovery_rate_at_50_slots_episode_sd,discovery_rate_at_100_slots_mean,discovery_rate_at_100_slots_episode_sd,discovery_rate_at_150_slots_mean,discovery_rate_at_150_slots_episode_sd,discovery_rate_at_200_slots_mean,discovery_rate_at_200_slots_episode_sd,discovery_rate_at_300_slots_mean,discovery_rate_at_300_slots_episode_sd,networking_completion_slot_censored_mean,networking_completion_slot_censored_episode_sd
mappo_direct_isac,Direct-ISAC MAPPO,50,0.9084444444444445,0.038264175678271416,110.5408888888889,17.737926200678892,0.6345585185185186,0.05921195241369749,0.2884444444444444,0.08699687080786465,0.5995555555555555,0.10854079211306744,0.752,0.07530704763521393,0.8302222222222221,0.060859717924174016,0.9084444444444445,0.038264175678271416,177.54,78.86237301496209
isac_candidate_pool_random,ISAC candidate random,50,1.0,0.0,98.22266666666667,11.029350421629736,0.6759244444444445,0.03676450140543247,0.12311111111111112,0.05908686185302276,0.5066666666666666,0.09460104397302438,0.9146666666666667,0.09367607944892949,0.9973333333333333,0.013196577581477163,1.0,0.0,116.88,20.71048240946244
wang2025_isac_tables,Wang2025,50,0.9466666666666668,0.04306241259127155,129.55866666666668,12.971961553509532,0.5712933333333334,0.043330949950929475,0.1062222222222222,0.04313022929760864,0.4275555555555555,0.08260803031004746,0.6764444444444444,0.0678147551635235,0.8271111111111111,0.057894527082117016,0.9466666666666668,0.04306241259127155,154.26,37.21795156060241
mappo_residual_mask_isac,Residual-mask MAPPO,50,0.9964444444444445,0.011322256825477458,87.59244444444444,12.368997573878623,0.7113466666666666,0.041241636515959065,0.23377777777777775,0.09398541241886138,0.6555555555555556,0.10473785197665791,0.904,0.06695929728627163,0.9808888888888889,0.03535373560622968,0.9964444444444445,0.011322256825477458,146.34,65.66569943001181
