method,method_label,train_algorithm,train_network,train_reward_version,env_protocol,phase,node_count,beamwidth_deg,beam_count,slots_per_episode,communication_range_m,sensing_range_m,eval_n,episodes,run_n,discovery_rate_mean,discovery_rate_std,discovery_rate_ci95,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,collision_penalized_discovery_rate_ci95,mean_delay_censored_mean,mean_delay_censored_std,mean_delay_censored_ci95,p95_delay_censored_mean,p95_delay_censored_std,p95_delay_censored_ci95,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_ci95,lambda2_mean,lambda2_std,lambda2_ci95,largest_component_size_mean,largest_component_size_std,largest_component_size_ci95,lcc_ratio_mean,lcc_ratio_std,lcc_ratio_ci95,isolated_node_ratio_mean,isolated_node_ratio_std,isolated_node_ratio_ci95,collision_count_mean,collision_count_std,collision_count_ci95,collisions_per_discovery_censored_mean,collisions_per_discovery_censored_std,collisions_per_discovery_censored_ci95,discoveries_per_1000_scan_actions_mean,discoveries_per_1000_scan_actions_std,discoveries_per_1000_scan_actions_ci95,discoveries_per_joule_mean,discoveries_per_joule_std,discoveries_per_joule_ci95
contention_actor,contention_actor,isac_mappo,contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.4232929292929294,0.0130386265274741,0.0080814244478736,0.1387384918988106,0.0106306895264267,0.0065889696323146,2083.250404040404,23.34489308676387,14.469314641909357,3000.0,0.0,0.0,0.0211072505169534,0.0007722677990165,0.0004786565408655,19.8887009453462,3.4370036389989824,2.130276925802685,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10226.9,1183.5063206891257,733.5448173223258,4.881996666666441,0.5527544251237306,0.3426007421450857,18.967271132935743,0.5978538994647699,0.3705536859431107,2.052716007796012,0.0646776370351662,0.0400876147549219
contention_no_isac,contention_no_isac,mappo,contention_shared,collision_topology,structured_marl_no_isac,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.0043434343434343,0.0008792972967811,0.0005449941108584,0.0043434343434343,0.0008792972967811,0.0005449941108584,2993.472101010101,1.369504363065576,0.8488275983537776,3000.0,0.0,0.0,0.8373859685015848,0.0032500983621693,0.0020144318350314,-4.866647715285471e-16,3.576076898543312e-16,2.2164754251123166e-16,5.9,4.433458644845529,2.747886137055577,0.059,0.0443345864484552,0.0274788613705557,0.6519999999999999,0.0404969134626331,0.0251002470107367,0.0,0.0,0.0,0.0,0.0,0.0,0.1380964494948763,0.0281842874098908,0.0174688023190362,0.0209255383014332,0.0042662679709529,0.0026442602837799
mappo_no_isac,mappo_no_isac,mappo,shared,legacy,structured_marl_no_isac,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.0022222222222221,0.0006097902449924,0.0003779519095491,0.0022222222222221,0.0006097902449924,0.0003779519095491,2996.954101010101,0.8538474106630338,0.5292201080187362,3000.0,0.0,0.0,0.8375762472346118,0.0031753041080668,0.0019680738760554,-1.404867594902498e-16,2.485909484142344e-16,1.5407826612731904e-16,3.1,1.100504934614612,0.6821000252488226,0.031,0.0110050493461461,0.0068210002524882,0.8019999999999999,0.0482585628556102,0.029910967145105,0.0,0.0,0.0,0.0,0.0,0.0,0.0987838508652134,0.026990457343321,0.0167288587777242,0.0106811097583277,0.002927078706411,0.0018142221781562
skyorbs_like,SkyOrbs-like,protocol_baseline,skyorbs_like,none,skyorbs_like_skip_scan,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.0189696969696969,0.0019872737301514,0.0012317250190134,0.0189680977790831,0.0019864897735419,0.0012312391176728,2971.268808080808,3.943502535242291,2.4442081941227563,3000.0,0.0,0.0,0.8324043333333334,0.0037092007890955,0.0022989864673174,-1.033750502724658e-15,3.2390795403057006e-16,2.0076022984841672e-16,76.0,11.962905629950908,7.414685727962071,0.76,0.119629056299509,0.0741468572796207,0.147,0.0447337804249888,0.0277262843605926,0.4,0.8432740427115679,0.5226666666666667,0.0040922852072241,0.0086413192998755,0.0053559451913701,0.313,0.0327900165474979,0.020323462813722,0.0782499999999999,0.0081975041368744,0.0050808657034305
uniform_random,Uniform random,protocol_baseline,uniform_random,none,uniform_random,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.0129292929292928,0.0016982518805277,0.0010525874206938,0.0129283468516411,0.0016990046373263,0.0010530539841913,2981.155454545454,2.541296593789017,1.5751119474945974,3000.0,0.0,0.0,0.8365545214963517,0.0042384569156252,0.0026270228131021,-1.0930955012550443e-15,1.5732733563451415e-16,9.7512492886924e-17,38.8,16.49781130264793,10.225449384311236,0.388,0.1649781130264793,0.1022544938431124,0.2719999999999999,0.0610646287869572,0.037848249042136,0.4,1.2649110640673518,0.7839999999999999,0.0068965517241379,0.021808811449437,0.0135172413793103,0.2509309003803232,0.0329387061026802,0.020415621554818,0.049613966803506,0.0065171720153855,0.0040393850644587
