episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,method,method_label,training_seed,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
7,0.0,641.3046875,99,9716.75,70.0,2200,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
7,0.0,641.30859375,199,9693.28515625,70.1,2300,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
7,0.0,641.31640625,299,9699.3359375,70.1,2400,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
8,0.0,398.671875,99,9809.6015625,69.7,2500,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
8,0.0,398.671875,199,10033.46875,69.0,2600,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
8,0.0,408.42578125,299,9947.0234375,69.3,2700,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
9,0.0,649.03515625,99,8609.95703125,73.4,2800,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
9,0.0,649.3046875,199,9314.63671875,71.2,2900,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
9,0.0,649.32421875,299,9316.31640625,71.2,3000,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
10,0.0,658.73046875,99,9165.37109375,71.7,3100,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
10,0.0,658.734375,199,9153.875,71.7,3200,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
10,0.0,658.73828125,299,9143.23828125,71.8,3300,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
11,0.0,644.59375,99,6865.27734375,78.8,3400,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
11,0.0,644.91015625,199,8690.87890625,73.2,3500,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
11,0.0,644.91796875,299,9081.99609375,72.0,3600,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
12,0.0,661.41796875,99,6644.7734375,79.5,3700,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
12,0.0,661.59375,199,8326.31640625,74.3,3800,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
12,0.0,661.6640625,299,8916.9296875,72.5,3900,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
13,0.0,655.8671875,99,6426.0078125,80.2,4000,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
13,0.0,655.9921875,199,8192.5859375,74.7,4100,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
13,0.0,656.171875,299,8771.2578125,72.9,4200,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
14,0.0,389.9453125,99,7162.5703125,77.9,4300,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
14,0.0,389.61328125,199,9144.640625,71.8,4400,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
14,0.0,397.36328125,299,9172.43359375,71.7,4500,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
15,0.0,672.48828125,99,6486.96875,80.0,4600,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
15,0.0,672.45703125,199,8037.37890625,75.2,4700,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
15,0.0,672.4765625,299,8545.73046875,73.6,4800,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
16,0.0,659.671875,99,13829.390625,57.3,4900,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
16,0.0,659.671875,199,15518.39453125,52.1,5000,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
16,0.0,659.69140625,299,15501.86328125,52.1,5100,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
17,0.0,383.66015625,99,14024.15625,56.7,5200,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
17,0.0,383.66796875,199,15691.609375,51.5,5300,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
17,0.0,391.8046875,299,15642.51171875,51.7,5400,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
18,0.0,672.98046875,99,12873.0703125,60.3,5500,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
18,0.0,672.98046875,199,14251.55859375,56.0,5600,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
18,0.0,673.19140625,299,15304.3359375,52.7,5700,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
19,0.0,383.76953125,99,13235.34375,59.1,5800,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
19,0.0,383.76953125,199,14902.67578125,54.0,5900,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
19,0.0,390.08203125,299,16160.74609375,50.1,6000,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
20,0.0,643.75,99,15607.02734375,51.8,6100,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
20,0.0,643.7578125,199,15660.18359375,51.6,6200,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
20,0.0,643.76953125,299,15584.91015625,51.9,6300,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
21,0.0,650.68359375,99,12260.9140625,62.1,6400,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
