angular_cell_offset_std,area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,communication_range_m,communication_range_to_diagonal_ratio,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discovery_per_scan_action,discovery_rate,elevation_cells,empty_scan_count,empty_scan_ratio,episode,false_alarm_rate,finite_time_discovery_rate,idle_actions,isac_error_sweep_enabled,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,miss_detection_rate,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,piggyback_sense_actions,protocol,range_mode,range_sweep_enabled,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slots,train_beamwidth_deg,train_node_count,true_edges_seen,tx_actions
0.0,815.56096023333,density,24,20290704,288,15.0,3,447,0.7718223583460949,0.2801556420233463,0.29563492063492064,856.3390082449965,1.05,1,1512,26.157811878276217,0.026157811878276215,0.3054545454545455,12,36765,0.6360396519211806,0,0.0,0.3054545454545455,2197,False,0.0,15.71590420727342,100,1.0,507.75252525252523,507.75252525252523,0.0,random_walk,0.59153162805243,100,600.0,600.0,600.0,600.0,600.0,600.0,57803,ablation_isac_one_slot_delay,singlehop,False,27549,57803,38.229497354497354,20290704,20333532,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,30254
0.0,815.56096023333,density,24,20290704,288,15.0,3,1151,0.6600708800945068,0.36633338796918535,0.5149888143176734,856.3390082449965,1.05,1,2235,38.693928429216946,0.03869392842921695,0.45151515151515154,12,36830,0.6376274648984609,0,0.0,0.45151515151515154,2239,False,0.0,23.278210839935575,100,1.0,454.5884848484848,454.5884848484848,0.0,random_walk,0.59153162805243,100,600.0,600.0,600.0,600.0,600.0,600.0,57761,improved_rl_isac,singlehop,False,27539,57761,25.843847874720357,20290704,20304926,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,30222
0.0,815.56096023333,density,36,20290704,648,10.0,4,0,1.0,0.0008080808080808081,0.0,856.3390082449965,1.05,96,4,0.06807351940095303,6.807351940095303e-05,0.0008080808080808081,18,53043,0.9027059223961879,0,0.0,0.0008080808080808081,1240,False,0.92,0.0,2,0.02,599.8133333333334,599.8133333333334,0.0,random_direction,2.617518327636967,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,27230,58760,14690.0,20290704,20310583,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,31530
0.0,815.56096023333,density,36,20290704,648,10.0,4,660,0.3319838056680162,0.05846702317290552,2.0121951219512195,856.3390082449965,1.05,1,328,5.6317714324960075,0.005631771432496008,0.06626262626262626,18,16959,0.29118662110884086,0,0.0,0.06626262626262626,1759,False,0.0,0.8064392621779828,100,1.0,578.9816161616162,578.9816161616162,0.0,random_direction,2.617518327636967,100,600.0,600.0,600.0,600.0,600.0,600.0,58241,ablation_isac_one_slot_delay,singlehop,False,27133,58241,177.5640243902439,20290704,20333532,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,31108
0.0,815.56096023333,density,36,20290704,648,10.0,4,566,0.3410942956926659,0.05311820159535895,1.931740614334471,856.3390082449965,1.05,1,293,5.019959908852605,0.005019959908852605,0.05919191919191919,18,17200,0.29468706632172287,0,0.0,0.05919191919191919,1633,False,0.0,0.6589833693710854,100,1.0,582.4042424242424,582.4042424242424,0.0,random_direction,2.617518327636967,100,600.0,600.0,600.0,600.0,600.0,600.0,58367,improved_rl_isac,singlehop,False,27038,58367,199.20477815699658,20290704,20304926,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,31329
0.0,815.56096023333,density,24,20290704,288,15.0,5,0,1.0,0.00404040404040404,0.0,856.3390082449965,1.05,80,20,0.34108738658844395,0.00034108738658844394,0.00404040404040404,12,48809,0.8324067125997681,0,0.0,0.00404040404040404,1364,False,0.67,-6.599159178000103e-16,5,0.05,598.4709090909091,598.4709090909091,0.0,random_direction,2.617518327636967,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,27265,58636,2931.8,20290704,20310583,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,31371
0.0,815.56096023333,density,24,20290704,288,15.0,5,4273,0.14591245252848292,0.07914995120893419,5.853424657534247,856.3390082449965,1.05,1,730,12.607509239749922,0.012607509239749922,0.14747474747474748,12,12317,0.21272149493972575,0,0.0,0.14747474747474748,2098,False,0.0,1.8923169211540818,100,1.0,553.9913131313132,553.9913131313132,0.0,random_direction,2.617518327636967,100,600.0,600.0,600.0,600.0,600.0,600.0,57902,ablation_isac_one_slot_delay,singlehop,False,27443,57902,79.31780821917808,20290704,20333532,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,30459
0.0,815.56096023333,density,24,20290704,288,15.0,5,4042,0.14563517226801945,0.07662366548042705,5.866473149492017,856.3390082449965,1.05,1,689,11.895102118329508,0.011895102118329507,0.1391919191919192,12,12520,0.21614902543031267,0,0.0,0.1391919191919192,2077,False,0.0,3.7633009372254587,100,1.0,556.9901010101011,556.9901010101011,0.0,random_direction,2.617518327636967,100,600.0,600.0,600.0,600.0,600.0,600.0,57923,improved_rl_isac,singlehop,False,27376,57923,84.06821480406386,20290704,20304926,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,30547
0.0,815.56096023333,density,36,20290704,648,10.0,6,0,1.0,0.0008080808080808081,0.0,856.3390082449965,1.05,96,4,0.06805498843065197,6.805498843065197e-05,0.0008080808080808081,18,53115,0.9036851776235199,0,0.0,0.0008080808080808081,1224,False,0.92,0.0,2,0.02,599.8612121212121,599.8612121212121,0.0,random_waypoint,8.978939184953928,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,27257,58776,14694.0,20290704,20310583,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,31519
0.0,815.56096023333,density,36,20290704,648,10.0,6,1763,0.038188761593016915,0.010427528675703858,25.185714285714287,856.3390082449965,1.05,35,70,1.1869838739762264,0.0011869838739762264,0.014141414141414142,18,8143,0.13808013836840588,0,0.0,0.014141414141414142,1027,False,0.23,-1.2939505601734718e-15,34,0.34,594.0456565656566,594.0456565656566,0.0,random_waypoint,8.978939184953928,100,600.0,600.0,600.0,600.0,600.0,600.0,58973,ablation_isac_one_slot_delay,singlehop,False,26714,58973,842.4714285714285,20290704,20333532,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,32259
0.0,815.56096023333,density,36,20290704,648,10.0,6,2080,0.037037037037037035,0.011379800853485065,26.0,856.3390082449965,1.05,26,80,1.358580283603634,0.0013585802836036341,0.01616161616161616,18,8192,0.13911862104101214,0,0.0,0.01616161616161616,1115,False,0.16,-1.057828845947758e-15,51,0.51,593.050303030303,593.050303030303,0.0,random_waypoint,8.978939184953928,100,600.0,600.0,600.0,600.0,600.0,600.0,58885,improved_rl_isac,singlehop,False,26664,58885,736.0625,20290704,20304926,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,32221
0.0,815.56096023333,density,24,20290704,288,15.0,7,0,1.0,0.0038383838383838384,0.0,856.3390082449965,1.05,81,19,0.32371281561999526,0.00032371281561999524,0.0038383838383838384,12,49285,0.839694006201656,0,0.0,0.0038383838383838384,1306,False,0.73,-7.5616687594060815e-16,8,0.08,598.8963636363636,598.8963636363636,0.0,random_waypoint,8.978939184953928,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,27186,58694,3089.157894736842,20290704,20310583,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,31508
0.0,815.56096023333,density,24,20290704,288,15.0,7,8693,0.02105855855855856,0.013706662757458037,46.48663101604278,856.3390082449965,1.05,3,187,3.202658034903835,0.0032026580349038348,0.03777777777777778,12,6315,0.10815393310383806,0,0.0,0.03777777777777778,1611,False,0.02,5.050763686809638e-16,98,0.98,585.3234343434343,585.3234343434343,0.0,random_waypoint,8.978939184953928,100,600.0,600.0,600.0,600.0,600.0,600.0,58389,ablation_isac_one_slot_delay,singlehop,False,27165,58389,312.24064171122996,20290704,20333532,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,31224
0.0,815.56096023333,density,24,20290704,288,15.0,7,5141,0.03455399061032864,0.018234069963333665,27.940217391304348,856.3390082449965,1.05,3,184,3.14664386489953,0.0031466438648995298,0.037171717171717175,12,6445,0.11021804189824712,0,0.0,0.037171717171717175,1525,False,0.02,6.950403006435099e-16,98,0.98,586.0535353535354,586.0535353535354,0.0,random_waypoint,8.978939184953928,100,600.0,600.0,600.0,600.0,600.0,600.0,58475,improved_rl_isac,singlehop,False,26992,58475,317.79891304347825,20290704,20304926,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,31483
0.0,815.56096023333,density,36,20291713,648,10.0,8,0,1.0,0.00040404040404040404,0.0,856.3390082449965,1.05,98,2,0.034028073160357296,3.4028073160357296e-05,0.00040404040404040404,18,52981,0.9014206720544449,0,0.0,0.00040404040404040404,1225,False,0.97,0.0,3,0.03,599.909494949495,599.909494949495,0.0,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,26913,58775,29387.5,20291713,20311592,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,31862
0.0,815.56096023333,density,36,20291713,648,10.0,8,719,0.6835387323943662,0.27394602222614217,0.46297488731487446,856.3390082449965,1.05,1,1553,26.8754867180064,0.0268754867180064,0.31373737373737376,18,28115,0.48654495111188023,0,0.0,0.31373737373737376,2215,False,0.0,10.346713386703357,100,1.0,493.6868686868687,493.6868686868687,0.0,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,57785,ablation_isac_one_slot_delay,singlehop,False,27652,57785,37.20862846104314,20291713,20334541,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,30133
0.0,815.56096023333,density,36,20291713,648,10.0,8,1073,0.6307639366827253,0.30433338867673915,0.585379159847245,856.3390082449965,1.05,1,1833,31.741359008104173,0.031741359008104174,0.3703030303030303,18,28314,0.4903026944656092,0,0.0,0.3703030303030303,2252,False,0.0,15.406698065090632,100,1.0,472.68585858585857,472.68585858585857,0.0,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,57748,improved_rl_isac,singlehop,False,27489,57748,31.504637206764865,20291713,20305935,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,30259
0.0,815.56096023333,density,24,20291713,288,15.0,9,0,1.0,0.0034343434343434343,0.0,856.3390082449965,1.05,83,17,0.2898501304325587,0.0002898501304325587,0.0034343434343434343,12,49119,0.837479326865697,0,0.0,0.0034343434343434343,1349,False,0.71,-8.5453046049087355e-16,4,0.04,598.730505050505,598.730505050505,0.0,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,26886,58651,3450.0588235294117,20291713,20311592,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,31765
0.0,815.56096023333,density,24,20291713,288,15.0,9,7116,0.2676752083976536,0.21556439582297365,2.7358708189158016,856.3390082449965,1.05,1,2601,45.078770862579944,0.04507877086257994,0.5254545454545455,12,18487,0.3204041664500251,0,0.0,0.5254545454545455,2301,False,0.0,27.508679727655256,100,1.0,411.6472727272727,411.6472727272727,0.0,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,57699,ablation_isac_one_slot_delay,singlehop,False,27634,57699,22.18339100346021,20291713,20334541,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,30065
0.0,815.56096023333,density,24,20291713,288,15.0,9,8609,0.2370613257710032,0.1972859355409691,3.2183177570093457,856.3390082449965,1.05,1,2675,46.348436281729185,0.04634843628172919,0.5404040404040404,12,18816,0.3260157671315949,0,0.0,0.5404040404040404,2285,False,0.0,21.743589094051178,100,1.0,407.5212121212121,407.5212121212121,0.0,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,57715,improved_rl_isac,singlehop,False,27507,57715,21.57570093457944,20291713,20305935,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,30208
0.0,815.56096023333,density,36,20291713,648,10.0,10,0,1.0,0.00020202020202020202,0.0,856.3390082449965,1.05,99,1,0.017013457644997194,1.7013457644997193e-05,0.00020202020202020202,18,53038,0.9023597665753611,0,0.0,0.00020202020202020202,1223,False,0.98,0.0,2,0.02,599.8947474747474,599.8947474747474,0.0,random_walk,0.5581402116265517,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,26893,58777,58777.0,20291713,20311592,0,856.3390082449965,1.05,1.0,600,10.0,10,4950,31884
