episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
2,,410.34375,99,20528.97265625,36.61084159287029,700,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,415.1640625,124,20522.5859375,36.63056243975945,725,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,419.7265625,149,20531.20703125,36.6039423118791,750,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,424.625,174,20543.44140625,36.56616512994832,775,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,429.19140625,199,20514.20703125,36.65643474347641,800,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,433.76171875,224,20504.890625,36.68520185040646,825,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,438.5859375,249,20528.76171875,36.61149292359324,850,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,443.421875,274,20504.8359375,36.68537071392722,875,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,448.5859375,299,20503.60546875,36.6891701431444,900,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,407.0234375,24,20572.23046875,36.477270547946446,925,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
