algorithm,approx_kl,clip_fraction,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,entropy,episode,episode_return_mean_per_agent,episode_return_sum,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mobility_model,moved_distance_mean_m,n_beams,n_nodes,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,policy_loss,protocol,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,slots,step_reward_mean,step_reward_sum_mean,training_step,true_edges_seen,tx_actions,value_loss,run,network,reward_version,env_protocol,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
isac_mappo,0.0003392790254825,0.0,312,0.1136363636363636,0.1120448179271708,7.8,1,40,22.002200220022004,2.804459089953025,0.022002200220022,0.8888888888888888,1571,0.8641364136413642,14.263,0.356575,5.9264185428619385,0,-8.030000686645508,-80.30000305175781,340,0.0,6.381966011250104,10,1.0,116.26666666666668,gauss_markov,2.59513952023739,648,10,275.2000000000001,300.0,300.0,1818,-0.0008958008207073,isac_structured_marl,891,1818,45.45,20260705,20260705,842,300,-0.0267666671425104,-0.2676666378974914,300,45,927,2.8903067111968994,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,0.0005465029459446,0.0,186,0.1388888888888889,0.1298701298701298,6.2,1,30,16.181229773462782,2.054231717337716,0.0161812297734627,0.6666666666666666,1570,0.8468176914778857,14.604,0.4868,5.898543357849121,1,-8.502999305725098,-85.02999877929688,280,0.0,3.4808376415083497,10,1.0,177.26666666666668,gauss_markov,2.697961873981249,648,10,300.0,300.0,300.0,1854,-0.0003109247702326,isac_structured_marl,893,1854,61.8,20260706,20260706,866,300,-0.0283433329313993,-0.2834333181381225,600,45,961,2.4555753469467163,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,6.338329976035562e-05,0.0,122,0.2327044025157232,0.2215568862275449,3.2972972972972974,1,37,21.010789324247582,2.4876040003361624,0.0210107893242475,0.8222222222222222,1424,0.8086314593980692,14.87375,0.4019932432432432,5.909760475158691,2,-6.047499656677246,-60.47499847412109,263,0.0,4.49618145455158,10,1.0,133.86666666666667,gauss_markov,2.8371393568025978,648,10,300.0,300.0,300.0,1761,-9.644051144874766e-05,isac_structured_marl,807,1761,47.5945945945946,20260707,20260707,976,300,-0.0201583337038755,-0.2015833556652069,900,45,954,1.5880528092384338,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,-3.3100643476502434e-05,0.0,117,0.2302631578947368,0.2160493827160493,3.342857142857143,1,35,20.5158264947245,2.3638666103841284,0.0205158264947245,0.7777777777777778,1425,0.8352872215709262,14.80625,0.4230357142857143,5.909917116165161,3,-6.092499732971191,-60.924991607666016,289,0.0,4.288538018124491,10,1.0,149.6888888888889,gauss_markov,2.756833604992181,648,10,300.0,300.0,300.0,1706,-0.000165926939692,isac_structured_marl,766,1706,48.74285714285714,20260708,20260708,1005,300,-0.0203083306550979,-0.2030833065509796,1200,45,940,1.083123505115509,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,-7.211605741686e-06,0.0,152,0.1693989071038251,0.1573604060913705,4.903225806451613,1,31,18.364928909952607,2.0588430630271635,0.0183649289099526,0.6888888888888889,1413,0.8370853080568721,15.057,0.4857096774193548,5.886141061782837,4,-7.297999382019043,-72.97999572753906,252,0.0,4.44990068667038,10,1.0,163.17777777777778,gauss_markov,2.5220114630273405,648,10,300.0,300.0,300.0,1688,-5.3077459899242285e-05,isac_structured_marl,747,1688,54.45161290322581,20260709,20260709,1060,300,-0.0243266653269529,-0.2432666569948196,1500,45,941,1.6590798497200012,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,9.354535560124332e-05,0.0,190,0.1441441441441441,0.1361702127659574,5.9375,1,32,19.98750780762024,2.119661516551576,0.0199875078076202,0.7111111111111111,1352,0.8444722048719551,15.096749999999998,0.4717734374999999,5.877964973449707,5,-7.246499538421631,-72.46499633789062,259,0.0,3.427694424435478,10,1.0,151.33333333333334,gauss_markov,2.8220769984001177,648,10,300.0,300.0,300.0,1601,-0.0001799996362166,isac_structured_marl,707,1601,50.03125,20260710,20260710,1140,300,-0.0241549983620643,-0.241550013422966,1800,45,894,1.5838552713394165,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,0.0002826125950863,0.0,160,0.1878172588832487,0.1804878048780487,4.324324324324325,1,37,22.089552238805968,2.479934315253271,0.0220895522388059,0.8222222222222222,1415,0.844776119402985,14.919750000000002,0.4032364864864865,5.876761436462402,6,-6.043499946594238,-60.43499755859375,263,0.0,5.314456067329207,10,1.0,148.82222222222222,gauss_markov,2.3666019077899896,648,10,300.0,300.0,300.0,1675,-7.404756800255541e-05,isac_structured_marl,784,1675,45.270270270270274,20260711,20260711,1062,300,-0.0201449990272521,-0.2014499902725219,2100,45,891,0.7463228404521942,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,0.0001360666383212,0.0,120,0.2258064516129032,0.2121212121212121,3.4285714285714284,1,35,21.5916101172116,2.3190710463979856,0.0215916101172116,0.7777777777777778,1367,0.8433066008636644,15.09225,0.4312071428571428,5.85285496711731,7,-5.921499729156494,-59.21499633789063,257,0.0,4.821500486328291,10,1.0,153.4,gauss_markov,2.12396358514487,648,10,300.0,300.0,300.0,1621,-0.0001064340669157,isac_structured_marl,715,1621,46.31428571428572,20260712,20260712,1122,300,-0.0197383314371109,-0.197383314371109,2400,45,906,0.7700023353099823,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,0.0001260621515104,0.0,121,0.2292993630573248,0.216867469879518,3.361111111111111,1,36,22.8281547241598,2.38944661080229,0.0228281547241597,0.8,1325,0.8402029169308814,15.066249999999998,0.4185069444444444,5.859651327133179,8,-5.414499759674072,-54.144996643066406,249,0.0,5.509136384638965,10,1.0,149.93333333333334,gauss_markov,2.772633275349849,648,10,300.0,300.0,300.0,1577,-0.0002137258908866,isac_structured_marl,751,1577,43.80555555555556,20260713,20260713,1174,300,-0.018048333004117,-0.1804833263158798,2700,45,826,0.5273147821426392,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
isac_mappo,0.000360782888485,0.0,101,0.2573529411764705,0.2397260273972602,2.8857142857142857,1,35,22.727272727272727,2.3150062009094667,0.0227272727272727,0.7777777777777778,1286,0.8350649350649351,15.11875,0.4319642857142857,5.862331390380859,9,-5.06649923324585,-50.66499328613281,251,0.0,5.438447187191169,10,1.0,144.33333333333334,gauss_markov,2.1885395741668825,648,10,300.0,300.0,300.0,1540,-0.0001850248235655,isac_structured_marl,719,1540,44.0,20260714,20260714,1209,300,-0.0168883316218853,-0.1688833534717559,3000,45,821,0.4220078736543655,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
