collision_count_mean,collision_count_std,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,discovery_rate_mean,discovery_rate_std,empty_scan_ratio_mean,empty_scan_ratio_std,forbid_sense,idle_actions_mean,idle_actions_std,lambda2_mean,lambda2_std,lcc_ratio_mean,lcc_ratio_std,marl_trained,mean_delay_censored_mean,mean_delay_censored_std,method_family,method_label,n_episodes,node_count,p95_delay_censored_mean,p95_delay_censored_std,piggyback_sense_actions_mean,piggyback_sense_actions_std,protocol,rf_chains,rx_actions_mean,rx_actions_std,sense_actions_mean,sense_actions_std,tx_actions_mean,tx_actions_std
0.0,0.0,0.0,0.0,0.0,0.0,0.018833333333333334,0.00144016459964619,1,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,1,200.0,0.0,trained_marl,"MARL + TX-coupled ISAC + gate BC, TX/RX/IDLE",3,30,200.0,0.0,6000.0,0.0,marl_tx_isac_gate_bc_txrxidle,1,5985.0,0.0,0.0,0.0,15.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0010206207261596585,1,0.0,0.0,0.0,0.0,0.025,0.0,1,200.0,0.0,trained_marl,"MARL + TX-coupled ISAC + gate BC, TX/RX/IDLE",3,40,200.0,0.0,8000.0,0.0,marl_tx_isac_gate_bc_txrxidle,1,7980.0,0.0,0.0,0.0,20.0,0.0
0.0,0.0,0.00027210884353741496,0.0003848200169722708,0.00027210884353741496,0.0003848200169722708,0.017499999999999998,0.0022464787260658985,1,0.0,0.0,0.0,0.0,0.02666666666666667,0.009428090415820633,1,199.94585034013605,0.0765791833774784,trained_marl,"MARL + TX-coupled ISAC + gate BC, TX/RX/IDLE",3,50,200.0,0.0,10000.0,0.0,marl_tx_isac_gate_bc_txrxidle,1,9975.0,0.0,0.0,0.0,25.0,0.0
69.33333333333333,52.797306328595546,0.03585356454720617,0.042791024624537495,0.1037037037037037,0.11665196850387868,0.05087153502204345,0.019595984040240655,1,194.33333333333334,222.61226880435458,-9.493376573226646e-18,1.3425661902572142e-17,0.4,0.2943920288775949,1,183.4962962962963,17.89930070439756,trained_marl,"MARL + TX-coupled ISAC, TX/RX/IDLE",3,10,200.0,0.0,1805.6666666666667,222.61226880435458,marl_tx_isac_txrxidle,1,1000.0,0.0,0.0,0.0,805.6666666666666,222.61226880435458
105.66666666666667,22.095751225568733,0.07218041470634588,0.016598175926927364,0.11052631578947368,0.01873171623163388,0.0386537340147147,0.0027552642034542035,1,896.0,228.31557108528537,-1.4630324579222637e-16,7.486861877568003e-17,0.7,0.07071067811865477,1,182.32280701754385,3.848366283664683,trained_marl,"MARL + TX-coupled ISAC, TX/RX/IDLE",3,20,200.0,0.0,3104.0,228.31557108528537,marl_tx_isac_txrxidle,1,2000.0,0.0,0.0,0.0,1104.0,228.31557108528537
127.33333333333333,35.23571420527127,0.06423642007057703,0.0179428558643106,0.0842911877394636,0.02817590239210764,0.030103317876106903,0.0024383239326159108,1,1480.0,590.330980608901,-4.5290564425456735e-17,7.073616709158636e-16,0.7111111111111111,0.19309052441091965,1,187.04827586206898,4.234285983089201,trained_marl,"MARL + TX-coupled ISAC, TX/RX/IDLE",3,30,200.0,0.0,4520.0,590.330980608901,marl_tx_isac_txrxidle,1,2975.0,39.6316371938716,0.0,0.0,1545.0,591.2044203713862
164.0,35.505868059613285,0.04985484783922349,0.0024513664754867233,0.06025641025641026,0.0020935809767377573,0.0257547051256637,0.0019328069184532002,1,1730.0,182.34765330726543,-1.384356042710417e-15,4.3079845374341144e-16,0.7666666666666666,0.04249182927993986,1,191.45897435897436,0.6010327877991755,trained_marl,"MARL + TX-coupled ISAC, TX/RX/IDLE",3,40,200.0,0.0,6270.0,182.34765330726543,marl_tx_isac_txrxidle,1,3971.6666666666665,12.657891697365017,0.0,0.0,2298.3333333333335,188.61306659107393
174.33333333333334,29.227080289043965,0.04626867735623362,0.005832603392353009,0.0527891156462585,0.006299775185191958,0.02148116729516429,0.0012882507138063859,1,2486.0,342.74480302405755,-9.568094337880901e-16,3.7553672796885616e-16,0.7666666666666667,0.09843215373488934,1,192.5842176870748,1.1934013275834146,trained_marl,"MARL + TX-coupled ISAC, TX/RX/IDLE",3,50,200.0,0.0,7514.0,342.74480302405755,marl_tx_isac_txrxidle,1,4922.666666666667,73.25450308494504,0.0,0.0,2591.3333333333335,343.0221891105912
0.0,0.0,0.0,0.0,0.0,0.0,0.9205,0.007968688725254644,,0.0,0.0,0.0,0.0,0.1,0.0,0,200.0,0.0,wang_or_rule_baseline,Uniform Random,3,10,200.0,0.0,0.0,0.0,uniform_random,1,993.0,19.79898987322333,0.0,0.0,1007.0,19.79898987322333
0.0,0.0,0.015789473684210527,0.007443229275647868,0.015789473684210527,0.007443229275647868,0.8685833333333334,0.0046562383482330084,,0.0,0.0,0.0,0.0,0.11666666666666667,0.02357022603955158,0,198.53157894736842,0.9452998859742311,wang_or_rule_baseline,Uniform Random,3,20,200.0,0.0,0.0,0.0,uniform_random,1,1999.6666666666667,3.681787005729087,0.0,0.0,2000.3333333333333,3.681787005729087
