training_regime,action_contract,role_policy,role_learned,fixed_tx_probability,candidate_source,training_beam_random_floor,training_epsilon_start,training_epsilon_end,training_epsilon_decay_steps,beam_randomization_domain,beam_gate_rng_separate_from_choice_rng,source_checkpoint,source_checkpoint_sha256,evaluation_git_commit,tracked_worktree_dirty
standard_epsilon,beam_only_fixed_role,fixed_iid_bernoulli_0.5_not_learned,False,0.5,residual_table,0.0,1.0,0.1,6000,uniform_within_residual_candidate_mask,True,05_simulation\results_raw\beam_only_shared_idqn_gate_v2_n10_b15_30ep_seed29260711\standard_epsilon\final_model.pt,04652e24a87586a55f678cd107621b1a2e6e9de1f8b88f270e47901b50f42279,23abc5e00f3e9308109f2355ea5b60c1222eedf9,False
persistent_mix_0.8,beam_only_fixed_role,fixed_iid_bernoulli_0.5_not_learned,False,0.5,residual_table,0.8,1.0,0.1,6000,uniform_within_residual_candidate_mask,True,05_simulation\results_raw\beam_only_shared_idqn_gate_v2_n10_b15_30ep_seed29260711\persistent_mix_0p8\final_model.pt,e53a1e857a1e013766660e39cc503a2272b7c3f02caf28550ca07ac7eb848503,23abc5e00f3e9308109f2355ea5b60c1222eedf9,False
