block,source,treatment,control,metric,n_pairs,treatment_mean,control_mean,delta_mean,delta_std,bootstrap_ci95_low,bootstrap_ci95_high,n_positive,n_negative,n_zero,filters_json,pair_cols,note
main_n100_b10_vs_skyorbs_like,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/per_episode_summary.csv,improved_rl_isac,skyorbs_like_skip_scan,discovery_rate,3,0.3654545454545454,0.0006734006734006666,0.3647811447811448,0.004353211140442826,0.3606060606060606,0.3692929292929293,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Reference comparison against the deterministic 3-D skip-scan baseline under this information boundary.
main_n100_b10_vs_skyorbs_like,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/per_episode_summary.csv,improved_rl_isac,skyorbs_like_skip_scan,empty_scan_ratio,3,0.49857967323108227,0.9019666666666666,-0.40338699343558443,0.007442909300776655,-0.41116397220105744,-0.3963305631094867,0,3,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Reference comparison against the deterministic 3-D skip-scan baseline under this information boundary.
main_n100_b10_vs_skyorbs_like,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/per_episode_summary.csv,improved_rl_isac,skyorbs_like_skip_scan,lambda2,3,12.922207974007792,0.0,12.922207974007792,2.3279520234363047,10.791232168390762,15.406698065090632,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Reference comparison against the deterministic 3-D skip-scan baseline under this information boundary.
main_n100_b10_vs_skyorbs_like,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/per_episode_summary.csv,improved_rl_isac,skyorbs_like_skip_scan,mean_discovery_delay,3,477.98626262626266,599.7913804713804,-121.80511784511788,4.580990422499135,-126.95696969696974,-118.19030303030308,0,3,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Reference comparison against the deterministic 3-D skip-scan baseline under this information boundary.
main_n100_b10_vs_skyorbs_like,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/per_episode_summary.csv,improved_rl_isac,skyorbs_like_skip_scan,collision_count,3,1050.0,0.0,1050.0,24.63736998950984,1024.0,1073.0,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Reference comparison against the deterministic 3-D skip-scan baseline under this information boundary.
main_n100_b15_vs_enhanced_no_isac,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,discovery_rate,3,0.544040404040404,0.0037710437710437336,0.5402693602693603,0.002998713007166553,0.5369696969696971,0.5428282828282828,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 15.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Main N=100/B=15 density-scaled comparison against enhanced communication-only policy.
main_n100_b15_vs_enhanced_no_isac,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,empty_scan_ratio,3,0.3292709187112828,0.8344309835492592,-0.5051600648379765,0.008146987550001485,-0.5114635597341022,-0.4959607666285916,0,3,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 15.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Main N=100/B=15 density-scaled comparison against enhanced communication-only policy.
main_n100_b15_vs_enhanced_no_isac,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,lambda2,3,26.84126556281136,-5.148781885218722e-16,26.84126556281136,4.815182421040146,21.743589094051178,31.312667895675713,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 15.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Main N=100/B=15 density-scaled comparison against enhanced communication-only policy.
main_n100_b15_vs_enhanced_no_isac,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,mean_discovery_delay,3,406.74484848484843,598.7413468013468,-191.99649831649833,1.0353305212191475,-193.16929292929296,-191.20929292929293,0,3,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 15.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Main N=100/B=15 density-scaled comparison against enhanced communication-only policy.
main_n100_b15_vs_enhanced_no_isac,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,collision_count,3,8285.0,0.0,8285.0,424.844677499907,7804.0,8609.0,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 15.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Main N=100/B=15 density-scaled comparison against enhanced communication-only policy.
round10_extra_n100_b10_vs_enhanced_no_isac,06_analysis/paper_tables/round10_n100_b10_b15_extra_seeds/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,discovery_rate,3,0.17393939393939392,0.0008080808080808,0.1731313131313131,0.008148704658625749,0.1644444444444444,0.18060606060606058,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model","Backup extra-seed N=100/B=10 comparison; used to check scenario-seed sensitivity, not to replace the main table."
round10_extra_n100_b10_vs_enhanced_no_isac,06_analysis/paper_tables/round10_n100_b10_b15_extra_seeds/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,empty_scan_ratio,3,0.674131505158449,0.9031886181918028,-0.22905711303335383,0.0036528706615701896,-0.23292207395823072,-0.22566175121651877,0,3,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model","Backup extra-seed N=100/B=10 comparison; used to check scenario-seed sensitivity, not to replace the main table."
round10_extra_n100_b10_vs_enhanced_no_isac,06_analysis/paper_tables/round10_n100_b10_b15_extra_seeds/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,lambda2,3,3.7088103847592087,0.0,3.7088103847592087,1.8695599096592126,1.8981093968969,5.632137157992002,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model","Backup extra-seed N=100/B=10 comparison; used to check scenario-seed sensitivity, not to replace the main table."
round10_extra_n100_b10_vs_enhanced_no_isac,06_analysis/paper_tables/round10_n100_b10_b15_extra_seeds/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,mean_discovery_delay,3,550.1933333333333,599.7939393939394,-49.600606060606005,3.468407935461881,-52.9193939393939,-45.999797979797904,0,3,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model","Backup extra-seed N=100/B=10 comparison; used to check scenario-seed sensitivity, not to replace the main table."
round10_extra_n100_b10_vs_enhanced_no_isac,06_analysis/paper_tables/round10_n100_b10_b15_extra_seeds/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,collision_count,3,150.33333333333334,0.0,150.33333333333334,15.01110699893027,135.0,165.0,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model","Backup extra-seed N=100/B=10 comparison; used to check scenario-seed sensitivity, not to replace the main table."
